player,Putting from 5-10'-%,Putting Average-AVG,3-Putts per Round-AVG,SG: Putting-AVERAGE,Average Putting Distance - GIR 1 Putts-AVG,Overall Putting Average-AVG,Birdie or Better Conversion Percentage-%,Average Distance of Birdie putts made-AVG,3-Putt Avoidance-%,2-Putts per Round-AVG,One-Putt Percentage-%,Going for the Green - Hit Green Pct-%,Going for the Green - Birdie or Better-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Fairway-%,Fairway Proximity-AVG,SG: Approach the Green-AVERAGE,GIR Percentage - 100+ yards-%,Average Approach Shot Distance-AVG,Going for the Green-%,GIR Pct - Fairway Bunker-%,Greens in Regulation Percentage-%,Greens in Regulation Percentage-RELATIVE/PAR,GIR Percentage from Fairway-%,Greens or Fringe in Regulation-%,Par Breakers-%,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,Bogey Average-AVERAGE BOGEYS PER ROUND,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Scoring Average (Actual)-AVG,Par 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Birdie Average-AVG,Bounce Back-%,Fairway Bunker Tendency-%,Right Tendency-%,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,Left Rough Tendency-%,Hit Fairway Percentage-%,Hit Fairway Percentage-RELATIVE TO PAR,Driving Distance - All Drives-ALL DRIVES,Right Rough Tendency-%,Ball Striking-VALUE,Ball Striking-TOTAL DRV RANK,Ball Striking-GIR RANK,Left Tendency-%,Rough Tendency-%,Total Driving-ACCURACY RANK,Distance from Center of Fairway-AVG,SG: Around-the-Green-AVERAGE,Sand Save Percentage-%,Sand Saves from 20-30 yards-%,Scrambling from < 10 yards-%,Scrambling from the Rough-%,Scrambling from > 30 yards-%,Scrambling from the Fringe-%,Scrambling 10-20 yds (RTP Score)-AVG RTP,Sand Saves from 10-20 yards-%,Scrambling from 10-20 yards-%,Scrambling Rough (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from 20-30 yards-%,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR
Louis Oosthuizen,63.27,1.729,0.22,0.587,"10' 5""",1.59,30.05,"10' 1""",1.23,10.28,41.05,11.11,22.22,7.14,22.13,"27' 4""",-0.359,60.39,158.8,25,53.8,66.05,-0.29,79.74,64.44,20.37,-1.011,-10.112,-15.981,5.869,2.72,70.1,70.25,20.37,1.2,70.28,3.08,70.6,3.56,18.87,9.5,42.3,-1.598,-0.509,-0.359,-0.73,-0.509,18.25,60.58,-0.18,285.2,10.22,162,25,137,57.7,28.47,104,"20' 3""",-0.73,44.44,50,89.47,61.29,33.33,88.89,0.424,46.15,57.58,0.419,38.1,37.5,207,18,53.85,0.111,1,53.64,59,110
Johnson Wagner,58.82,1.791,0.42,0.288,"14' 3""",1.632,24.46,"14' 3""",2.34,10.79,36.26,14.29,57.14,7.69,19.58,"28' 1""",0.012,69.23,158,20.59,75,68.42,-0.23,80.65,75.56,17.54,-0.494,-4.941,-7.822,2.88,2.37,71.27,70,17.54,1.2,70.95,3.1,71.71,3.05,17.78,2.9,44.4,-0.782,-0.484,0.012,-0.31,-0.484,15.11,67.63,-0.18,274.9,12.95,149,81,68,55.6,28.06,6,"28' 2""",-0.31,37.04,40,42.86,59.46,18.18,78.95,0.16,20,84,0.459,63.33,57.14,95,19,40.91,0.158,3,60.19,65,108
Chris Stroud,49.37,1.77,0.57,-0.444,"11' 9""",1.593,30.23,"11' 0""",3.33,9.7,41.3,17.95,41.03,4.35,21.43,"32' 5""",-0.129,57.68,168.4,50.65,44.4,63.7,-0.26,75,70,20.37,-1.218,-24.364,-15.482,-8.88,2.97,71.63,70.8,20.37,1.1,71.33,2.98,71.27,3.6,17.2,9.6,62.3,-0.774,-0.404,-0.129,-0.241,-0.404,9.64,58.57,-0.13,279.6,19.64,409,217,192,37.7,29.29,148,"24' 2""",-0.241,47.17,40,87.1,57.63,21.74,95,0.436,60.71,56.36,0.424,50,45,156,30,51.28,E,E,57.14,112,196
Sangmoon Bae,61.11,1.763,0.39,-0.053,"9' 9""",1.623,28.78,"9' 1""",2.16,10.72,36.73,11.11,55.56,14.29,18.69,"36' 8""",-0.584,59.83,157.1,52.94,25,63.89,-0.29,76.39,66.67,19.44,-1.769,-15.924,-15.449,-0.476,2.67,71.93,70.5,19.44,1.07,71.72,3.29,71.57,3.33,26.32,6.5,36.8,-1.717,-0.664,-0.584,-0.468,-0.664,21.77,53.23,-0.23,287.2,14.52,377,187,190,63.2,36.29,161,"21' 4""",-0.468,48.15,0,87.5,49.12,17.65,100,0.3,77.78,70,0.561,51.72,12.5,212,18,54.55,-0.143,-1,52.99,62,117
Bronson Burgoon,63.64,1.712,0.38,0.397,"10' 2""",1.571,34.59,"9' 7""",2.25,9.68,42.64,14.81,61.11,13.92,24.39,"30' 6""",0.317,63.25,163.4,50.96,60,67.72,-0.32,77.45,72.61,24.62,0.781,22.637,11.128,11.51,2.51,69.88,69.57,24.62,1.67,69.49,2.98,70.09,4.38,24.47,8.6,64.7,0.384,-0.106,0.317,0.173,-0.106,9.63,57.28,-0.21,286.4,20.99,266,177,89,35.3,30.62,138,"22' 11""",0.173,59.57,63.64,90.7,59.34,20,82.61,0.284,66.67,68.92,0.396,60.94,60,86,37,51.35,0.087,2,60.93,131,215
Peter Uihlein,56.32,1.761,0.45,0.24,"10' 1""",1.608,31.36,"9' 0""",2.53,10.39,37.71,30.23,67.44,10.34,26.77,"32' 0""",0.309,65.43,161.4,54.55,60,68.35,-0.3,81.82,76.57,23.06,0.256,5.891,0.373,5.519,2.27,70.14,70.57,23.06,1.59,70.06,3,69.8,4.06,20.73,8,50,0.016,-0.785,0.309,0.492,-0.785,18.79,47.45,-0.33,289.9,18.79,263,191,72,50,37.58,223,"22' 4""",0.492,60.47,61.54,91.67,52.11,41.03,89.47,0.429,61.54,57.14,0.507,57.58,65.38,113,33,61.29,-0.105,-2,59.04,111,188
Brice Garnett,53.15,1.776,0.36,0.387,"12' 11""",1.614,27.85,"11' 11""",1.98,10.57,37.96,23.4,48.94,13.11,18.68,"34' 2""",-0.399,66.06,161.9,48.42,38.9,68.39,-0.26,79.31,74.9,20.11,0.306,8.884,-2.335,11.22,2.21,70.43,70.44,20.11,1.52,70.05,3.03,69.85,3.57,26.09,4.5,50.7,-0.081,0.171,-0.399,0.147,0.171,14.36,62.13,-0.18,283.7,15.1,176,106,70,49.3,29.46,60,"23' 5""",0.147,51.39,55.56,88,58.02,16,89.66,0.25,55.17,72.06,0.432,67.61,55.81,44,42,53.45,E,E,63.6,152,239
Branden Grace,48.48,1.78,0.7,-0.237,"10' 9""",1.644,29.46,"10' 2""",3.91,10.33,37.86,18.18,54.55,23.33,24.14,"28' 6""",0.509,65.19,167.3,61.11,68.4,69.14,-0.26,79.41,75.44,20.58,0.323,6.128,10.634,-4.504,2.67,70.21,69.8,20.58,1.32,70.22,3,70.22,3.67,25.35,7.2,60.8,0.56,-0.183,0.509,0.233,-0.183,16.29,47.35,-0.21,297.1,26.52,195,143,52,39.2,42.8,195,"26' 8""",0.233,54.72,41.67,95.45,60.42,10.53,78.57,0.409,61.11,59.09,0.396,44.74,55,137,27,51.43,0.214,3,58,87,150
Tommy Fleetwood,39.02,1.827,0.91,0.102,"10' 11""",1.667,28.78,"9' 1""",5.05,10.41,35.86,25.81,41.94,21.74,19.35,"36' 11""",0.467,58.65,177,77.5,42.9,70.2,-0.24,79.06,73.33,21.21,0.992,9.923,8.9,1.023,3.09,71.67,69.6,21.21,1.2,70.41,3.02,71.33,3.68,17.91,5.1,63,0.89,0.61,0.467,-0.187,0.61,10.95,62.77,-0.09,297.1,18.25,41,6,35,37,29.2,86,"23' 2""",-0.187,61.11,75,84.62,52,21.43,81.82,0.375,60,56.25,0.44,50,77.78,199,22,53.85,E,E,54.24,64,118
Dustin Johnson,47.95,1.743,0.5,-0.052,"10' 8""",1.596,31.25,"8' 9""",2.78,9.89,41.36,24.49,48.98,11.76,20.53,"30' 11""",0.067,58.62,168.4,65.75,30,64.81,-0.32,77.5,70.83,20.99,0.366,5.853,6.691,-0.837,2.56,70.55,69.25,20.99,1.31,70.56,3.09,68.8,3.39,26.09,4.4,33.3,0.418,0.567,0.067,-0.216,0.567,22.91,60.79,-0.2,301.8,8.37,174,8,166,66.7,31.28,88,"29' 9""",-0.216,58.06,33.33,80.77,54.55,46.15,86.67,0.37,56.25,65.22,0.5,50,27.78,90,18,71.43,0.067,1,60.53,69,114
Kiradech Aphibarnrat,53.13,1.772,0.65,-0.601,"7' 4""",1.608,29.21,"7' 4""",3.59,9.71,42.16,0,41.18,14.29,15.29,"33' 4""",0.26,52.53,167.7,70.83,44.4,66.01,-0.25,79.19,60.32,19.61,-0.757,-5.296,-1.087,-4.209,2.24,71,68.33,19.61,1.4,70.71,3.19,72.17,3.47,14.29,9.2,51.3,-0.155,0.052,0.26,-0.468,0.052,12.24,58.16,-0.09,287.2,14.29,289,150,139,48.7,26.53,84,"24' 11""",-0.468,48.48,66.67,100,70.83,57.14,100,0.44,44.44,56,0.333,63.64,50,6,17,47.37,-0.077,-1,67.31,70,104
James Hahn,56.1,1.783,0.37,0.219,"12' 2""",1.646,29.14,"10' 0""",2.04,11.1,35.19,44.19,69.77,10,25.99,"31' 0""",0.298,66.11,166.8,53.09,57.9,69.26,-0.27,76.8,79.1,21.11,0.66,13.854,9.248,4.608,2.5,70.4,70.57,21.11,1.41,70.37,3.1,71.44,3.73,27.27,6.5,57.8,0.44,0.072,0.298,0.069,0.072,10.62,63.36,-0.21,287.7,16.1,217,170,47,42.2,26.71,128,"26' 2""",0.069,43.75,37.5,85.71,59.52,38.1,94.44,0.277,47.06,65.96,0.405,54.29,42.86,153,30,42.86,E,E,57.23,95,166
Rhein Gibson,50.5,1.757,0.55,0.653,"12' 1""",1.597,31.9,"11' 4""",3.04,9.86,41.01,22.22,63.89,23.53,22.26,"34' 11""",-0.616,64.01,159.3,41.38,63.9,64.81,-0.29,75.99,72.22,21.83,-0.457,-11.894,-28.879,16.986,2.6,70.46,72,21.83,1.29,71,3.01,69.83,3.86,17.21,10.2,55.6,-1.111,-0.732,-0.616,0.236,-0.732,14.41,52.54,-0.15,284.8,18.93,375,209,166,44.4,33.33,208,"25' 0""",0.236,56.58,66.67,85.29,55.93,25.71,84.62,0.396,52.63,56.6,0.466,59.7,67.65,109,42,56.6,0.038,1,59.4,158,266
Michael Gligic,61.36,1.778,0.56,0.187,"9' 10""",1.625,29.43,"8' 9""",3.09,10.31,38.73,29.27,53.66,12.28,21.35,"34' 9""",-0.328,58.96,156.9,51.9,63.2,64.66,-0.27,74.48,68.43,19.75,-0.279,-6.134,-10.242,4.109,2.69,71.39,71.2,19.75,1.14,71.39,3.19,71.77,3.44,18.52,6.3,61.2,-0.466,0.139,-0.328,-0.277,0.139,12.25,61.59,-0.18,286.5,16.89,322,150,172,38.8,29.14,154,"24' 2""",-0.277,50,75,87.5,52.69,25,89.47,0.361,53.85,65.28,0.538,63.51,52.63,135,36,48.78,0.105,2,58.08,133,229
Kyoung-Hoon Lee,55.17,1.781,0.58,-0.055,"8' 9""",1.602,29.28,"8' 2""",3.44,9.82,40.56,14.29,47.14,15.87,18.47,"34' 3""",-0.156,57.08,166.5,66.67,35.3,65,-0.25,74.73,66.84,20.33,0.104,3.324,5.083,-1.758,2.46,70.66,70.38,20.33,1.31,70.74,3.06,70.47,3.64,24.24,7.6,53,0.159,0.202,-0.156,0.112,0.202,12.75,61.74,-0.12,285.5,14.77,208,45,163,47,27.52,46,"25' 1""",0.112,54.55,61.9,88.64,57.69,34.21,91.18,0.265,60.47,72.45,0.474,66.96,56.82,46,50,53.42,-0.059,-2,63.49,200,315
Vince Covello,49.23,1.794,0.67,-0.289,"11' 2""",1.643,27.6,"10' 11""",3.7,10.57,35.71,16.67,61.11,20,19.8,"31' 3""",-0.264,63.26,153.8,36,40,66.67,-0.24,77.01,69.63,19.31,-0.827,-12.406,-8.072,-4.335,2.95,71.16,70,19.31,1.09,71.1,3.15,71.56,3.33,20.31,4.8,64.1,-0.538,0.251,-0.264,-0.525,0.251,8.13,62.68,-0.15,287.1,21.05,224,104,120,35.9,29.19,137,"23' 2""",-0.525,55.56,70,77.78,50,26.67,87.5,0.488,28.57,53.66,0.54,65.71,50,156,21,51.52,0.125,1,57.14,72,126
Roger Sloan,48.84,1.8,0.64,-0.658,"9' 10""",1.609,27.51,"8' 5""",3.54,10,39.23,15.38,46.15,17.65,17.89,"33' 7""",-0.504,56.62,161.3,55.71,50,63.97,-0.24,74.17,66.94,18.86,-1.081,-21.612,-8.452,-13.158,2.79,71.56,70,18.86,1.09,71.24,3.2,70.77,3.24,20.21,7.2,43.6,-0.423,-0.074,-0.504,0.155,-0.074,15.94,59.42,-0.11,288.5,14.49,397,210,187,56.4,30.43,144,"23' 6""",0.155,54.55,43.75,88.89,59.74,35.71,93.33,0.471,42.11,66.67,0.429,64.79,43.75,80,33,49.02,-0.067,-1,61.21,131,214
John Huh,53.49,1.71,0.35,0.75,"12' 0""",1.562,33.66,"10' 10""",1.92,9.69,42.74,16.33,53.06,20,25,"33' 11""",-0.472,62.5,169.4,56.32,30,65.6,-0.32,75.76,70.77,23.08,0.154,3.534,-13.706,17.242,2.62,69.94,69.6,23.08,1.44,70.31,3.06,71.13,4.04,28.17,6.3,58.9,-0.596,-0.202,-0.472,0.079,-0.202,11.25,64.06,-0.23,282,16.56,277,127,150,41.1,27.81,73,"21' 6""",0.079,47.06,50,83.78,53.19,34.48,95,0.491,52.17,52.83,0.468,58.33,65.22,128,26,44.12,-0.05,-1,58.39,94,161
Hudson Swafford,54.39,1.772,0.29,0.242,"10' 10""",1.603,29.39,"9' 0""",1.59,10.57,38.1,52.17,60.87,26.92,20.34,"33' 5""",0.181,61.54,163,60.53,66.7,65.08,-0.29,72.39,73.81,20.37,0.653,9.143,5.756,3.388,2.24,69.15,71.2,20.37,1.43,70,3.06,68.5,3.62,28.3,9.3,49.4,0.411,-0.049,0.181,0.278,-0.049,13.99,58.03,-0.16,286.9,14.51,366,206,160,50.6,28.5,181,"22' 10""",0.278,54.84,66.67,100,46.67,33.33,100,0.4,68.75,65,0.622,70,50,73,21,56,-0.182,-2,61.36,81,132
David Lingmerth,58,1.782,0.58,-0.007,"9' 6""",1.649,26.89,"9' 5""",3.22,10.68,36.55,20,60,16.67,21.13,"28' 11""",0.261,68.87,153.7,14.71,62.5,69.59,-0.24,72.38,72.22,19.59,-0.309,-3.089,-3.018,-0.071,2.42,70.87,69.67,19.59,1.26,70.89,3.04,71.14,3.47,20,5.7,41,-0.302,-0.134,0.261,-0.429,-0.134,10.71,72.14,-0.08,271.8,7.86,176,135,41,59,18.57,18,"23' 2""",-0.429,47.37,50,81.82,48.89,25,80,0.429,42.86,61.9,0.556,60,50,143,19,57.14,0.2,3,57.69,60,104
Robert Streb,42.31,1.751,0.55,-0.471,"9' 4""",1.631,29.57,"8' 10""",3.06,10.48,37.5,12.5,55,3.85,21.53,"31' 7""",0.069,61.64,161.4,51.95,54.5,67.92,-0.28,80.42,71.21,20.97,-0.779,-17.129,-6.778,-10.352,2.5,70.93,70.63,20.97,1.3,70.83,3.07,70.38,3.68,21.7,7.3,30,-0.308,-0.132,0.069,-0.245,-0.132,18,63.33,-0.14,284.8,8.67,272,190,82,70,26.67,132,"24' 3""",-0.245,38.03,8.33,89.19,65.38,30.43,83.33,0.467,47.37,55.56,0.397,47.89,24.14,194,40,38.6,0.125,3,54.98,127,231
Peter Malnati,61.95,1.725,0.51,0.779,"11' 8""",1.541,33.25,"11' 2""",2.99,8.87,46.44,18.37,59.18,16.44,22.67,"35' 0""",-0.69,56.37,161.3,46.67,31,60.68,-0.3,71.13,65.13,21.08,-0.201,-5.825,-28.414,22.591,2.44,70.77,69.5,21.08,1.29,70.85,3.08,71.07,3.69,23.15,7.2,55.5,-0.98,-0.439,-0.69,0.149,-0.439,15.38,54.09,-0.19,283.4,19.35,447,225,222,44.5,34.74,199,"23' 6""",0.149,48.08,57.14,95.24,63.27,29.41,100,0.274,50,73.81,0.449,64.42,54.35,27,39,46.51,-0.133,-4,64.86,179,276
Patrick Cantlay,54.05,1.73,0.55,0.096,"9' 10""",1.619,34.07,"8' 8""",3.06,10.3,38.33,19.64,55.36,10,29.67,"32' 3""",1.093,67.76,160.3,71.79,60,75,-0.32,83.77,81.79,26.94,1.772,31.902,30.176,1.729,2.25,68.82,69.8,26.94,2.06,69.15,3.01,69.4,4.65,25.58,3.9,50,1.676,0.348,1.093,0.235,0.348,11.81,67.32,-0.32,299.5,11.81,23,21,2,50,23.62,29,"30' 11""",0.235,50,50,86.36,41.38,38.46,92.86,0.432,64.29,54.05,0.552,60,33.33,141,20,50,-0.214,-3,57.78,52,90
Chase Seiffert,58.33,1.754,0.43,0.31,"11' 6""",1.622,30.09,"9' 11""",2.4,10.48,38.64,30.61,63.27,14.89,22.99,"31' 11""",0.067,63,162,55.68,63.2,67.8,-0.29,75.19,70.3,20.96,0.199,5.171,-2.895,8.067,2.68,69.89,71.22,20.96,1.3,70.5,3,70.77,3.59,23.02,5.2,48.5,-0.111,0.143,0.067,-0.321,0.143,13.81,62.98,-0.17,283,15.47,221,136,85,51.5,29.28,81,"24' 10""",-0.321,40.3,47.06,85.71,56.41,41.94,84.21,0.508,42.31,50.79,0.436,58.21,32.14,179,44,40.38,0.105,2,55.69,142,255
Abraham Ancer,58.93,1.746,0.43,0.209,"9' 1""",1.588,31.64,"8' 3""",2.4,9.86,42.05,21.88,59.38,18.64,22.6,"33' 0""",0.422,59.39,168.1,64.95,50,67.17,-0.3,76.62,71.15,21.84,1.089,28.321,22.878,5.445,2.16,70.08,68.8,21.84,1.71,69.55,2.96,70.58,3.84,21.05,7.2,60.4,0.88,0.364,0.422,0.094,0.364,13.22,59.23,-0.2,291.6,18.73,146,38,108,39.6,31.96,83,"24' 6""",0.094,51.43,28.57,89.47,77.97,30.77,95.24,0.279,65,72.06,0.22,60,50,6,44,51.22,E,E,67.31,175,260
Adam Schenk,60.63,1.797,0.66,0.211,"9' 5""",1.611,28.5,"8' 8""",3.67,9.94,39.67,20.63,55.56,13.73,24.11,"30' 0""",-0.009,63.19,161.1,57.01,43.8,68.44,-0.25,76.85,73.84,20.67,0.425,13.181,6.632,6.551,2.18,69.91,69.56,20.67,1.58,69.9,3.01,70.06,3.64,20.91,7.4,52.4,0.214,0.276,-0.009,-0.053,0.276,14.58,59.72,-0.22,291.2,13.89,117,51,66,47.6,28.47,120,"25' 6""",-0.053,50,70,87.5,65.06,36.84,96.67,0.284,46.15,70.27,0.361,66.27,54.29,4,50,66.67,-0.067,-2,67.96,193,284
Bryson DeChambeau,65.85,1.745,0.4,0.502,"12' 1""",1.587,33.25,"10' 1""",2.22,10,40.93,27.37,55.79,21.54,25.82,"30' 2""",0.397,66.76,168.2,77.78,43.8,70.37,-0.32,81.82,77.22,24.63,2.09,62.7,47.63,15.072,1.93,67.88,70.71,24.63,2.18,68.6,2.95,67.5,4.27,28.81,3.9,54.7,1.588,1.119,0.397,0.072,1.119,14.46,60.96,-0.27,305.9,17.59,50,18,32,45.3,32.05,121,"23' 7""",0.072,63.46,66.67,87.76,66,23.08,90.91,0.338,66.67,66.18,0.28,64.06,65.38,5,30,68.57,-0.091,-1,67.5,108,160
Denny McCarthy,65.31,1.717,0.38,1.296,"12' 9""",1.581,33.54,"11' 11""",2.14,9.98,40.81,18.82,55.29,15.79,26.21,"33' 8""",-0.473,64.1,170.7,59.44,40,68.7,-0.32,80.14,73.33,24.25,0.509,20.34,-31.483,51.826,2.27,69.79,69.08,24.25,1.67,69.69,2.95,69.57,4.31,17.97,7.2,50.5,-0.787,-0.189,-0.473,-0.125,-0.189,13.44,61.29,-0.24,284.2,14.87,207,150,57,49.5,28.32,123,"23' 9""",-0.125,48.35,54.55,83.78,62.24,42.11,100,0.419,45,58.11,0.306,57.66,57.41,113,52,48.48,-0.125,-2,59.04,173,293
Xander Schauffele,63,1.754,0.65,0.156,"10' 7""",1.618,32.37,"9' 7""",3.59,9.91,40.85,21.05,55.26,23.4,21.29,"33' 11""",0.789,67.58,173.8,71.03,63.6,73.2,-0.29,87.29,79.78,24.02,1.792,44.808,40.904,3.904,2.09,69.33,67.88,24.02,2.01,69.15,3.08,69.11,4.29,27.14,6.3,53.5,1.636,0.694,0.789,0.154,0.694,14.86,60,-0.24,301.1,15.43,27,23,4,46.5,30.29,110,"28' 7""",0.154,55.56,55.56,90.32,58.82,35.29,100,0.333,60,66.67,0.412,73.33,73.68,12,34,58.06,E,E,66.46,109,164
Brandon Wu,58.33,1.777,0.44,0.477,"11' 7""",1.615,29.53,"10' 7""",2.43,10.56,36.81,22.22,44.44,0,23.14,"33' 8""",-0.1,64.89,165.8,46.15,50,67.01,-0.27,69.74,72.22,21.18,0.148,1.332,-2.964,4.297,2.31,69.67,71.5,21.18,1.45,70.81,2.88,69.25,3.75,12.82,11.1,59.5,-0.329,0.288,-0.1,-0.518,0.288,7.94,65.87,-0.14,281.2,13.49,170,61,109,40.5,21.43,19,"22' 9""",-0.518,33.33,50,100,62.75,36.36,66.67,0.565,37.5,47.83,0.373,66.67,60,85,16,42.86,0.111,1,61.05,58,95
Will Gordon,58.33,1.816,0.7,-0.265,"13' 8""",1.656,28.92,"11' 0""",3.89,10.75,34.44,33.33,47.62,9.52,18.8,"31' 6""",-0.397,67.14,162.8,62.5,50,69.44,-0.25,79.73,76.67,21.39,-0.618,-6.182,-3.531,-2.651,2.8,71.08,69.75,21.39,1.31,70.4,3.03,70,3.7,26.32,10.1,48.4,-0.353,0.501,-0.397,-0.457,0.501,17.99,52.52,-0.18,296.4,16.55,187,142,45,51.6,34.53,201,"25' 9""",-0.457,54.17,0,100,43.59,45.45,100,0.28,50,68,0.564,59.09,18.18,134,20,58.33,-0.154,-2,58.18,64,110
Patrick Rodgers,61.95,1.738,0.29,0.759,"10' 9""",1.603,31.5,"9' 10""",1.71,10.4,39.49,20.72,59.46,14.4,24.16,"34' 8""",-0.389,62.79,162.7,62.57,53.2,66.92,-0.31,79.87,72.68,21.71,0.672,32.907,-4.301,37.212,2.34,69.71,70.67,21.71,1.47,70.25,3.05,69.67,3.83,24.2,7,51.1,-0.088,0.244,-0.389,0.056,0.244,18.99,51.93,-0.25,297.9,18.99,243,130,113,48.9,37.98,212,"25' 6""",0.056,52.87,46.15,82.69,56.58,37.93,100,0.342,57.89,68.47,0.461,55.71,46.97,120,65,50.85,-0.061,-2,58.66,227,387
Harry Higgs,55.93,1.731,0.35,0.273,"10' 5""",1.57,31.77,"9' 4""",2.05,9.77,42.2,17.44,55.81,18.18,22.49,"33' 0""",-0.137,63.22,161.3,60,56,66.67,-0.3,76.69,70.93,22.42,0.554,23.819,12.074,11.748,2.11,69.56,69.85,22.42,1.63,69.88,3.1,69.13,3.91,18.18,8.4,55.3,0.281,0.443,-0.137,-0.025,0.443,12.37,63.21,-0.17,291.6,13.38,158,38,120,44.7,25.75,80,"23' 3""",-0.025,46.73,45.45,83.33,71.07,42.86,92,0.349,46.94,66.06,0.38,66.12,46.51,39,57,42.25,-0.08,-2,64.04,219,342
Brian Harman,52.87,1.728,0.4,0.336,"9' 9""",1.564,32.51,"9' 2""",2.2,9.6,43.06,17.28,56.79,11.27,25.05,"30' 3""",0.231,62.67,164.4,60.45,41.4,65.97,-0.3,76.51,71.27,22.57,0.836,34.287,20.515,13.775,2.25,69.3,70.36,22.57,1.64,69.48,3.01,69.46,4,19.47,5.1,51.9,0.5,0.161,0.231,0.109,0.161,13.99,64.86,-0.21,287.4,13.29,215,74,141,48.1,27.27,62,"23' 8""",0.109,59.49,47.06,88.68,57.45,42.5,92,0.283,64.44,70.8,0.426,67.54,50,20,48,63.33,-0.12,-3,65.31,192,294
Carlos Ortiz,51.61,1.757,0.44,0.059,"11' 0""",1.6,30.9,"9' 8""",2.55,10.23,38.54,24.3,55.14,21.51,22.63,"32' 7""",0.294,64.63,168,65.64,51.4,68.63,-0.29,79.34,76.83,23.03,0.798,32.732,30.299,2.436,2.15,70.14,68.1,23.03,1.76,69.56,2.97,69.86,3.98,24.53,6.1,52.3,0.739,0.03,0.294,0.415,0.03,18.53,52.8,-0.23,294.7,18.71,207,147,60,47.7,37.24,196,"24' 0""",0.415,51.43,45,88.14,63.46,42.22,88.46,0.213,60,73.03,0.365,64.52,43.24,20,48,58.33,0.077,2,65.31,177,271
Mark Hubbard,57.42,1.73,0.32,0.414,"10' 11""",1.59,31.55,"9' 6""",1.78,10.11,41.3,23.08,67.95,11.69,23.03,"33' 1""",0.089,61.64,168.6,58.65,48.7,66.67,-0.31,77.02,70.97,21.7,0.537,21.485,4.946,16.542,2.15,70.09,67.75,21.7,1.57,69.81,3.03,70.8,3.75,20.33,7,53.6,0.124,-0.005,0.089,0.04,-0.005,12.19,64.52,-0.19,278.4,14.7,230,110,120,46.4,26.88,75,"22' 5""",0.04,48.94,53.33,98,60.87,25,95,0.358,42.55,64.22,0.435,67.59,56.82,59,53,48.65,E,E,62.26,198,318
Brian Stuard,54.49,1.746,0.37,0.178,"9' 10""",1.578,30.29,"9' 7""",2.05,9.91,41.52,10.53,59.65,6.78,22.24,"31' 10""",-0.075,59.7,164.5,43.18,48.6,64.13,-0.28,73.29,68.47,20.57,0.388,15.525,8.39,7.137,2.51,70.44,70.15,20.57,1.37,70.21,3.02,70.5,3.65,19.31,6.3,52.9,0.21,-0.212,-0.075,0.497,-0.212,11.61,68.57,-0.16,274.6,11.96,293,109,184,47.1,23.57,5,"23' 9""",0.497,54.08,65,78.13,66.67,35.29,83.33,0.204,76.67,76.7,0.333,62.28,54.55,45,57,58.57,0.067,2,63.59,234,368
Dylan Frittelli,55.56,1.766,0.65,-0.111,"10' 2""",1.598,30.63,"9' 8""",3.74,9.65,41.24,13.48,51.69,15.66,21.73,"34' 9""",-0.059,56.85,167.4,62.41,38.8,64.85,-0.26,73.13,66.81,21.05,-0.177,-6.727,-2.512,-4.212,2.73,70.4,71.55,21.05,1.25,70.73,3.07,69.8,3.69,23.49,9.2,55.2,-0.066,-0.256,-0.059,0.249,-0.256,14.21,58.13,-0.15,284.8,16.45,373,208,165,44.8,30.65,141,"26' 9""",0.249,54.26,57.89,80.95,59.3,37.5,91.67,0.345,52.27,65.45,0.407,61.42,60.71,61,52,56.14,-0.083,-2,62.01,204,329
Harris English,59.24,1.754,0.32,0.457,"11' 1""",1.614,29.27,"10' 3""",1.77,10.57,38.64,16.87,50.6,9.26,24.07,"34' 7""",0.37,68.41,169.8,63.85,62.2,72.47,-0.28,79.69,77.62,22.1,1.439,51.808,35.364,16.446,1.93,68.64,69.7,22.1,1.94,69.41,2.97,69.17,3.89,19.32,7.4,49.7,0.982,0.463,0.37,0.149,0.463,13.77,63.87,-0.2,286.8,12.97,28,22,6,50.3,26.75,78,"23' 7""",0.149,46.77,26.32,96.67,66.67,40.74,93.33,0.288,48,69.86,0.304,63.27,51.11,29,44,52.78,E,E,64.68,141,218
