Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Russell Knox (14631899),Russell Knox,14631899,G,6900,RBC Heritage,Golf,57.03
G,Chesson Hadley (14631900),Chesson Hadley,14631900,G,6900,RBC Heritage,Golf,60.31
G,Matthew Wolff (14631901),Matthew Wolff,14631901,G,6900,RBC Heritage,Golf,58.5
G,Ryan Moore (14631902),Ryan Moore,14631902,G,6900,RBC Heritage,Golf,59.67
G,Brendon Todd (14631903),Brendon Todd,14631903,G,6900,RBC Heritage,Golf,66.37
G,Harry Higgs (14631904),Harry Higgs,14631904,G,6900,RBC Heritage,Golf,66.53
G,Charles Howell III (14631905),Charles Howell III,14631905,G,6900,RBC Heritage,Golf,65.23
G,Emiliano Grillo (14631906),Emiliano Grillo,14631906,G,6800,RBC Heritage,Golf,48.14
G,Andrew Landry (14631907),Andrew Landry,14631907,G,6800,RBC Heritage,Golf,50.85
G,Andrew Putnam (14631908),Andrew Putnam,14631908,G,6800,RBC Heritage,Golf,54.8
G,Matt Wallace (14631909),Matt Wallace,14631909,G,6800,RBC Heritage,Golf,47.56
G,Charley Hoffman (14631910),Charley Hoffman,14631910,G,6800,RBC Heritage,Golf,57.65
G,Danny Willett (14631911),Danny Willett,14631911,G,6800,RBC Heritage,Golf,47.06
G,Chez Reavie (14631912),Chez Reavie,14631912,G,6800,RBC Heritage,Golf,56.23
G,Sebastian Munoz (14631913),Sebastian Munoz,14631913,G,6700,RBC Heritage,Golf,66.47
G,Si Woo Kim (14631914),Si Woo Kim,14631914,G,6700,RBC Heritage,Golf,42.29
G,C.T. Pan (14631915),C.T. Pan,14631915,G,6700,RBC Heritage,Golf,39.04
G,Vaughn Taylor (14631916),Vaughn Taylor,14631916,G,6700,RBC Heritage,Golf,63.18
G,Dylan Frittelli (14631917),Dylan Frittelli,14631917,G,6700,RBC Heritage,Golf,59.37
G,Matt Jones (14631918),Matt Jones,14631918,G,6700,RBC Heritage,Golf,57.7
G,Jhonattan Vegas (14631919),Jhonattan Vegas,14631919,G,6700,RBC Heritage,Golf,58.12
G,Matthew NeSmith (14631920),Matthew NeSmith,14631920,G,6600,RBC Heritage,Golf,62.77
G,Sam Burns (14631921),Sam Burns,14631921,G,6600,RBC Heritage,Golf,52.14
G,Charl Schwartzel (14631922),Charl Schwartzel,14631922,G,6600,RBC Heritage,Golf,44.67
G,Erik Van Rooyen (14631923),Erik Van Rooyen,14631923,G,6600,RBC Heritage,Golf,58
G,Jazz Janewattananond (14631924),Jazz Janewattananond,14631924,G,6600,RBC Heritage,Golf,45
G,Brian Stuard (14631925),Brian Stuard,14631925,G,6600,RBC Heritage,Golf,60.31
G,Tom Hoge (14631926),Tom Hoge,14631926,G,6600,RBC Heritage,Golf,57.32
G,Adam Schenk (14631927),Adam Schenk,14631927,G,6500,RBC Heritage,Golf,54.22
G,Sung Kang (14631928),Sung Kang,14631928,G,6500,RBC Heritage,Golf,61.89
G,Jason Dufner (14631929),Jason Dufner,14631929,G,6500,RBC Heritage,Golf,45.71
G,Jimmy Walker (14631930),Jimmy Walker,14631930,G,6500,RBC Heritage,Golf,47.54
G,Victor Perez (14631931),Victor Perez,14631931,G,6500,RBC Heritage,Golf,78.33
G,Pat Perez (14631932),Pat Perez,14631932,G,6500,RBC Heritage,Golf,62.14
G,Keith Mitchell (14631933),Keith Mitchell,14631933,G,6500,RBC Heritage,Golf,53.27
G,Lanto Griffin (14631934),Lanto Griffin,14631934,G,6500,RBC Heritage,Golf,66.65
G,Aaron Wise (14631935),Aaron Wise,14631935,G,6400,RBC Heritage,Golf,49.41
G,Bronson Burgoon (14631936),Bronson Burgoon,14631936,G,6400,RBC Heritage,Golf,58.62
G,Doc Redman (14631937),Doc Redman,14631937,G,6400,RBC Heritage,Golf,60.75
G,Cameron Tringale (14631938),Cameron Tringale,14631938,G,6400,RBC Heritage,Golf,67.79
G,Nick Watney (14631939),Nick Watney,14631939,G,6400,RBC Heritage,Golf,51.88
G,Mark Hubbard (14631940),Mark Hubbard,14631940,G,6400,RBC Heritage,Golf,66.03
G,Troy Merritt (14631941),Troy Merritt,14631941,G,6400,RBC Heritage,Golf,52.33
G,Tyler Duncan (14631942),Tyler Duncan,14631942,G,6400,RBC Heritage,Golf,52.94
G,Aaron Baddeley (14631943),Aaron Baddeley,14631943,G,6400,RBC Heritage,Golf,56.85
G,Mackenzie Hughes (14631944),Mackenzie Hughes,14631944,G,6300,RBC Heritage,Golf,40.31
G,Carlos Ortiz (14631945),Carlos Ortiz,14631945,G,6300,RBC Heritage,Golf,68.61
G,Nate Lashley (14631946),Nate Lashley,14631946,G,6300,RBC Heritage,Golf,49.31
G,Adam Long (14631947),Adam Long,14631947,G,6300,RBC Heritage,Golf,65.28
G,Wesley Bryan (14631948),Wesley Bryan,14631948,G,6300,RBC Heritage,Golf,0
G,Brian Gay (14631949),Brian Gay,14631949,G,6300,RBC Heritage,Golf,57.8
G,Peter Malnati (14631950),Peter Malnati,14631950,G,6300,RBC Heritage,Golf,46.64
G,Wyndham Clark (14631951),Wyndham Clark,14631951,G,6300,RBC Heritage,Golf,53.32
G,Kevin Chappell (14631952),Kevin Chappell,14631952,G,6300,RBC Heritage,Golf,49.6
G,Kyle Stanley (14631953),Kyle Stanley,14631953,G,6200,RBC Heritage,Golf,48.15
