Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Brian Stuard (14663090),Brian Stuard,14663090,G,6100,Travelers Championship,Golf,60.74
G,Aaron Baddeley (14663091),Aaron Baddeley,14663091,G,6100,Travelers Championship,Golf,54.68
G,Kevin Chappell (14663092),Kevin Chappell,14663092,G,6100,Travelers Championship,Golf,47.91
G,Matt Every (14663093),Matt Every,14663093,G,6100,Travelers Championship,Golf,42.04
G,Brian Gay (14663094),Brian Gay,14663094,G,6100,Travelers Championship,Golf,56.12
G,Ted Potter Jr. (14663095),Ted Potter Jr.,14663095,G,6100,Travelers Championship,Golf,42.08
G,J.J. Spaun (14663096),J.J. Spaun,14663096,G,6100,Travelers Championship,Golf,48.96
G,Wesley Bryan (14663097),Wesley Bryan,14663097,G,6100,Travelers Championship,Golf,67
G,Zac Blair (14663098),Zac Blair,14663098,G,6100,Travelers Championship,Golf,53.53
G,Peter Malnati (14663099),Peter Malnati,14663099,G,6100,Travelers Championship,Golf,48.13
G,Nate Lashley (14663100),Nate Lashley,14663100,G,6100,Travelers Championship,Golf,48.25
G,Rob Oppenheim (14663101),Rob Oppenheim,14663101,G,6100,Travelers Championship,Golf,54.3
G,Robby Shelton (14663102),Robby Shelton,14663102,G,6100,Travelers Championship,Golf,53.88
G,Ryan Armour (14663103),Ryan Armour,14663103,G,6100,Travelers Championship,Golf,47.04
G,Bronson Burgoon (14663104),Bronson Burgoon,14663104,G,6100,Travelers Championship,Golf,56.23
G,Martin Trainer (14663105),Martin Trainer,14663105,G,6000,Travelers Championship,Golf,28.83
G,J.J. Henry (14663106),J.J. Henry,14663106,G,6000,Travelers Championship,Golf,35.38
G,Michael Kim (14663107),Michael Kim,14663107,G,6000,Travelers Championship,Golf,24.78
G,Davis Love III (14663108),Davis Love III,14663108,G,6000,Travelers Championship,Golf,26.08
G,Vijay Singh (14663109),Vijay Singh,14663109,G,6000,Travelers Championship,Golf,19.5
G,Bo Van Pelt (14663110),Bo Van Pelt,14663110,G,6000,Travelers Championship,Golf,32.58
G,Greg Chalmers (14663111),Greg Chalmers,14663111,G,6000,Travelers Championship,Golf,40
G,Scott Harrington (14663112),Scott Harrington,14663112,G,6000,Travelers Championship,Golf,51.97
G,Bo Hoag (14663113),Bo Hoag,14663113,G,6000,Travelers Championship,Golf,58.07
G,Hank Lebioda (14663114),Hank Lebioda,14663114,G,6000,Travelers Championship,Golf,46.21
G,Hunter Mahan (14663115),Hunter Mahan,14663115,G,6000,Travelers Championship,Golf,24.5
G,Henrik Norlander (14663116),Henrik Norlander,14663116,G,6000,Travelers Championship,Golf,52.75
G,Xinjun Zhang (14663117),Xinjun Zhang,14663117,G,6000,Travelers Championship,Golf,60.29
G,Seung-Yul Noh (14663118),Seung-Yul Noh,14663118,G,6000,Travelers Championship,Golf,29.75
G,Scott Brown (14663119),Scott Brown,14663119,G,6000,Travelers Championship,Golf,44.71
G,Patton Kizzire (14663120),Patton Kizzire,14663120,G,6000,Travelers Championship,Golf,42.46
G,Peter Kuest (14663121),Peter Kuest,14663121,G,6000,Travelers Championship,Golf,0
G,Roger Sloan (14663122),Roger Sloan,14663122,G,6000,Travelers Championship,Golf,38.61
