player,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Sand Saves from < 10 yards-ROUNDS,Sand Saves from < 10 yards-%,Sand Saves from < 10 yards-# OF SAVES,Sand Saves from < 10 yards-# OF BUNKERS,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling > 30 yds (RTP Score)-ROUNDS,Scrambling > 30 yds (RTP Score)-AVG RTP,Scrambling > 30 yds (RTP Score)-TOTAL HOLES,Scrambling > 30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Sand Saves from 20-30 yards-ROUNDS,Sand Saves from 20-30 yards-%,Sand Saves from 20-30 yards-# OF SAVES,Sand Saves from 20-30 yards-# OF BUNKERS,Scrambling from < 10 yards-ROUNDS,Scrambling from < 10 yards-%,Scrambling from < 10 yards-SUCCESSES,Scrambling from < 10 yards-ATTEMPTS,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Scrambling from > 30 yards-ROUNDS,Scrambling from > 30 yards-%,Scrambling from > 30 yards-SUCCESSES,Scrambling from > 30 yards-ATTEMPTS,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Proximity to Hole from 30+ yards-ROUNDS,Proximity to Hole from 30+ yards-AVG DTP,Proximity to Hole from 30+ yards-TOTAL DISTANCE (FEET),Proximity to Hole from 30+ yards-# OF SHOTS,Proximity to Hole from 30+ yards-SCRAMBLING RANK,Scrambling Average Distance to Hole-ROUNDS,Scrambling Average Distance to Hole-AVG DTP,Scrambling Average Distance to Hole-TOTAL DISTANCE (FEET),Scrambling Average Distance to Hole-ATTEMPTS,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling 10-20 yds (RTP Score)-ROUNDS,Scrambling 10-20 yds (RTP Score)-AVG RTP,Scrambling 10-20 yds (RTP Score)-TOTAL HOLES,Scrambling 10-20 yds (RTP Score)-TOTAL RTP,Sand Saves from 10-20 yards-ROUNDS,Sand Saves from 10-20 yards-%,Sand Saves from 10-20 yards-# OF SAVES,Sand Saves from 10-20 yards-# OF BUNKERS,Scrambling from 10-20 yards-ROUNDS,Scrambling from 10-20 yards-%,Scrambling from 10-20 yards-SUCCESSES,Scrambling from 10-20 yards-ATTEMPTS,Proximity to Hole from 20-30 yards-ROUNDS,Proximity to Hole from 20-30 yards-AVG DTP,Proximity to Hole from 20-30 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 20-30 yards-# OF SHOTS,Proximity to Hole from 20-30 yards-SCRAMBLING RANK,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Scrambling from 20-30 yards-ROUNDS,Scrambling from 20-30 yards-%,Scrambling from 20-30 yards-SUCCESSES,Scrambling from 20-30 yards-ATTEMPTS,Proximity to Hole from 10-20 yards-ROUNDS,Proximity to Hole from 10-20 yards-AVG DTP,Proximity to Hole from 10-20 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 10-20 yards-# OF SHOTS,Proximity to Hole from 10-20 yards-SCRAMBLING RANK,Scrambling 20-30 yds (RTP Score)-ROUNDS,Scrambling 20-30 yds (RTP Score)-AVG RTP,Scrambling 20-30 yds (RTP Score)-TOTAL HOLES,Scrambling 20-30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from < 10 yards-ROUNDS,Proximity to Hole from < 10 yards-AVG DTP,Proximity to Hole from < 10 yards-TOTAL DISTANCE (FEET),Proximity to Hole from < 10 yards-# OF SHOTS,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Sand Saves from 30+ yards-ROUNDS,Sand Saves from 30+ yards-%,Sand Saves from 30+ yards-# OF SAVES,Sand Saves from 30+ yards-# OF BUNKERS
Brian Stuard,57,.497,19.868,40,57,54.08,53,98,+29.00,57,50.00,5,10,57,"3' 8""",91.250,25,45,57,"6' 7""",600.583,91,45,57,+.735,34,+25.00,57,"8' 2""",524.417,64,45,57,"6' 7""","1,822.000",277,45,57,65.00,13,20,57,78.13,50,64,57,66.67,84,126,57,35.29,12,34,57,83.33,25,30,57,"11' 1""",399.083,36,45,57,"7' 3""","1,735.917",240,57,"6' 3""",7.269,97,45,57,+.204,103,+21.00,57,76.67,23,30,57,76.70,79,103,57,"8' 10""",594.167,67,45,57,+.333,126,+42.00,57,62.28,71,114,57,54.55,30,55,57,"5' 2""",571.667,111,45,57,+.473,55,+26.00,57,"4' 1""",257.083,63,45,57,58.57,41,70,57,+.067,30,+2.00,57,63.59,234,368,57,27.27,3,11
Peter Uihlein,33,.492,11.314,23,33,60.47,26,43,+7.00,33,100.00,2,2,33,"2' 2""",25.583,12,113,33,"9' 1""",382.167,42,113,33,+.769,39,+30.00,33,"8' 11""",239.750,27,113,33,"7' 9""","1,003.417",129,113,33,61.54,8,13,33,91.67,22,24,33,52.11,37,71,33,41.03,16,39,33,89.47,17,19,33,"12' 2""",328.500,27,113,33,"9' 3""",974.667,105,33,"7' 5""",4.271,48,113,33,+.429,35,+15.00,33,61.54,8,13,33,57.14,20,35,33,"7' 4""",279.750,38,113,33,+.507,71,+36.00,33,57.58,38,66,33,65.38,17,26,33,"8' 4""",341.333,41,113,33,+.346,26,+9.00,33,"2' 4""",53.833,23,113,33,61.29,19,31,33,-.105,19,-2.00,33,59.04,111,188,33,.00,0,1
Jordan Spieth,34,.443,8.415,19,34,45.45,30,66,+26.00,34,66.67,2,3,34,"2' 1""",37.500,18,160,34,"7' 0""",428.167,61,160,34,+.960,25,+24.00,34,"9' 3""",269.000,29,160,34,"6' 8""",969.000,146,160,34,30.00,3,10,34,79.31,23,29,34,54.84,34,62,34,16.00,4,25,34,89.47,17,19,34,"10' 3""",194.083,19,160,34,"7' 10""",968.167,124,34,"6' 2""",2.812,38,160,34,+.345,58,+20.00,34,52.63,10,19,34,67.24,39,58,34,"7' 4""",204.333,28,160,34,+.468,62,+29.00,34,55.56,25,45,34,60.87,14,23,34,"6' 10""",457.083,67,160,34,+.348,23,+8.00,34,"3' 7""",113.500,32,160,34,48.15,13,27,34,+.053,19,+1.00,34,57.08,133,233,34,.00,0,2
Phil Mickelson,29,.426,6.815,16,29,55.88,38,68,+16.00,29,.00,0,2,29,"1' 1""",3.333,3,92,29,"6' 11""",247.500,36,92,29,+1.000,21,+21.00,29,"7' 6""",323.000,43,92,29,"6' 9""",813.833,121,92,29,50.00,7,14,29,85.71,18,21,29,60.00,36,60,29,33.33,7,21,29,85.71,6,7,29,"10' 6""",178.417,17,92,29,"9' 8""","1,022.417",106,29,"6' 2""",2.880,39,92,29,+.320,50,+16.00,29,58.62,17,29,29,68.00,34,50,29,"8' 0""",208.417,26,92,29,+.467,60,+28.00,29,65.12,28,43,29,45.45,10,22,29,"6' 3""",356.667,57,92,29,+.500,22,+11.00,29,"3' 4""",70.333,21,92,29,57.89,22,38,29,+.143,7,+1.00,29,60.43,113,187,29,75.00,3,4
Carlos Ortiz,48,.415,17.012,41,48,51.43,36,70,+16.00,48,50.00,3,6,48,"3' 0""",71.333,24,20,48,"7' 8""",636.667,83,20,48,+.711,45,+32.00,48,"8' 1""",429.333,53,20,48,"6' 8""","1,640.000",245,20,48,45.00,9,20,48,88.14,52,59,48,63.46,66,104,48,42.22,19,45,48,88.46,23,26,48,"9' 0""",315.083,35,20,48,"6' 8""","1,345.583",203,48,"5' 11""",6.032,85,20,48,+.213,89,+19.00,48,60.00,18,30,48,73.03,65,89,48,"8' 9""",453.750,52,20,48,+.365,104,+38.00,48,64.52,60,93,48,43.24,16,37,48,"6' 8""",699.167,105,20,48,+.568,37,+21.00,48,"3' 3""",172.000,53,20,48,58.33,28,48,48,+.077,26,+2.00,48,65.31,177,271,48,42.86,3,7
Alex Noren,32,.406,8.517,21,32,58.06,36,62,+17.00,32,50.00,1,2,32,"3' 2""",34.750,11,28,32,"8' 6""",425.833,50,28,32,+.923,26,+24.00,32,"9' 1""",361.917,40,28,32,"7' 4""","1,146.583",156,28,32,44.44,4,9,32,89.66,26,29,32,65.67,44,67,32,26.92,7,26,32,89.47,17,19,32,"11' 9""",211.833,18,28,32,"7' 2""",945.917,132,32,"5' 11""",3.889,55,28,32,+.257,70,+18.00,32,62.07,18,29,32,71.43,50,70,32,"11' 4""",340.333,30,28,32,+.299,67,+20.00,32,62.16,46,74,32,45.45,10,22,32,"6' 1""",463.167,76,28,32,+.545,22,+12.00,32,"4' 1""",131.250,32,28,32,58.00,29,50,32,-.053,19,-1.00,32,64.76,136,210,32,.00,0,2
Ricky Barnes,28,.393,6.684,17,28,58.33,28,48,+16.00,28,33.33,1,3,28,"1' 9""",29.250,17,16,28,"7' 1""",233.583,33,16,28,+1.000,24,+24.00,28,"10' 10""",313.417,29,16,28,"7' 1""",840.750,119,16,28,70.00,7,10,28,88.46,23,26,28,58.90,43,73,28,20.83,5,24,28,96.55,28,29,28,"20' 7""",309.333,15,16,28,"6' 4""",656.167,103,28,"6' 7""",3.174,40,16,28,+.130,46,+6.00,28,78.57,11,14,28,84.78,39,46,28,"7' 10""",227.250,29,16,28,+.466,73,+34.00,28,67.31,35,52,28,77.27,17,22,28,"5' 0""",229.000,46,16,28,+.273,22,+6.00,28,"2' 7""",75.167,29,16,28,58.54,24,41,28,-.138,29,-4.00,28,65.99,130,197,28,25.00,1,4
Steve Stricker,18,.378,4.920,13,18,60.87,28,46,+12.00,18,100.00,2,2,18,"2' 11""",47.167,16,40,18,"11' 1""",376.750,34,40,18,+.630,27,+17.00,18,"9' 11""",307.333,31,40,18,"7' 8""",894.917,117,40,18,50.00,3,6,18,85.71,18,21,18,58.14,25,43,18,37.04,10,27,18,71.43,15,21,18,"12' 8""",253.750,20,40,18,"7' 11""",830.583,105,18,"4' 7""",1.964,36,40,18,+.313,48,+15.00,18,55.56,10,18,18,68.75,33,48,18,"9' 0""",198.833,22,40,18,+.419,43,+18.00,18,69.57,32,46,18,52.63,10,19,18,"6' 8""",362.167,54,40,18,+.474,19,+9.00,18,"3' 10""",80.167,21,40,18,60.00,24,40,18,+.143,21,+3.00,18,64.00,96,150,18,71.43,5,7
Bud Cauley,42,.373,14.551,39,42,65.38,51,78,+14.00,42,80.00,4,5,42,"2' 9""",49.500,18,9,42,"6' 7""",626.583,95,9,42,+.765,34,+26.00,42,"7' 1""",486.000,69,9,42,"6' 9""","1,687.083",249,9,42,63.16,12,19,42,89.36,42,47,42,67.31,70,104,42,38.24,13,34,42,80.00,16,20,42,"12' 4""",332.917,27,9,42,"7' 7""","1,696.000",223,42,"7' 10""",6.300,67,9,42,+.321,109,+35.00,42,60.98,25,41,42,67.89,74,109,42,"8' 11""",534.417,60,9,42,+.317,104,+33.00,42,66.67,48,72,42,62.26,33,53,42,"5' 9""",675.500,117,9,42,+.377,53,+20.00,42,"3' 2""",144.250,45,9,42,63.93,39,61,42,+.100,20,+2.00,42,67.05,173,258,42,77.78,7,9
Patrick Reed,34,.361,9.036,25,34,60.00,36,60,+19.00,34,100.00,4,4,34,"3' 9""",55.750,15,22,34,"7' 8""",406.167,53,22,34,+.786,28,+22.00,34,"9' 3""",371.167,40,22,34,"7' 1""","1,320.167",186,22,34,45.45,5,11,34,95.83,23,24,34,65.57,40,61,34,35.71,10,28,34,100.00,13,13,34,"9' 10""",294.333,30,22,34,"8' 0""","1,262.167",157,34,"6' 3""",5.845,78,22,34,+.313,83,+26.00,34,60.71,17,28,34,66.27,55,83,34,"8' 8""",371.250,43,22,34,+.377,61,+23.00,34,59.42,41,69,34,62.86,22,35,34,"6' 9""",569.750,84,22,34,+.429,35,+15.00,34,"2' 11""",84.833,29,22,34,60.00,21,35,34,-.077,13,-1.00,34,65.14,142,218,34,66.67,2,3
