player,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Sand Saves from < 10 yards-ROUNDS,Sand Saves from < 10 yards-%,Sand Saves from < 10 yards-# OF SAVES,Sand Saves from < 10 yards-# OF BUNKERS,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling > 30 yds (RTP Score)-ROUNDS,Scrambling > 30 yds (RTP Score)-AVG RTP,Scrambling > 30 yds (RTP Score)-TOTAL HOLES,Scrambling > 30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Sand Saves from 20-30 yards-ROUNDS,Sand Saves from 20-30 yards-%,Sand Saves from 20-30 yards-# OF SAVES,Sand Saves from 20-30 yards-# OF BUNKERS,Scrambling from < 10 yards-ROUNDS,Scrambling from < 10 yards-%,Scrambling from < 10 yards-SUCCESSES,Scrambling from < 10 yards-ATTEMPTS,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Scrambling from > 30 yards-ROUNDS,Scrambling from > 30 yards-%,Scrambling from > 30 yards-SUCCESSES,Scrambling from > 30 yards-ATTEMPTS,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Proximity to Hole from 30+ yards-ROUNDS,Proximity to Hole from 30+ yards-AVG DTP,Proximity to Hole from 30+ yards-TOTAL DISTANCE (FEET),Proximity to Hole from 30+ yards-# OF SHOTS,Proximity to Hole from 30+ yards-SCRAMBLING RANK,Scrambling Average Distance to Hole-ROUNDS,Scrambling Average Distance to Hole-AVG DTP,Scrambling Average Distance to Hole-TOTAL DISTANCE (FEET),Scrambling Average Distance to Hole-ATTEMPTS,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling 10-20 yds (RTP Score)-ROUNDS,Scrambling 10-20 yds (RTP Score)-AVG RTP,Scrambling 10-20 yds (RTP Score)-TOTAL HOLES,Scrambling 10-20 yds (RTP Score)-TOTAL RTP,Sand Saves from 10-20 yards-ROUNDS,Sand Saves from 10-20 yards-%,Sand Saves from 10-20 yards-# OF SAVES,Sand Saves from 10-20 yards-# OF BUNKERS,Scrambling from 10-20 yards-ROUNDS,Scrambling from 10-20 yards-%,Scrambling from 10-20 yards-SUCCESSES,Scrambling from 10-20 yards-ATTEMPTS,Proximity to Hole from 20-30 yards-ROUNDS,Proximity to Hole from 20-30 yards-AVG DTP,Proximity to Hole from 20-30 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 20-30 yards-# OF SHOTS,Proximity to Hole from 20-30 yards-SCRAMBLING RANK,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Scrambling from 20-30 yards-ROUNDS,Scrambling from 20-30 yards-%,Scrambling from 20-30 yards-SUCCESSES,Scrambling from 20-30 yards-ATTEMPTS,Proximity to Hole from 10-20 yards-ROUNDS,Proximity to Hole from 10-20 yards-AVG DTP,Proximity to Hole from 10-20 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 10-20 yards-# OF SHOTS,Proximity to Hole from 10-20 yards-SCRAMBLING RANK,Scrambling 20-30 yds (RTP Score)-ROUNDS,Scrambling 20-30 yds (RTP Score)-AVG RTP,Scrambling 20-30 yds (RTP Score)-TOTAL HOLES,Scrambling 20-30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from < 10 yards-ROUNDS,Proximity to Hole from < 10 yards-AVG DTP,Proximity to Hole from < 10 yards-TOTAL DISTANCE (FEET),Proximity to Hole from < 10 yards-# OF SHOTS,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Sand Saves from 30+ yards-ROUNDS,Sand Saves from 30+ yards-%,Sand Saves from 30+ yards-# OF SAVES,Sand Saves from 30+ yards-# OF BUNKERS
Rafael Campos,29,.357,6.428,18,29,50.00,27,54,+16.00,29,66.67,2,3,29,"3' 9""",78.667,21,100,29,"7' 10""",405.500,52,100,29,+.944,18,+17.00,29,"8' 9""",306.000,35,100,29,"6' 11""",927.667,134,100,29,46.67,7,15,29,80.56,29,36,29,61.29,57,93,29,33.33,6,18,29,76.19,16,21,29,"11' 8""",175.333,15,100,29,"7' 2""",800.917,112,29,"5' 3""",1.650,26,100,29,+.333,45,+15.00,29,45.00,9,20,29,64.44,29,45,29,"10' 8""",319.083,30,100,29,+.419,93,+39.00,29,58.54,24,41,29,45.83,11,24,29,"6' 0""",324.167,54,100,29,+.583,24,+14.00,29,"3' 1""",109.083,35,100,29,51.16,22,43,29,+.190,21,+4.00,29,59.80,119,199,29,66.67,2,3
Chez Reavie,47,.338,9.120,27,47,50.70,36,71,+20.00,47,20.00,1,5,47,"3' 4""",43.167,13,94,47,"6' 0""",383.083,64,94,47,+.846,26,+22.00,47,"9' 8""",300.417,31,94,47,"6' 10""","1,086.667",160,94,47,75.00,6,8,47,77.14,27,35,47,56.00,42,75,47,26.92,7,26,47,83.33,15,18,47,"10' 5""",207.750,20,94,47,"8' 7""","1,214.083",142,47,"6' 11""",4.320,52,94,47,+.319,69,+22.00,47,55.56,10,18,47,66.67,46,69,47,"7' 7""",243.500,32,94,47,+.427,75,+32.00,47,63.24,43,68,47,57.14,16,28,47,"6' 8""",488.083,73,94,47,+.464,28,+13.00,47,"4' 3""",147.333,35,94,47,48.48,16,33,47,-.056,18,-1.00,47,60.22,165,274,47,40.00,2,5
Charles Howell III,47,.327,9.166,28,47,52.46,32,61,+17.00,47,50.00,1,2,47,"3' 6""",41.750,12,121,47,"6' 11""",471.083,68,121,47,+.853,34,+29.00,47,"9' 10""",382.500,39,121,47,"7' 1""","1,324.167",186,121,47,37.50,6,16,47,70.37,19,27,47,54.17,39,72,47,26.47,9,34,47,69.23,9,13,47,"11' 2""",378.833,34,121,47,"6' 10""",971.083,142,47,"6' 5""",5.146,67,121,47,+.306,62,+19.00,47,63.16,12,19,47,70.97,44,62,47,"8' 4""",418.167,50,121,47,+.486,72,+35.00,47,60.00,45,75,47,48.72,19,39,47,"5' 7""",420.167,75,121,47,+.538,39,+21.00,47,"4' 0""",107.000,27,121,47,50.00,17,34,47,+.308,13,+4.00,47,58.63,146,249,47,.00,0,5
Ryan Armour,36,.325,7.483,23,36,44.44,24,54,+22.00,36,100.00,3,3,36,"2' 3""",22.083,10,172,36,"8' 6""",485.833,57,172,36,+.800,25,+20.00,36,"11' 5""",386.833,34,172,36,"8' 0""","1,211.000",152,172,36,60.00,6,10,36,83.33,20,24,36,55.29,47,85,36,28.00,7,25,36,81.82,9,11,36,"15' 4""",353.000,23,172,36,"8' 6""","1,063.500",125,36,"6' 2""",3.795,51,172,36,+.397,58,+23.00,36,43.75,7,16,36,58.62,34,58,36,"8' 6""",330.250,39,172,36,+.412,85,+35.00,36,59.42,41,69,36,57.14,16,28,36,"7' 5""",468.083,63,172,36,+.429,28,+12.00,36,"2' 3""",59.667,27,172,36,43.90,18,41,36,+.182,11,+2.00,36,56.04,116,207,36,25.00,2,8
Ian Poulter,22,.307,3.687,12,22,64.58,31,48,+13.00,22,100.00,3,3,22,"2' 11""",8.750,3,25,22,"8' 8""",217.583,25,25,22,+.846,26,+22.00,22,"5' 5""",135.583,25,25,22,"7' 3""",619.917,86,25,22,62.50,5,8,22,100.00,9,9,22,51.52,17,33,22,19.23,5,26,22,100.00,1,1,22,"12' 5""",186.000,15,25,22,"7' 9""",621.333,80,22,"7' 10""",3.096,33,25,22,+.158,38,+6.00,22,68.75,11,16,22,78.95,30,38,22,"7' 4""",154.250,21,25,22,+.515,33,+17.00,22,58.82,20,34,22,63.16,12,19,22,"6' 5""",255.583,40,25,22,+.421,19,+8.00,22,"2' 5""",24.083,10,25,22,75.00,18,24,22,E,1,E,22,64.94,100,154,22,.00,0,2
Matt Wallace,16,.307,3.682,12,16,63.89,23,36,+14.00,16,100.00,4,4,16,"4' 1""",32.833,8,174,16,"8' 4""",301.167,36,174,16,+.889,18,+16.00,16,"7' 7""",205.167,27,174,16,"7' 5""",674.167,91,174,16,62.50,5,8,16,100.00,10,10,16,55.56,15,27,16,22.22,4,18,16,100.00,6,6,16,"8' 4""",117.083,14,174,16,"7' 10""",556.917,71,16,"6' 9""",1.620,20,174,16,+.324,34,+11.00,16,68.75,11,16,16,61.76,21,34,16,"8' 8""",224.583,26,174,16,+.481,27,+13.00,16,42.86,12,28,16,75.00,15,20,16,"7' 7""",301.917,40,174,16,+.400,20,+8.00,16,"2' 9""",30.583,11,174,16,68.00,17,25,16,-.167,6,-1.00,16,56.03,65,116,16,33.33,1,3
Seamus Power,22,.298,3.282,11,22,46.67,14,30,+11.00,22,50.00,1,2,22,"2' 7""",23.167,9,215,22,"6' 5""",141.500,22,215,22,+.947,19,+18.00,22,"8' 5""",108.917,13,215,22,"6' 7""",389.583,59,215,22,60.00,3,5,22,93.33,14,15,22,54.35,25,46,22,15.79,3,19,22,83.33,15,18,22,"17' 10""",107.167,6,215,22,"7' 2""",352.083,49,22,"7' 9""",1.392,15,215,22,+.300,20,+6.00,22,62.50,5,8,22,65.00,13,20,22,"8' 0""",112.083,14,215,22,+.500,46,+23.00,22,47.62,20,42,22,42.86,3,7,22,"6' 4""",139.250,22,215,22,+.571,7,+4.00,22,"1' 10""",31.083,17,215,22,36.84,7,19,22,+.056,18,+1.00,22,52.34,67,128,22,.00,0,2
Fabián Gómez,43,.298,8.050,27,43,60.00,39,65,+13.00,43,100.00,2,2,43,"2' 11""",43.417,15,82,43,"6' 3""",341.917,55,82,43,+.889,18,+16.00,43,"7' 1""",283.500,40,82,43,"6' 8""","1,201.917",181,82,43,66.67,8,12,43,90.24,37,41,43,64.21,61,95,43,22.22,4,18,43,90.48,19,21,43,"12' 3""",184.000,15,82,43,"7' 1""","1,107.083",157,43,"7' 6""",6.397,71,82,43,+.347,75,+26.00,43,68.00,17,25,43,61.33,46,75,43,"8' 11""",381.667,43,82,43,+.358,95,+34.00,43,56.99,53,93,43,51.52,17,33,43,"6' 6""",529.250,81,82,43,+.485,33,+16.00,43,"2' 7""",107.000,42,82,43,50.00,24,48,43,+.048,21,+1.00,43,61.09,157,257,43,28.57,2,7
Kevin Tway,36,.294,6.773,23,36,45.76,27,59,+20.00,36,100.00,1,1,36,"2' 5""",24.000,10,184,36,"9' 4""",468.417,50,184,36,+.844,32,+27.00,36,"10' 7""",370.167,35,184,36,"7' 10""","1,373.833",175,184,36,27.27,3,11,36,87.50,21,24,36,52.00,26,50,36,25.00,8,32,36,100.00,9,9,36,"10' 0""",230.917,23,184,36,"7' 6""","1,060.250",141,36,"6' 5""",6.135,80,184,36,+.347,72,+25.00,36,52.00,13,25,36,61.11,44,72,36,"9' 3""",352.250,38,184,36,+.420,50,+21.00,36,60.00,45,75,36,54.84,17,31,36,"7' 11""",682.083,86,184,36,+.452,31,+14.00,36,"3' 11""",108.583,28,184,36,41.38,12,29,36,E,9,E,36,55.56,135,243,36,.00,0,3
Si Woo Kim,40,.290,7.531,26,40,51.16,44,86,+26.00,40,40.00,2,5,40,"2' 4""",30.083,13,131,40,"8' 9""",506.083,58,131,40,+.725,40,+29.00,40,"8' 9""",447.833,51,131,40,"7' 8""","1,462.583",190,131,40,64.29,9,14,40,82.86,29,35,40,56.34,40,71,40,35.00,14,40,40,92.86,13,14,40,"10' 6""",273.000,26,131,40,"8' 8""","1,338.000",155,40,"7' 0""",5.743,68,131,40,+.373,75,+28.00,40,48.57,17,35,40,64.00,48,75,40,"10' 0""",468.500,47,131,40,+.521,71,+37.00,40,58.76,57,97,40,59.38,19,32,40,"6' 10""",575.333,84,131,40,+.438,32,+14.00,40,"4' 5""",145.750,33,131,40,50.00,23,46,40,-.071,14,-1.00,40,58.24,159,273,40,50.00,1,2
Keegan Bradley,44,.285,9.408,33,44,57.14,40,70,+23.00,44,100.00,2,2,44,"3' 2""",89.333,28,104,44,"6' 11""",382.500,55,104,44,+.763,38,+29.00,44,"8' 10""",476.917,54,104,44,"6' 9""","1,525.333",225,104,44,57.14,12,21,44,85.71,42,49,44,50.79,32,63,44,26.32,10,38,44,86.21,25,29,44,"11' 0""",318.000,29,104,44,"7' 7""","1,462.167",193,44,"6' 7""",6.919,88,104,44,+.337,83,+28.00,44,62.50,20,32,44,63.86,53,83,44,"8' 0""",461.917,58,104,44,+.460,63,+29.00,44,57.47,50,87,44,61.90,26,42,44,"6' 9""",598.167,89,104,44,+.405,42,+17.00,44,"3' 0""",147.250,49,104,44,65.96,31,47,44,+.103,29,+3.00,44,59.70,160,268,44,50.00,2,4
Hudson Swafford,21,.278,3.897,14,21,54.84,17,31,+16.00,21,100.00,1,1,21,"1' 11""",13.250,7,73,21,"8' 3""",173.083,21,73,21,+.800,15,+12.00,21,"7' 5""",155.917,21,73,21,"6' 8""",546.583,82,73,21,66.67,2,3,21,100.00,15,15,21,46.67,21,45,21,33.33,5,15,21,100.00,11,11,21,"15' 8""",172.583,11,73,21,"7' 8""",574.667,75,21,"6' 2""",2.452,33,73,21,+.400,40,+16.00,21,68.75,11,16,21,65.00,26,40,21,"6' 7""",104.750,16,73,21,+.622,45,+28.00,21,70.00,35,50,21,50.00,8,16,21,"6' 2""",245.250,40,73,21,+.563,16,+9.00,21,"1' 7""",24.000,15,73,21,56.00,14,25,21,-.182,11,-2.00,21,61.36,81,132,21,.00,0,2
Webb Simpson,22,.276,5.790,21,22,58.82,20,34,+3.00,22,100.00,3,3,22,"8' 0""",87.833,11,14,22,"7' 11""",340.917,43,14,22,+.625,16,+10.00,22,"8' 1""",251.167,31,14,22,"7' 2""",871.333,121,14,22,69.23,9,13,22,95.65,22,23,22,59.52,25,42,22,43.75,7,16,22,81.82,9,11,22,"12' 5""",99.333,8,14,22,"7' 7""",723.167,95,22,"5' 4""",2.297,36,14,22,+.400,40,+16.00,22,53.33,8,15,22,62.50,25,40,22,"7' 10""",335.250,43,14,22,+.405,42,+17.00,22,73.68,28,38,22,62.07,18,29,22,"7' 9""",362.583,47,14,22,+.414,29,+12.00,22,"3' 3""",74.167,23,14,22,61.90,13,21,22,+.091,11,+1.00,22,66.37,75,113,22,.00,0,2
Nick Watney,35,.274,7.406,27,35,45.10,23,51,+16.00,35,33.33,1,3,35,"2' 4""",39.417,17,180,35,"8' 0""",382.250,48,180,35,+1.000,34,+34.00,35,"8' 6""",289.083,34,180,35,"7' 5""","1,073.333",144,180,35,50.00,6,12,35,79.17,19,24,35,58.62,34,58,35,29.41,10,34,35,90.91,20,22,35,"10' 9""",289.833,27,180,35,"7' 10""",928.917,119,35,"8' 1""",4.351,45,180,35,+.204,49,+10.00,35,60.00,9,15,35,75.51,37,49,35,"8' 8""",346.333,40,180,35,+.466,58,+27.00,35,48.53,33,68,35,33.33,11,33,35,"6' 10""",367.500,54,180,35,+.667,33,+22.00,35,"3' 0""",69.667,23,180,35,45.71,16,35,35,-.045,22,-1.00,35,55.68,103,185,35,41.67,5,12
Justin Thomas,32,.273,6.556,24,32,62.79,27,43,+6.00,32,75.00,3,4,32,"2' 7""",45.833,18,19,32,"7' 5""",371.667,50,19,32,+.750,28,+21.00,32,"7' 3""",218.417,30,19,32,"6' 2""",971.167,157,19,32,83.33,5,6,32,95.12,39,41,32,58.97,23,39,32,35.71,10,28,32,94.44,17,18,32,"9' 7""",268.833,28,19,32,"6' 10""",834.083,122,32,"5' 8""",4.023,59,19,32,+.378,45,+17.00,32,66.67,10,15,32,62.22,28,45,32,"6' 8""",192.583,29,19,32,+.410,39,+16.00,32,64.29,36,56,32,63.16,12,19,32,"5' 10""",351.250,60,19,32,+.421,19,+8.00,32,"4' 0""",158.500,40,19,32,61.90,13,21,32,-.056,18,-1.00,32,65.45,108,165,32,42.86,3,7
Brooks Koepka,18,.266,4.260,16,18,52.17,24,46,+11.00,18,50.00,2,4,18,"3' 3""",32.750,10,178,18,"9' 11""",318.333,32,178,18,+.857,21,+18.00,18,"7' 9""",256.083,33,178,18,"7' 5""",810.500,109,178,18,45.45,5,11,18,75.00,15,20,18,48.00,12,25,18,33.33,7,21,18,75.00,6,8,18,"12' 8""",202.167,16,178,18,"8' 5""",821.750,98,18,"6' 0""",2.440,34,178,18,+.310,42,+13.00,18,59.09,13,22,18,66.67,28,42,18,"7' 10""",226.250,29,178,18,+.680,25,+17.00,18,60.00,27,45,18,52.17,12,23,18,"6' 8""",287.750,43,178,18,+.478,23,+11.00,18,"4' 6""",94.333,21,178,18,53.13,17,32,18,+.250,8,+2.00,18,55.74,68,122,18,33.33,1,3
Robert Garrigus,19,.260,2.597,10,19,37.84,14,37,+13.00,19,.00,0,1,19,"3' 9""",41.167,11,192,19,"7' 2""",207.417,29,192,19,+1.133,15,+17.00,19,"11' 7""",197.500,17,192,19,"7' 9""",519.833,67,192,19,66.67,2,3,19,88.24,15,17,19,64.58,31,48,19,13.33,2,15,19,69.23,9,13,19,"17' 4""",155.750,9,192,19,"9' 7""",545.167,57,19,"7' 5""",.885,10,192,19,+.429,28,+12.00,19,27.27,3,11,19,57.14,16,28,19,"7' 5""",81.667,11,192,19,+.354,48,+17.00,19,50.00,21,42,19,37.50,3,8,19,"8' 1""",243.500,30,192,19,+.625,8,+5.00,19,"2' 3""",38.917,17,192,19,38.46,10,26,19,+.308,13,+4.00,19,55.04,71,129,19,33.33,1,3
Kevin Na,44,.252,8.048,32,44,58.43,52,89,+11.00,44,83.33,5,6,44,"3' 2""",80.083,25,11,44,"7' 8""",462.250,60,11,44,+.969,32,+31.00,44,"9' 7""",545.333,57,11,44,"7' 1""","1,580.417",223,11,44,60.87,14,23,44,90.74,49,54,44,60.81,45,74,44,31.25,10,32,44,92.31,24,26,44,"9' 8""",242.167,25,11,44,"7' 3""","1,348.500",186,44,"6' 1""",5.913,81,11,44,+.221,77,+17.00,44,57.14,16,28,44,75.32,58,77,44,"10' 6""",596.167,57,11,44,+.459,74,+34.00,44,65.82,52,79,44,51.16,22,43,44,"6' 10""",607.167,89,11,44,+.558,43,+24.00,44,"2' 7""",134.917,52,11,44,62.75,32,51,44,-.115,26,-3.00,44,66.67,186,279,44,50.00,4,8
Dylan Frittelli,52,.249,9.447,38,52,54.26,51,94,+21.00,52,50.00,2,4,52,"2' 5""",43.667,18,61,52,"8' 0""",597.333,75,61,52,+.688,48,+33.00,52,"8' 2""",547.833,67,61,52,"7' 3""","1,913.917",265,61,52,57.89,11,19,52,80.95,34,42,52,59.30,51,86,52,37.50,18,48,52,91.67,22,24,52,"11' 4""",454.583,40,61,52,"8' 1""","1,820.417",226,52,"6' 11""",8.701,105,61,52,+.345,110,+38.00,52,52.27,23,44,52,65.45,72,110,52,"8' 0""",448.750,56,61,52,+.407,86,+35.00,52,61.42,78,127,52,60.71,34,56,52,"6' 7""",854.000,129,61,52,+.446,56,+25.00,52,"3' 11""",156.583,40,61,52,56.14,32,57,52,-.083,24,-2.00,52,62.01,204,329,52,55.56,5,9
Kurt Kitayama,18,.238,2.860,12,18,42.86,12,28,+9.00,18,100.00,2,2,18,"2' 2""",8.500,4,190,18,"7' 3""",312.500,43,190,18,+.714,14,+10.00,18,"7' 1""",141.667,20,190,18,"7' 5""",729.417,98,190,18,33.33,2,6,18,76.19,16,21,18,50.00,20,40,18,64.29,9,14,18,100.00,3,3,18,"6' 9""",60.500,9,190,18,"8' 8""",641.750,74,18,"8' 7""",3.201,31,190,18,+.647,34,+22.00,18,45.45,5,11,18,44.12,15,34,18,"10' 2""",255.000,25,190,18,+.575,40,+23.00,18,53.13,17,32,18,33.33,4,12,18,"6' 11""",303.333,44,190,18,+.667,12,+8.00,18,"5' 6""",110.583,20,190,18,58.82,10,17,18,E,3,E,18,55.17,64,116,18,100.00,2,2
Rhein Gibson,42,.236,6.148,26,42,56.58,43,76,+23.00,42,75.00,3,4,42,"3' 3""",49.083,15,109,42,"7' 3""",434.583,60,109,42,+1.171,35,+41.00,42,"8' 6""",382.333,45,109,42,"7' 2""","1,127.167",158,109,42,66.67,12,18,42,85.29,29,34,42,55.93,66,118,42,25.71,9,35,42,84.62,22,26,42,"11' 6""",265.250,23,109,42,"8' 2""","1,124.167",138,42,"6' 10""",3.134,38,109,42,+.396,53,+21.00,42,52.63,10,19,42,56.60,30,53,42,"7' 10""",369.083,47,109,42,+.466,118,+55.00,42,59.70,40,67,42,67.65,23,34,42,"6' 4""",354.583,56,109,42,+.294,34,+10.00,42,"4' 4""",138.250,32,109,42,56.60,30,53,42,+.038,26,+1.00,42,59.40,158,266,42,44.44,4,9
Patrick Cantlay,20,.235,4.227,18,20,50.00,13,26,E,20,50.00,1,2,20,"1' 2""",15.000,13,141,20,"13' 3""",436.750,33,141,20,+.769,13,+10.00,20,"11' 0""",241.583,22,141,20,"8' 10""",935.000,106,141,20,50.00,3,6,20,86.36,19,22,20,41.38,12,29,20,38.46,5,13,20,92.86,13,14,20,"13' 1""",183.250,14,141,20,"7' 9""",567.167,73,20,"6' 4""",2.900,38,141,20,+.432,37,+16.00,20,64.29,9,14,20,54.05,20,37,20,"13' 0""",312.250,24,141,20,+.552,29,+16.00,20,60.00,21,35,20,33.33,3,9,20,"8' 4""",382.417,46,141,20,+.667,9,+6.00,20,"2' 7""",57.083,22,141,20,50.00,6,12,20,-.214,14,-3.00,20,57.78,52,90,20,.00,0,3
Branden Grace,27,.233,4.435,19,27,54.72,29,53,+12.00,27,66.67,2,3,27,"4' 0""",48.417,12,137,27,"8' 0""",303.667,38,137,27,+1.000,19,+19.00,27,"9' 5""",338.333,36,137,27,"7' 7""",889.083,117,137,27,41.67,5,12,27,95.45,21,22,27,60.42,29,48,27,10.53,2,19,27,78.57,11,14,27,"11' 6""",183.917,16,137,27,"6' 5""",610.917,95,27,"6' 5""",2.384,31,137,27,+.409,44,+18.00,27,61.11,11,18,27,59.09,26,44,27,"9' 7""",259.083,27,137,27,+.396,48,+19.00,27,44.74,17,38,27,55.00,11,20,27,"7' 2""",385.833,54,137,27,+.400,20,+8.00,27,"3' 0""",60.250,20,137,27,51.43,18,35,27,+.214,14,+3.00,27,58.00,87,150,27,75.00,3,4
Rory Sabbatini,46,.230,6.900,30,46,65.52,57,87,+20.00,46,75.00,3,4,46,"3' 3""",58.833,18,112,46,"8' 10""",361.000,41,112,46,+.680,25,+17.00,46,"6' 5""",382.833,60,112,46,"6' 9""","1,310.833",194,112,46,71.43,15,21,46,71.43,20,28,46,50.85,30,59,46,36.00,9,25,46,94.74,18,19,46,"8' 10""",221.333,25,112,46,"8' 5""","1,486.667",176,46,"6' 9""",6.098,75,112,46,+.321,84,+27.00,46,61.29,19,31,46,71.43,60,84,46,"7' 8""",454.250,59,112,46,+.542,59,+32.00,46,54.95,50,91,46,50.94,27,53,46,"6' 5""",527.333,82,112,46,+.491,53,+26.00,46,"3' 10""",107.917,28,112,46,67.24,39,58,46,-.053,19,-1.00,46,59.18,158,267,46,45.45,5,11
Harold Varner III,50,.216,7.132,33,50,41.98,34,81,+30.00,50,40.00,2,5,50,"3' 11""",65.917,17,96,50,"9' 3""",714.167,77,96,50,+.818,22,+18.00,50,"8' 10""",407.500,46,96,50,"7' 9""","1,598.917",206,96,50,70.00,7,10,50,91.89,34,37,50,64.13,59,92,50,36.36,8,22,50,83.33,15,18,50,"13' 7""",325.833,24,96,50,"7' 8""","1,331.833",173,50,"6' 3""",4.936,66,96,50,+.337,83,+28.00,50,40.00,12,30,50,66.27,55,83,50,"10' 1""",534.167,53,96,50,+.402,92,+37.00,50,63.86,53,83,50,58.97,23,39,50,"6' 8""",608.750,91,96,50,+.462,39,+18.00,50,"3' 5""",130.167,38,96,50,45.45,20,44,50,+.056,18,+1.00,50,60.07,164,273,50,20.00,1,5
Cameron Davis,40,.211,5.903,28,40,57.53,42,73,+17.00,40,50.00,1,2,40,"2' 1""",24.667,12,56,40,"9' 4""",660.917,71,56,40,+1.000,32,+32.00,40,"10' 0""",491.333,49,56,40,"8' 4""","1,515.083",182,56,40,50.00,9,18,40,82.61,19,23,40,59.57,56,94,40,34.38,11,32,40,86.36,19,22,40,"10' 0""",219.583,22,56,40,"9' 2""","1,351.667",147,40,"6' 9""",4.058,50,56,40,+.253,79,+20.00,40,64.52,20,31,40,73.42,58,79,40,"12' 9""",549.083,43,56,40,+.426,94,+40.00,40,60.00,39,65,40,48.39,15,31,40,"7' 2""",679.667,95,56,40,+.516,31,+16.00,40,"3' 0""",66.750,22,56,40,62.50,30,48,40,-.045,22,-1.00,40,62.61,144,230,40,50.00,1,2
Roberto Castro,23,.198,2.768,14,23,41.38,12,29,+19.00,23,.00,0,1,23,"3' 6""",35.000,10,69,23,"6' 6""",175.083,27,69,23,+.909,11,+10.00,23,"8' 11""",133.583,15,69,23,"6' 4""",499.417,79,69,23,60.00,3,5,23,89.47,17,19,23,65.22,30,46,23,18.18,2,11,23,90.00,18,20,23,"9' 10""",88.583,9,69,23,"6' 9""",501.833,74,23,"5' 9""",1.869,27,69,23,+.286,35,+10.00,23,45.45,5,11,23,71.43,25,35,23,"9' 5""",169.750,18,69,23,+.348,46,+16.00,23,55.26,21,38,23,50.00,8,16,23,"5' 8""",199.583,35,69,23,+.563,16,+9.00,23,"2' 5""",41.500,17,69,23,44.00,11,25,23,-.100,20,-2.00,23,61.54,80,130,23,.00,0,1
