Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Luke List (14631882),Luke List,14631882,G,7200,RBC Heritage,Golf,0.0881
G,Dustin Johnson (14631847),Dustin Johnson,14631847,G,8500,RBC Heritage,Golf,0.09195
G,Brendon Todd (14631903),Brendon Todd,14631903,G,6900,RBC Heritage,Golf,0.09815
G,Chesson Hadley (14631900),Chesson Hadley,14631900,G,6900,RBC Heritage,Golf,0.11085
G,Alex Noren (14631892),Alex Noren,14631892,G,7000,RBC Heritage,Golf,0.1203
G,Doc Redman (14631937),Doc Redman,14631937,G,6400,RBC Heritage,Golf,0.1208
G,Zach Johnson (14631898),Zach Johnson,14631898,G,7000,RBC Heritage,Golf,0.1213
G,Kevin Kisner (14631861),Kevin Kisner,14631861,G,7700,RBC Heritage,Golf,0.12505
G,Jason Day (14631864),Jason Day,14631864,G,7600,RBC Heritage,Golf,0.1342
G,Russell Henley (14631889),Russell Henley,14631889,G,7100,RBC Heritage,Golf,0.13815
G,Russell Knox (14631899),Russell Knox,14631899,G,6900,RBC Heritage,Golf,0.13895
G,Andrew Putnam (14631908),Andrew Putnam,14631908,G,6800,RBC Heritage,Golf,0.1396
G,Vaughn Taylor (14631916),Vaughn Taylor,14631916,G,6700,RBC Heritage,Golf,0.1421
G,Aaron Baddeley (14631943),Aaron Baddeley,14631943,G,6400,RBC Heritage,Golf,0.143
G,David Hearn (14631974),David Hearn,14631974,G,6000,RBC Heritage,Golf,0.1462
G,Brice Garnett (14631961),Brice Garnett,14631961,G,6200,RBC Heritage,Golf,0.1566
G,Viktor Hovland (14631863),Viktor Hovland,14631863,G,7600,RBC Heritage,Golf,0.16095
G,Adam Schenk (14631927),Adam Schenk,14631927,G,6500,RBC Heritage,Golf,0.1666
G,Nick Watney (14631939),Nick Watney,14631939,G,6400,RBC Heritage,Golf,0.1672
G,Brian Stuard (14631925),Brian Stuard,14631925,G,6600,RBC Heritage,Golf,0.1731
G,Rafa Cabrera Bello (14631869),Rafa Cabrera Bello,14631869,G,7400,RBC Heritage,Golf,0.1759
G,Ryan Moore (14631902),Ryan Moore,14631902,G,6900,RBC Heritage,Golf,0.17845
G,Adam Long (14631947),Adam Long,14631947,G,6300,RBC Heritage,Golf,0.20145
G,Harry Higgs (14631904),Harry Higgs,14631904,G,6900,RBC Heritage,Golf,0.2127
G,Jordan Spieth (14631845),Jordan Spieth,14631845,G,8700,RBC Heritage,Golf,0.21395
G,Max Homa (14631897),Max Homa,14631897,G,7000,RBC Heritage,Golf,0.217
G,Jim Furyk (14631891),Jim Furyk,14631891,G,7100,RBC Heritage,Golf,0.2179
G,K.J. Choi (14631964),K.J. Choi,14631964,G,6100,RBC Heritage,Golf,0.22195
G,Stewart Cink (14631967),Stewart Cink,14631967,G,6100,RBC Heritage,Golf,0.24995
G,Mark Hubbard (14631940),Mark Hubbard,14631940,G,6400,RBC Heritage,Golf,0.25065
G,Rickie Fowler (14631851),Rickie Fowler,14631851,G,8100,RBC Heritage,Golf,0.26665
G,Talor Gooch (14631894),Talor Gooch,14631894,G,7000,RBC Heritage,Golf,0.26815
