SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,SG: Approach the Green-ROUNDS,SG: Approach the Green-AVERAGE,SG: Approach the Green-TOTAL SG:APP,SG: Approach the Green-MEASURED ROUNDS,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Name
22,-.224,-4.035,18,22,-.905,-16.295,18,22,-.527,-9.489,-5.455,-4.035,18,22,-.303,.301,-.905,.301,18,22,.301,5.425,18,22,.301,5.414,18,Matt Wallace
42,-.614,-14.728,24,42,-.362,-8.696,24,42,-1.051,-25.216,-10.486,-14.728,24,42,-.437,.165,-.362,-.239,24,42,.165,3.953,24,42,-.239,-5.744,24,Ryan Brehm
37,-.732,-15.365,21,37,-.293,-6.161,21,37,-.805,-16.904,-1.539,-15.365,21,37,-.073,.191,-.293,.029,21,37,.191,4.017,21,37,.029,.605,21,Chris Baker
26,-.386,-5.012,13,26,-.454,-5.904,13,26,-.949,-12.337,-7.325,-5.012,13,26,-.563,.044,-.454,-.154,13,26,.044,.577,13,26,-.154,-1.998,13,Shawn Stefani
19,-.829,-9.954,12,19,-.118,-1.412,12,19,-.847,-10.160,-.206,-9.954,12,19,-.017,.128,-.118,-.027,12,19,.128,1.533,12,19,-.027,-.330,12,Chris Kirk
30,-.673,-12.121,18,30,.286,5.145,18,30,.979,17.630,29.751,-12.121,18,30,1.653,.981,.286,.386,18,30,.981,17.661,18,30,.386,6.945,18,Sergio Garcia
39,-.391,-10.160,26,39,-.580,-15.081,26,39,-.465,-12.078,-1.917,-10.160,26,39,-.074,.084,-.580,.423,26,39,.084,2.172,26,39,.423,10.992,26,Kramer Hickok
18,-.739,-8.867,12,18,.033,.392,12,18,-.269,-3.224,5.645,-8.867,12,18,.470,.199,.033,.238,12,18,.199,2.391,12,18,.238,2.860,12,Kurt Kitayama
31,-.994,-16.902,17,31,-.797,-13.554,17,31,-2.785,-47.339,-30.435,-16.902,17,31,-1.790,-.533,-.797,-.460,17,31,-.533,-9.058,17,31,-.460,-7.825,17,Satoshi Kodaira
36,-.986,-22.676,23,36,.055,1.258,23,36,-1.060,-24.374,-1.697,-22.676,23,36,-.074,-.246,.055,.117,23,36,-.246,-5.654,23,36,.117,2.698,23,C.T. Pan
29,-.938,-16.885,18,29,-.171,-3.080,18,29,-.908,-16.351,.535,-16.885,18,29,.030,-.156,-.171,.357,18,29,-.156,-2.814,18,29,.357,6.428,18,Rafael Campos
20,-1.559,-17.147,11,20,-1.642,-18.059,11,20,-4.709,-51.803,-34.656,-17.147,11,20,-3.151,-.586,-1.642,-.923,11,20,-.586,-6.445,11,20,-.923,-10.153,11,Kevin Stadler
42,-.383,-9.184,24,42,-.033,-.784,24,42,-.696,-16.714,-7.531,-9.184,24,42,-.314,-.047,-.033,-.234,24,42,-.047,-1.138,24,42,-.234,-5.607,24,Robert Streb
39,-.510,-12.754,25,39,.311,7.768,25,39,-.036,-.909,11.844,-12.754,25,39,.474,.221,.311,-.058,25,39,.221,5.532,25,39,-.058,-1.453,25,D.J. Trahan
23,-.236,-3.304,14,23,.057,.801,14,23,.183,2.560,5.863,-3.304,14,23,.419,.164,.057,.198,14,23,.164,2.296,14,23,.198,2.768,14,Roberto Castro
57,-.789,-33.144,42,57,.271,11.374,42,57,.080,3.372,36.518,-33.144,42,57,.869,.126,.271,.473,42,57,.126,5.286,42,57,.473,19.855,42,Byeong Hun An
32,-.807,-16.143,20,32,-.977,-19.544,20,32,-2.686,-53.728,-37.583,-16.143,20,32,-1.879,-.773,-.977,-.129,20,32,-.773,-15.454,20,32,-.129,-2.587,20,Bo Van Pelt
23,-.938,-11.261,12,23,.290,3.476,12,23,-.412,-4.938,6.323,-11.261,12,23,.527,-.279,.290,.516,12,23,-.279,-3.349,12,23,.516,6.197,12,Alex Cejka
55,-.400,-13.991,35,55,.277,9.698,35,55,-.037,-1.286,12.707,-13.991,35,55,.363,-.180,.277,.265,35,55,-.180,-6.286,35,55,.265,9.292,35,Chez Reavie
45,-1.141,-31.958,28,45,.790,22.129,28,45,-.470,-13.170,18.790,-31.958,28,45,.671,.043,.790,-.163,28,45,.043,1.216,28,45,-.163,-4.558,28,Emiliano Grillo
42,-.732,-26.336,36,42,.267,9.614,36,42,-.208,-7.478,18.858,-26.336,36,42,.524,.126,.267,.131,36,42,.126,4.538,36,42,.131,4.705,36,Jason Dufner
24,-.668,-10.690,16,24,.047,.750,16,24,-.051,-.818,9.872,-10.690,16,24,.617,.429,.047,.141,16,24,.429,6.870,16,24,.141,2.252,16,Shane Lowry
40,-.345,-9.307,27,40,.000,.004,27,40,-.634,-17.108,-7.799,-9.307,27,40,-.289,-.594,.000,.304,27,40,-.594,-16.025,27,40,.304,8.220,27,Kevin Tway
