SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,SG: Approach the Green-ROUNDS,SG: Approach the Green-AVERAGE,SG: Approach the Green-TOTAL SG:APP,SG: Approach the Green-MEASURED ROUNDS,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Name
30,-.365,-6.562,18,30,-.005,-.096,18,30,-.135,-2.423,4.138,-6.562,18,30,.230,.114,-.005,.122,18,30,.114,2.047,18,30,.122,2.188,18,Zack Sucher
41,-.225,-8.099,36,41,.719,25.866,36,41,.452,16.268,24.369,-8.099,36,41,.677,-.133,.719,.092,36,41,-.133,-4.798,36,41,.092,3.299,36,Russell Henley
22,.046,.596,13,22,.113,1.463,13,22,-.270,-3.505,-4.101,.596,13,22,-.315,-.159,.113,-.269,13,22,-.159,-2.066,13,22,-.269,-3.497,13,George McNeill
37,.057,1.778,31,37,.388,12.042,31,37,.131,4.059,2.281,1.778,31,37,.074,-.099,.388,-.216,31,37,-.099,-3.054,31,37,-.216,-6.705,31,Stewart Cink
46,-.023,-.873,38,46,.082,3.107,38,46,.243,9.237,10.110,-.873,38,46,.266,.284,.082,-.100,38,46,.284,10.797,38,46,-.100,-3.794,38,Sepp Straka
50,-.114,-4.451,39,50,.642,25.040,39,50,.846,32.975,37.427,-4.451,39,50,.960,.328,.642,-.011,39,50,.328,12.809,39,50,-.011,-.425,39,Joaquin Niemann
41,-.256,-7.684,30,41,.086,2.577,30,41,.184,5.530,13.216,-7.684,30,41,.441,.657,.086,-.302,30,41,.657,19.704,30,41,-.302,-9.069,30,Jason Kokrak
32,-.146,-3.064,21,32,.430,9.037,21,32,-.300,-6.303,-3.238,-3.064,21,32,-.154,-.537,.430,-.047,21,32,-.537,-11.284,21,32,-.047,-.993,21,Graeme McDowell
36,.039,1.045,27,36,.673,18.173,27,36,1.922,51.885,50.840,1.045,27,36,1.883,.776,.673,.434,27,36,.776,20.955,27,36,.434,11.710,27,Rory McIlroy
24,.156,2.495,16,24,-.252,-4.036,16,24,-.174,-2.787,-5.282,2.495,16,24,-.330,-.135,-.252,.057,16,24,-.135,-2.163,16,24,.057,.916,16,Danny Willett
54,.237,8.298,35,54,-.250,-8.754,35,54,.104,3.628,-4.668,8.298,35,54,-.133,.238,-.250,-.121,35,54,.238,8.326,35,54,-.121,-4.244,35,Adam Schenk
55,-.323,-14.196,44,55,.267,11.765,44,55,-.031,-1.342,12.856,-14.196,44,55,.292,.272,.267,-.247,44,55,.272,11.965,44,55,-.247,-10.877,44,Sung Kang
37,.084,2.261,27,37,-.179,-4.831,27,37,.044,1.201,-1.057,2.261,27,37,-.039,-.599,-.179,.739,27,37,-.599,-16.172,27,37,.739,19.944,27,Aaron Baddeley
54,-.275,-12.378,45,54,.976,43.900,45,54,1.067,48.008,60.389,-12.378,45,54,1.342,.408,.976,-.042,45,54,.408,18.353,45,54,-.042,-1.871,45,Collin Morikawa
44,-.546,-16.924,31,44,-.132,-4.097,31,44,-.318,-9.843,7.082,-16.924,31,44,.228,.113,-.132,.247,31,44,.113,3.512,31,44,.247,7.666,31,Ryan Armour
34,-.088,-2.102,24,34,.193,4.635,24,34,.334,8.021,10.125,-2.102,24,34,.422,.291,.193,-.062,24,34,.291,6.987,24,34,-.062,-1.499,24,Ryan Moore
48,.051,1.957,38,48,.536,20.378,38,48,.695,26.423,24.468,1.957,38,48,.644,-.048,.536,.156,38,48,-.048,-1.837,38,48,.156,5.926,38,Cameron Tringale
24,-.157,-2.982,19,24,.149,2.830,19,24,.441,8.370,11.351,-2.982,19,24,.597,.192,.149,.256,19,24,.192,3.649,19,24,.256,4.872,19,Justin Rose
33,.153,3.062,20,33,-.281,-5.621,20,33,.206,4.116,1.056,3.062,20,33,.053,-.118,-.281,.452,20,33,-.118,-2.358,20,33,.452,9.034,20,Phil Mickelson
