,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
52,G,Sam Burns (14695959),Sam Burns,14695959,G,6900,Rocket Mortgage Classic,Golf,0.121875
53,G,Tom Lewis (14695960),Tom Lewis,14695960,G,6800,Rocket Mortgage Classic,Golf,-0.144275
54,G,Lanto Griffin (14695961),Lanto Griffin,14695961,G,6800,Rocket Mortgage Classic,Golf,-0.24439999999999998
55,G,Jason Dufner (14695962),Jason Dufner,14695962,G,6800,Rocket Mortgage Classic,Golf,-0.0421
56,G,Chesson Hadley (14695963),Chesson Hadley,14695963,G,6800,Rocket Mortgage Classic,Golf,-0.3685999999999999
57,G,Matthew Wolff (14695964),Matthew Wolff,14695964,G,6800,Rocket Mortgage Classic,Golf,0.25339999999999996
58,G,Harry Higgs (14695965),Harry Higgs,14695965,G,6800,Rocket Mortgage Classic,Golf,-0.11552500000000004
59,G,Adam Schenk (14695966),Adam Schenk,14695966,G,6700,Rocket Mortgage Classic,Golf,0.010174999999999998
60,G,Andrew Putnam (14695967),Andrew Putnam,14695967,G,6700,Rocket Mortgage Classic,Golf,0.21552499999999997
61,G,Beau Hossler (14695968),Beau Hossler,14695968,G,6700,Rocket Mortgage Classic,Golf,-0.08015
62,G,Sepp Straka (14695969),Sepp Straka,14695969,G,6700,Rocket Mortgage Classic,Golf,-0.220075
63,G,Aaron Wise (14695970),Aaron Wise,14695970,G,6700,Rocket Mortgage Classic,Golf,-0.076675
64,G,Matt Wallace (14695971),Matt Wallace,14695971,G,6700,Rocket Mortgage Classic,Golf,-0.277
65,G,Luke List (14695972),Luke List,14695972,G,6700,Rocket Mortgage Classic,Golf,-0.10360000000000003
66,G,Danny Willett (14695973),Danny Willett,14695973,G,6600,Rocket Mortgage Classic,Golf,-0.29612499999999997
67,G,Jimmy Walker (14695974),Jimmy Walker,14695974,G,6600,Rocket Mortgage Classic,Golf,0.209525
68,G,Russell Knox (14695975),Russell Knox,14695975,G,6600,Rocket Mortgage Classic,Golf,-0.1956
69,G,Kevin Chappell (14695976),Kevin Chappell,14695976,G,6600,Rocket Mortgage Classic,Golf,-0.26485
70,G,Nate Lashley (14695977),Nate Lashley,14695977,G,6600,Rocket Mortgage Classic,Golf,0.3337
71,G,Ben Martin (14695978),Ben Martin,14695978,G,6600,Rocket Mortgage Classic,Golf,0.2862
72,G,Wyndham Clark (14695979),Wyndham Clark,14695979,G,6600,Rocket Mortgage Classic,Golf,0.20482499999999998
73,G,Cameron Tringale (14695980),Cameron Tringale,14695980,G,6600,Rocket Mortgage Classic,Golf,-0.0489
74,G,James Hahn (14695981),James Hahn,14695981,G,6500,Rocket Mortgage Classic,Golf,-0.0009749999999999967
75,G,Cameron Percy (14695982),Cameron Percy,14695982,G,6500,Rocket Mortgage Classic,Golf,-0.38202499999999995
76,G,Henrik Norlander (14695983),Henrik Norlander,14695983,G,6500,Rocket Mortgage Classic,Golf,0.4548
77,G,Matt Jones (14695984),Matt Jones,14695984,G,6500,Rocket Mortgage Classic,Golf,-0.375775
78,G,Richy Werenski (14695985),Richy Werenski,14695985,G,6500,Rocket Mortgage Classic,Golf,0.10645
79,G,Brandon Hagy (14695986),Brandon Hagy,14695986,G,6500,Rocket Mortgage Classic,Golf,0.01055
80,G,Pat Perez (14695987),Pat Perez,14695987,G,6500,Rocket Mortgage Classic,Golf,0.064475
81,G,Wesley Bryan (14695988),Wesley Bryan,14695988,G,6500,Rocket Mortgage Classic,Golf,0.24765000000000004
82,G,Sam Ryder (14695989),Sam Ryder,14695989,G,6500,Rocket Mortgage Classic,Golf,-0.4427
83,G,Cameron Davis (14695990),Cameron Davis,14695990,G,6500,Rocket Mortgage Classic,Golf,0.12490000000000001
