Name,Scoring Average-AVG,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,One-Putt Percentage-%
Matthew Fitzpatrick,70.28,0.6501,0.2738,0.6468,0.5771,0.8333,0.5094,0.5238,0.4028
Scott Brown,71.3,0.681,0.2442,0.6863,0.6044,0.8235,0.4578,0.6154,0.3911
Xinjun Zhang,70.61,0.5947,0.307,0.5882,0.5582,0.9615,0.4898,0.5357,0.386
Mackenzie Hughes,71.05,0.5669,0.2964,0.5706,0.5727,1,0.5231,0.5667,0.3933
Matt Every,71.94,0.566,0.3017,0.5726,0.4813,0.8462,0.3519,0.5,0.375
Hudson Swafford,70,0.5544,0.285,0.5803,0.6136,1,0.5484,0.4667,0.381
Branden Grace,70.1,0.5427,0.428,0.4735,0.58,0.7857,0.5472,0.6042,0.3961
Russell Knox,69.82,0.6157,0.2531,0.6049,0.6434,1,0.5676,0.625,0.378
Sergio Garcia,70.15,0.6139,0.3261,0.5942,0.5781,0.8571,0.5238,0.5833,0.3868
Bo Hoag,70.19,0.6271,0.2698,0.6188,0.5976,0.9091,0.4328,0.5862,0.3664
Bo Van Pelt,73.03,0.5537,0.3559,0.5225,0.4973,0.875,0.25,0.5397,0.3574
D.J. Trahan,70.08,0.6576,0.264,0.646,0.5803,0.875,0.4333,0.5714,0.3589
Ryan Armour,70.63,0.7406,0.1994,0.7539,0.5604,0.8182,0.4444,0.5529,0.3639
Russell Henley,70.27,0.6429,0.2768,0.6301,0.6216,0.9545,0.4348,0.6032,0.3574
Shane Lowry,70.3,0.6159,0.3094,0.6259,0.6316,0.75,0.619,0.7037,0.3556
Will Gordon,70.4,0.5286,0.3453,0.5252,0.5818,1,0.5417,0.4359,0.3444
Aaron Wise,70.45,0.5987,0.3094,0.5791,0.5669,0.7273,0.5116,0.5938,0.3367
J.J. Henry,72.14,0.6382,0.2917,0.6012,0.5484,0.875,0.2778,0.6875,0.328
