Name,Scoring Average (Actual)-AVG,Score,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,Birdie Average-AVG,Bogey Average-AVERAGE BOGEYS PER ROUND,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE
Brian Gay,70.69,26.11,57.23,30.87,55.81,58.86,87.5,40.45,62.26,3.92,2.53,0.154,-0.02,-0.054,-0.467,-0.481
Matt Wallace,71.8,27.40915,56.79,36.2,53.99,56.03,100,63.89,55.56,3.55,3.13,0.027,0.307,-0.941,0.325,-0.296
Justin Rose,70.23,26.7329,61.04,35.2,55.31,54.03,90,64.86,39.29,4.09,3.11,-0.023,0.253,0.212,0.124,0.2
Louis Oosthuizen,70.55,26.31875,62.32,28.47,60.58,53.64,88.89,44.44,61.29,3.4,2.72,0.187,-0.73,-0.576,-0.363,-1.598
Denny McCarthy,69.8,28.67555,60.19,28.32,61.29,59.04,100,48.35,62.24,4.24,2.27,1.276,-0.125,-0.511,-0.224,-0.787
Ryan Moore,70.34,30.57065,68.24,26.07,63.21,61.67,92.31,59.26,60.61,3.81,2.53,-0.014,0.016,0.131,0.258,0.485
Danny Lee,70.07,29.44255,58.75,29.49,56.67,63.39,100,58.75,59.7,4.02,2.5,-0.38,-0.227,0.185,0.375,0.374
Kyoung-Hoon Lee,70.85,29.5744,65.52,27.52,61.74,63.49,91.18,54.55,57.69,3.6,2.46,-0.193,0.112,-0.223,0.219,0.159
Richy Werenski,70.37,26.1606,57.76,35.11,54.55,59.36,95.83,40.32,60.87,3.7,2.57,0.743,0.094,-0.286,-0.146,-0.338
Bud Cauley,70.05,30.34735,59.42,29.52,58.3,67.05,80,65.38,67.31,3.34,2.1,0.129,0.373,0.486,-0.207,0.654
Jason Day,70.36,27.3422,56.52,36.96,52.9,61.81,87.5,61.54,50,3.64,2.48,-0.254,1.032,-0.401,0.054,0.65
Si Woo Kim,71.6,26.3649,55.23,32.31,54.6,58.24,92.86,51.16,56.34,3.36,2.88,-0.232,0.29,-0.569,-0.273,-0.603
Zach Johnson,70.28,30.0192,62.45,28.95,63.4,64.25,93.33,57.89,60.29,3.46,1.97,0.284,-0.161,0.069,-0.126,-0.12
Kevin Tway,71.16,24.0762,48.48,37.54,48.87,55.56,100,45.76,52,3.42,3.19,-0.335,0.294,0.114,-0.514,-0.126
Kevin Kisner,70.51,30.9107,67.89,22.44,69.87,63.11,81.82,56.45,66.67,3.44,2.36,0.16,0.121,-0.09,0.154,0.226
Lucas Bjerregaard,71.94,22.72115,44.12,35.76,44.24,50.44,100,48.28,46.51,3.65,3.18,-0.017,-0.19,-0.48,-0.409,-1.08
Matthew Fitzpatrick,70.28,27.92595,65.01,27.38,64.68,57.71,83.33,50.94,52.38,3.63,2.75,0.581,0.055,0.221,0.204,0.269
Scott Brown,71.3,28.7014,68.1,24.42,68.63,60.44,82.35,45.78,61.54,3.26,2.77,-0.082,0.042,-0.53,0.258,-0.22
