Name,AvgPointsPerGame,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,Birdie Average-AVG,Bogey Average-AVERAGE BOGEYS PER ROUND,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,SG: Total-AVERAGE,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE,1-Putts per Round-AVG,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 3-%,One-Putt Percentage-%,One-Putt Percentage - Round 2-%,3-Putts per Round-AVG,Greens in Regulation Percentage-%,Greens or Fringe in Regulation-%,Birdie or Better Conversion Percentage-%,Birdie or Better Percentage - Fairway-%,Birdie or Better Percentage - Rough-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Left Rough-%,GIR Percentage from Other than Fairway-%,Fairway Approach (RTP Score)-AVG RTP,Going for the Green - Birdie or Better-%,Going for the Green - Hit Green Pct-%,GIR Pct - Fairway Bunker-%,Approaches Left Rough (RTP Score)-AVG RTP,GIR Percentage from Fairway-%,Approaches Right Rough (RTP Score)-AVG RTP,Par 5 Going for the Green-%,Front 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-AVG,Scoring Average Before Cut-AVG,Final Round Scoring Average-AVG,Round 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-AVG,Front 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-AVG,Par 5 Performance-PAR 5 AVG,Par 4 Performance-PAR 4 AVG,Par 4 Scoring Average-AVG,Par Breakers-%,Bounce Back-%,Birdie or Better Percentage-%,Back 9 Scoring Average-AVG,Back 9 Par 5 Scoring Average-AVG,Par 4 Birdie or Better Leaders-%,Back 9 Round 3 Scoring Average-AVG,Par 5 Scoring Average-AVG,Par 3 Scoring Average-AVG,Par 5 Birdie or Better Leaders-%,Front 9 Round 4 Scoring Average-AVG,Par 3 Birdie or Better Leaders-%,Stroke Differential Field Average-STROKE DIFFERENTIAL,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Par 3 Performance-PAR 3 AVG,Percentage of Yardage covered by Tee Shots-AVG (%),Right Tendency-%,Right Tendency-AVG RTP SCORE,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Left Tendency-%,Left Tendency-AVG RTP SCORE,Left Rough Tendency (RTP Score)-RTP SCORE,Right Rough Tendency (RTP Score)-RTP SCORE,Fairway Bunker Tendency-RELATIVE TO PAR,Right Rough Tendency-%,Left Rough Tendency-%,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from the Sand-%,Scrambling Rough (RTP Score)-AVG RTP
Kevin Streelman,50.53,66.24,25.8,65.43,55.51,95,55,49.18,3.82,2.67,1.32,0.204,-0.08,0.026,-0.017,0.322,0.343,6.77,33.33,38.89,37.65,40.37,0.56,68.52,76.25,30.74,23.05,20.62,18.18,22.64,55.17,-0.104,63.16,26.23,50,-0.038,79.95,0.091,59.3,4.01,4.03,70.68,70.5,69.86,71.4,70.2,34.87,35.38,3.23,3.2,4.47,4.02,4.01,22.09,20.83,22.09,35.33,4.42,16.56,35.14,4.47,3.21,52,35.83,10.73,0.11,7,45,4.53,3.22,62.39,44.1,1.61,66.16,55.9,1.27,-0.102,0.184,0.269,10.11,15.69,186,185,-0.05,53.45,55.77,0.508
Rafa Cabrera Bello,56.75,64.57,28.71,62.2,63.35,100,44.26,71.43,3.55,2.41,1.28,0.032,0.391,-0.048,-0.155,-0.112,-0.128,7.76,41.36,46.03,43.37,39.58,0.48,63.26,66.67,31.16,19.9,13.04,16.67,9.09,51.75,-0.082,42.42,13.51,25,0.091,70.16,0.083,52.27,4.01,4.03,71.47,70,70,71.88,70.63,34.38,36,3.06,3.05,4.75,4.02,4.03,19.92,18.67,19.92,35.79,4.82,16.07,35.29,4.75,3.05,37.25,34.5,16.53,0.13,2,31,4.66,3.04,61.73,47.2,1.18,65.22,52.8,1.58,0.103,0.097,0.188,14.83,13.88,67,48,0,65.79,53.33,0.286
Sepp Straka,43.56,61.36,28.19,61.74,61.34,91.18,50.82,63.89,3.52,2.28,1.22,0.356,0.032,-0.144,0.145,0.292,0.247,6.58,38.56,31.94,37.37,35.42,0.55,67.17,75.62,27.87,20.05,15.79,14.04,17.54,52.56,-0.076,57.14,24.32,65.4,0.088,77.68,0.105,57.29,4,4.08,71.09,67.75,72.5,71.81,70.81,35.38,35.41,3.01,3.06,4.81,4.04,4.03,19.03,19.23,19.03,35.88,4.8,14.68,37.25,4.81,3.04,46.32,33,13.13,-0.33,2,44,4.81,3.04,63.53,49.1,2.07,67.05,50.9,1.18,0.032,0.111,0.115,14.09,14.09,76,76,0.029,51.19,57.78,0.375
Sam Burns,50.21,52.78,34.03,53.24,53.98,84.21,32.26,56.34,3.5,2.88,1.11,-0.26,0.48,-0.764,-0.524,0.435,-0.716,7.06,36.57,35.19,39.51,44.44,0.44,62.65,69.02,31.44,22.76,12.6,10.39,16,54.42,-0.06,55.56,31.03,59.5,0.1,75.6,0.156,68,4.06,4.04,70.92,71,72.5,70.55,71.64,35.18,36.25,3.11,3.35,4.57,4.05,4.05,20.75,20.56,20.75,35.91,4.55,17.31,37.33,4.57,3.23,47.46,35.83,8.82,-0.02,8,36,4.6,3.22,64.45,62.2,1.15,68.19,37.8,2.97,0.161,0.094,0.262,19.68,14.35,201,202,0.053,55.68,36.17,0.437
Austin Cook,45.86,64.58,25.76,65.37,57.01,100,41.18,49.45,3.45,2.76,1.18,-0.25,-0.083,0.027,-0.451,0.36,0.088,6.63,38.49,34.13,37.08,38.03,0.61,67.08,72.62,27.54,21.67,10.71,5.26,15.22,52.11,-0.072,43.4,21.43,33.3,0.109,79.18,0.184,61.54,4.05,4,71.2,71.2,70.86,70.38,71.38,36.08,35.5,3.14,3.04,4.72,4.02,4.04,19.59,17.59,19.59,35.21,4.63,16.71,36,4.72,3.08,37.69,35.2,12.42,-0.37,3,40,4.82,3.08,62.99,43.4,2.45,66.75,56.6,1.74,0.08,0.163,0.429,11.91,13.85,185,164,-0.176,61.84,47.22,0.538
Patrick Reed,78.38,55.16,34.66,54.83,65.14,100,60,65.57,4.53,2.35,1.83,1.741,1.077,0.361,0.217,0.048,0.798,8.41,48.33,50,46.45,45.06,0.41,64.04,68.52,38.01,30.3,15.09,16.67,13.79,56.02,-0.192,68.25,17.39,56.7,0.121,76.54,0.104,61.25,3.98,3.87,69.6,68.63,69.88,69,69.89,34.56,35.2,3,3.09,4.6,3.93,3.94,25.98,17.72,25.98,34.85,4.68,24.45,35.25,4.6,3.03,44.07,34.25,14.71,1.96,4,36,4.5,3.04,62.71,47.7,0.85,66.73,52.3,1.41,0.015,0.035,0.067,16.19,18.47,36,22,-0.077,59.42,60,0.377
Stewart Cink,66.45,56.03,31.49,55.39,55.87,88.89,49.28,37.5,3.86,2.42,1.34,0.367,0.187,-0.245,0.479,-0.088,0.094,6.87,35.8,40.97,38.25,40.28,0.42,68.57,72.03,30.56,20.97,16.35,21.31,9.3,55.9,-0.071,57.5,23.4,53.1,0.116,78.57,0.033,43.02,4.06,4.01,69.7,73,71.5,68.88,70.75,36.13,34.67,3.03,3.08,4.68,4.03,4.02,21.33,27.5,21.33,35.39,4.66,17.96,36.38,4.68,3.05,40.16,36.71,13.6,0.6,1,35,4.7,3.06,61.94,60.5,0.54,66.21,39.5,0.5,-0.098,0,0.031,19.53,11.95,177,175,-0.056,63.49,53.06,0.708
Collin Morikawa,80.77,65.11,26.23,64.12,60.24,100,55.42,54.69,4.1,2.52,1.61,1.246,-0.263,0.039,1.098,0.41,1.683,6.9,39.32,37.04,38.89,40.28,0.67,70.51,76.87,32.37,27.02,17.19,19.12,15,58.9,-0.146,60.95,24.56,59.1,-0.017,77.52,0.088,66.94,4.04,3.95,68.81,71.08,69.42,68.25,69.42,34.83,34.46,3.09,2.98,4.45,4,3.99,24.07,18.7,24.07,34.69,4.49,17.44,34.92,4.45,3.04,57.14,35.58,15.63,1.31,12,52,4.4,3.03,63.11,54.3,1.09,66.78,45.7,-0.47,-0.119,0.052,0.159,14.03,12.2,98,93,-0.158,62.5,55.17,0.469
Jason Kokrak,54.96,59.04,32.13,58.73,61.24,73.33,50,74,3.62,2.43,1.38,0.254,-0.206,-0.275,0.175,0.647,0.519,6.57,35.19,43.06,36.18,33.33,0.65,68.52,74.6,28.69,21.47,9.28,6.82,11.32,58.02,-0.12,43.48,30.14,50,0.057,78.48,0.205,67.5,3.98,4.04,70.68,70,69.75,70.45,70.91,34.55,36.17,3.06,3.03,4.69,4.01,4.01,20.57,24.73,20.57,35.57,4.7,16.5,34.75,4.69,3.04,41.27,35,15.13,0.3,1,39,4.68,3.04,65.06,42,2.59,68.74,58,1.38,0.09,0.143,0.333,13.57,18.56,89,78,0.2,57.14,56.76,0.28
Peter Malnati,48.13,53.74,34.74,54.09,64.86,100,48.08,63.27,3.72,2.44,1.29,-0.335,0.692,0.149,-0.574,-0.507,-0.98,8.36,45.56,51.85,45.87,43.25,0.51,61.11,65.66,33.4,22.67,15.63,16.44,14.55,47.24,-0.076,59.18,18.87,31,0.073,71.13,0.014,43.48,4.01,4.04,70.66,71.6,69.5,71.07,70.93,35.07,35.93,2.94,3.24,4.68,4.03,4.02,21.08,23.15,21.08,35.87,4.66,17.03,36,4.68,3.09,40.71,35.4,14.65,-0.14,4,43,4.7,3.08,62.14,55.5,1.09,66.24,44.5,1.23,-0.065,0,0.345,19.35,15.38,56,27,-0.133,64.42,46.51,0.449
Brendan Steele,56.38,61.79,28.6,60.81,58.45,100,54.72,49.38,3.88,2.35,1.46,0.443,-0.022,-0.04,0.312,0.192,0.464,6.93,37.18,42.06,38.47,37.61,0.63,69.58,73.09,30.94,23.8,14.29,14.75,13.73,53.27,-0.113,51.85,33.33,53.7,0.039,81.21,0.016,51.09,4.02,3.94,70.3,69.57,69.14,70,70.85,35.77,35.08,2.96,3.11,4.69,3.98,3.98,21.94,21.21,21.94,35,4.66,19.55,33.86,4.69,3.04,39.17,33.71,15.63,0.38,3,40,4.73,3.04,64.04,54.7,1.17,67.4,45.3,1.41,0.057,0.068,0.268,16.67,11.94,137,127,-0.1,65,54.17,0.556
Sebastian Cappelen,54.85,51.75,37.61,51.9,61.37,94.74,45.95,66.96,3.67,2.51,1.3,-0.293,0.257,-0.084,-0.77,0.304,-0.55,7.28,44.02,37.65,40.44,41.45,0.6,64.21,68,31.52,23.78,12.4,15.79,6.67,56.21,-0.105,44.23,19.23,38.5,0.244,75.88,0.118,54.76,4.02,4.01,70.32,70.88,72,70.08,70.69,35,35.69,3.07,3.12,4.67,4.02,4.02,21.06,22.41,21.06,35.58,4.72,17.66,35.44,4.67,3.09,41.89,34.63,12.14,-0.22,5,43,4.61,3.09,64.09,61.1,1.21,68.54,38.9,1.75,0.188,0.062,0.231,23.62,13.99,83,72,0,57.14,48.21,0.348
Jon Rahm,89.06,64.67,25.34,64.19,64.35,93.33,64,54.35,4.23,1.91,2.16,1.823,0.626,0.144,0.345,0.774,1.288,7,35.71,37.78,39.53,39.81,0.27,71.79,79.78,32.43,25.74,15.63,10.34,20,54.05,-0.184,59.42,20,66.7,-0.057,81.59,0.241,75,3.92,4.03,69.5,70.2,66.6,70,69.17,34.5,35.14,2.96,2.83,4.49,3.97,3.95,24.49,24.39,24.49,34.82,4.43,17.08,33.8,4.49,2.93,53.57,35.4,20.24,2.02,4,26,4.57,2.89,65.27,44.1,2.2,69.49,55.9,-0.77,-0.073,0.118,0.143,11.49,13.85,26,34,0,70,50,0.435
Billy Horschel,64.46,65.44,22.83,66.47,57.09,93.75,50,57.81,3.77,2.47,1.43,0.781,0.307,0.191,-0.142,0.42,0.515,7.04,43.16,36.36,39.6,35.65,0.49,68.2,69.96,30.03,21.66,14.08,14.63,13.33,51.17,-0.08,48.98,18.52,45.8,0.033,81.11,0.073,51.35,3.95,4.02,69.7,69.6,71.55,70,69.42,34.67,34.85,3.07,3.09,4.64,3.98,3.98,21.73,28.57,21.73,35.42,4.68,20.21,36.91,4.64,3.08,36.18,35.1,14.13,0.69,5,47,4.61,3.08,63.07,52.7,1.55,66.56,47.3,0.77,0,0.14,0,12.43,10.4,140,159,-0.063,55.26,45,0.422
Jamie Lovemark,43.07,50.71,38.08,51.15,60.9,100,60,47.92,3.15,3,1.02,0.049,0.236,0.143,0.094,-0.425,-0.187,7.15,40.48,37.04,39.72,41.27,0.7,63.06,68.42,26.87,19.83,14.94,14.52,16,55.8,-0.056,53.33,20,40,0,73.94,0.081,44.83,4.12,4.08,70.86,72.33,71.33,69.86,71.86,35.71,36.14,3.1,3.08,4.56,4.1,4.1,18.06,22.22,18.06,35.6,4.62,11.93,35,4.56,3.09,43.55,35.67,15,-0.07,2,20,4.5,3.09,62.19,67.5,1.08,65.72,32.5,-0.75,-0.1,0.029,0.133,26.54,11.54,93,87,-0.111,73.17,54.29,0.563
Adam Schenk,52.65,60.58,28.47,59.72,67.96,96.67,50,65.06,3.6,2.18,1.58,0.097,0.184,-0.053,-0.196,0.241,0.214,7.14,42.16,41.98,40.06,36.46,0.66,67.63,72.22,28.57,24.11,14.16,13.73,14.52,54.71,-0.132,55.56,19.4,43.8,-0.065,76.85,0.137,55.43,3.97,4.02,70.17,70.44,69.56,70.06,69.63,34.69,35.18,3.02,3,4.64,3.99,4,20.67,20.91,20.67,35.38,4.72,16.51,35.33,4.64,3.03,41.67,34.67,14.63,0.51,4,52,4.53,3.01,64.32,52.4,1.93,68.05,47.6,0.63,-0.032,0.117,0.25,13.89,14.58,10,4,-0.067,66.27,66.67,0.361
Charley Hoffman,56.21,57.24,29.4,56.14,52.7,91.67,50.63,44.12,4.21,2.56,1.37,0.12,-0.089,-0.07,0.227,0.037,0.278,7.07,42.06,39.58,39.79,37.61,0.51,67.31,73.78,34.23,24.86,18.18,22.06,11.9,58.61,-0.093,61.64,21.79,47.9,0.429,79.03,-0.103,61.76,4.07,3.99,70.63,71.57,70.75,70.31,70.92,35.31,35.71,3.09,3.13,4.58,4.03,4.03,23.98,21.43,23.98,35.34,4.61,19.81,34.88,4.58,3.1,48,35.57,14.55,0.1,6,43,4.55,3.12,63.42,64.4,0.09,67.56,35.6,2.86,0.333,-0.113,0.167,19.28,10.12,215,213,0,51.9,50,0.662
Beau Hossler,59.33,52.63,32.37,52.78,58.31,92.11,52.81,54.63,3.55,2.53,1.29,-0.261,0.646,-0.129,-0.56,-0.218,-0.907,7.26,38.52,37.96,40.36,41.85,0.21,65.3,69.21,29.84,21.19,12,16.05,7.25,58.12,-0.1,52,20,62.2,0.174,75.38,0.21,60.91,4.07,4.04,70.41,70.55,71.67,70.33,70.53,35.33,35.2,2.95,3.08,4.64,4.05,4.05,20.34,23.94,20.34,35.47,4.64,16.93,36.25,4.64,3.02,41.38,35.18,12.21,0.06,6,53,4.65,3.02,64.44,58.7,1.83,68.15,41.3,1.85,0.123,0.109,0.111,18.97,13.4,144,130,0.053,55.36,53.62,0.5
Phil Mickelson,56.41,55.06,35.02,51.61,60.43,85.71,55.88,60,3.9,2.45,1.44,-0.074,0.082,0.426,-0.528,-0.054,-0.156,7.38,41.67,37.78,41,43.89,0.24,64.18,65.97,33.13,22.22,16.44,20,15.09,50,-0.072,57.14,30.95,69.2,0.094,77.13,0.1,62.96,4.1,3.95,70.55,69.25,71.6,70.5,70.9,35.9,35,3.07,3.03,4.6,4.03,4.03,22.41,23.68,22.41,34.97,4.6,17.06,35.8,4.6,3.05,48.11,34.75,12.82,0.23,4,29,4.61,3.05,64.57,27.3,0.74,69.07,72.7,0.97,0.148,0.091,-0.308,10.14,24.88,99,92,0.143,65.12,57.89,0.467
Corey Conners,63.75,66.96,25.28,67.85,53.69,87.5,41.79,50,4,2.5,1.44,0.415,-0.527,-0.325,0.628,0.601,0.859,5.98,35.71,29.63,33.91,31.2,0.64,74.77,80.25,29.61,23.67,14.42,20.31,5,56.59,-0.097,48.15,21.74,45.8,0.125,84.43,0.078,67.35,4,4.02,70.14,68.89,70.44,71.15,69.85,34.46,35.36,3,3.08,4.59,4.01,3.99,22.22,26.27,22.22,35.52,4.65,17.93,35.44,4.59,3.04,45.45,33.78,15.34,0.69,5,48,4.52,3.03,64.11,59.6,1.48,67.89,40.4,2.36,0.13,0.074,0.25,15.08,10.2,209,206,0,50,41.67,0.521
Lanto Griffin,64.58,57.52,31.04,58.51,66.13,92.31,58.26,64.23,3.89,2.37,1.52,0.582,0.363,0.09,0.045,0.085,0.258,7.6,42.9,42.74,42.11,42.81,0.57,65.23,71.67,32.46,23.4,17.32,16.3,18.39,50.28,-0.111,59.84,23.02,44,0.023,78.94,0.033,65.38,3.99,4.04,70.41,69.85,69.77,69.88,70.76,35.12,35.78,3.06,3.04,4.52,4.02,4.01,22.22,21.92,22.22,35.22,4.48,16.07,34.62,4.52,3.07,53.96,34.62,12.66,0.76,7,62,4.56,3.05,63.37,51.7,0.66,66.95,48.3,1.09,-0.02,0,0.2,15.82,15.22,18,15,-0.077,62.04,63.16,0.39
Sam Ryder,53.67,59.69,29.96,60.11,61.09,91.67,46.58,59.46,3.82,2.44,1.37,0.003,-0.024,-0.095,0.187,-0.102,-0.026,7.15,39.51,39.51,39.88,41.5,0.56,66.37,71.3,30.69,23.28,17.12,22.73,8.62,52.72,-0.077,51.16,24.47,58.3,0.241,79.49,0.034,64.29,4.04,4.01,70.22,70.44,70.67,70.35,70.59,35.18,35.39,3.03,2.98,4.69,4.02,4.02,21.37,22.54,21.37,35.19,4.7,17.31,34.56,4.69,3.01,44.25,35.78,14.9,-0.01,4,56,4.68,3.02,63.73,58.5,1,67.35,41.5,2.35,0.098,0,0.222,18.32,11.64,64,82,-0.042,61.11,52.08,0.459
Jhonattan Vegas,60.85,62.14,30.19,61.32,56.04,93.75,39.68,52.63,3.85,2.97,1.27,0.039,-0.334,-0.166,-0.285,0.727,0.279,6.31,31.48,31.75,36.39,40.91,0.58,68.33,72.43,30.61,22.82,13.33,13.89,12.96,57.14,-0.07,58.18,31.82,47.1,0.222,78.41,0,69.44,4.02,4.02,70.36,69.57,71,71.18,70.27,35.55,34.83,3.09,3.18,4.52,4.02,4,21.6,19.05,21.6,35.33,4.5,15.97,36,4.52,3.11,52.24,34.14,10.42,0.2,5,40,4.55,3.15,64.35,39.5,0.21,67.91,60.5,2.22,0.196,-0.025,0.176,12.58,17.61,141,172,-0.063,65.63,37.5,0.447
Xander Schauffele,81.86,61.47,30.29,60,66.46,100,55.56,58.82,4.39,2.09,2.01,1.434,0.124,0.154,0.603,0.618,1.636,7.35,43.33,38.19,41.37,38.27,0.65,73.1,79.31,33.2,21.29,18.28,23.4,13.04,62.7,-0.1,55.26,21.59,63.6,0.043,87.29,-0.17,68.75,3.96,3.9,69.3,70,67.88,69.11,69.56,34.33,35.2,3.15,3.06,4.48,3.93,3.93,24.02,27.14,24.02,34.59,4.47,18.68,33.88,4.48,3.1,55.65,35.25,11.76,2.03,1,38,4.5,3.08,65.19,53.5,-1.18,69.22,46.5,0.51,0.038,-0.13,0.182,15.43,14.86,25,12,0,73.33,58.06,0.412
Keith Mitchell,51.54,60,25.95,62.6,56.67,81.25,52.17,55.41,3.73,2.93,1.14,-0.174,0.286,-0.61,-0.3,0.465,-0.404,7.24,36.11,46.53,40.53,39.74,0.69,64.27,70.56,31.3,24.17,11.34,11.43,11.29,46.19,-0.078,58.82,27.03,50,0.21,78.35,0.2,70.24,4.01,4.08,71.17,71.5,71.13,70.62,71.38,35.23,36.14,3.15,3.08,4.67,4.05,4.04,21.16,21.54,21.16,35.9,4.71,17,36.75,4.67,3.11,45.71,35.38,11.83,-0.08,3,44,4.63,3.12,65,38.5,1.64,68.69,61.5,2.5,0.222,0.128,0.192,9.92,16.03,173,170,0.063,51.55,52.63,0.486
Robby Shelton,53.88,62.75,27.33,63.57,54.46,84.85,50.67,46.6,3.71,2.75,1.2,-0.105,0.065,-0.343,0.133,0.039,-0.171,6.71,35.76,35.56,37.25,35.42,0.53,66.99,72.37,29.69,20.65,20,14.29,24.64,59.77,-0.07,48.78,21.95,61.3,0.072,73.66,0.214,62.07,4.05,4.04,71.18,70,71.7,71.19,71,35.69,35.31,3.02,3.14,4.69,4.04,4.04,20.92,23.49,20.92,35.67,4.7,18.07,36.2,4.69,3.08,39.16,34.67,13.73,-0.26,3,51,4.67,3.08,62.51,46.7,2.35,66.43,53.3,1.24,-0.027,0.265,0.161,13.18,14.15,203,198,0.091,55.45,50.91,0.583
Chez Reavie,56.47,69.85,21.52,70.6,60.22,83.33,50.7,56,3.39,2.47,1.26,-0.083,-0.412,0.338,0.211,-0.206,0.492,6.51,39.63,43.89,36.71,30.16,0.51,67.43,73.12,26.5,20.52,17.91,23.33,13.51,55.1,-0.083,66,25.93,65.2,0.297,73.97,0.067,44.32,4,4.03,70.53,72.56,69.9,71,70.36,35.07,35.27,3.07,3.08,4.71,4.02,4.02,19.39,22.76,19.39,35.64,4.67,17.1,35.2,4.71,3.08,40.7,36,7.94,-0.07,5,51,4.77,3.07,61.38,38.3,1.22,65.64,61.7,1.36,-0.022,0.108,0.304,9.71,11.81,96,94,-0.056,63.24,48.48,0.427
C.T. Pan,41.96,60.17,29.06,60.68,59.44,75,47.46,64.29,3.09,2.97,0.94,-1.133,-1.02,0.139,-0.002,-0.255,-0.324,6.23,39.81,29.17,35.62,31.31,0.8,66.99,68.78,24.15,15.81,11.48,13.04,10.53,54.55,0.014,45.45,17.07,50,0.184,74.58,0.348,46.15,4.09,4.14,71.33,71,71,72.27,71,35.18,35.83,3.1,3.05,4.64,4.11,4.09,16.48,13.64,16.48,36,4.67,10.94,35.75,4.64,3.08,43.52,35.25,9.68,-0.79,1,34,4.59,3.09,61.61,34.1,3.33,65.17,65.9,2.24,0.19,0.346,0.278,11.11,17.95,94,107,0,63.16,46.88,0.381
Grayson Murray,49.85,54.68,34.74,54.08,57.37,94.74,40.74,59.72,3.83,2.76,1.2,-0.506,-0.732,0.181,-0.396,0.441,0.226,6.97,40,32.22,38.7,39.51,0.62,63.6,69.91,32.42,25.72,16.36,19.12,11.9,52.72,-0.116,58.46,21.54,45.8,0.238,74.77,0.088,77.03,4.16,4.05,71,71.6,70.6,71.33,70.9,35.8,35.1,3.02,3.02,4.59,4.11,4.11,22.03,24.44,22.03,35.24,4.52,14.74,34.6,4.59,3.02,54.26,36.4,15.52,-0.48,4,29,4.68,3.02,65.36,60.1,0.56,68.81,39.9,3.73,0.214,-0.014,0.375,22.05,12.69,162,148,-0.053,55.74,37.84,0.472
Cameron Tringale,67.79,52.72,37.3,52.82,65,93.94,56.25,58,3.78,2.09,1.61,0.889,0.033,0.162,0.669,0.026,0.857,7.15,45.37,37.37,39.73,35.19,0.48,68.6,74.69,29.28,22.8,18.97,13.75,23.4,58.88,-0.1,55.56,25.93,31.4,-0.117,80.83,0.038,60.34,3.98,3.97,69.69,71.36,69.55,70.5,69,34.25,34.75,3.06,3.05,4.64,3.98,3.98,21.26,25.71,21.26,35.15,4.67,18.94,34.55,4.64,3.06,41.45,35.73,10.81,0.77,2,46,4.61,3.06,64,42.1,0.52,68.02,57.9,-0.91,-0.21,-0.025,0.2,16.13,21.17,29,23,-0.091,66.67,56.52,0.45
Kyle Stanley,47.21,69.96,23.54,66.14,58.46,73.91,52.54,51.79,3.72,2.46,1.37,-0.17,-0.302,-0.026,0.387,-0.187,0.121,6.43,37.7,31.48,36.32,36.75,0.62,70.66,73.95,28.63,21.6,14.63,5.66,31.03,52.83,-0.096,57.69,21.43,40.7,-0.034,80.78,0.264,50,4.02,4.02,70.48,70.2,71,70.62,70.46,35.08,35.36,3.13,3,4.66,4.02,4.01,20.72,17.78,20.72,35.27,4.68,16.92,35.33,4.66,3.06,46.09,35.8,10.14,0.01,2,39,4.63,3.05,61.45,63.4,3.85,65.29,36.6,2.22,-0.103,0.383,0.481,15.87,7.67,128,126,0.217,59.46,57.14,0.464
Brian Stuard,60.74,71.63,23.57,68.57,63.59,83.33,54.08,66.67,3.66,2.51,1.37,0.371,0.223,0.497,-0.071,-0.195,0.21,7.47,40.2,40.6,41.99,40.63,0.37,64.21,68.31,30.4,22.24,9.48,6.78,12.28,44.74,-0.096,59.65,9.68,48.6,0.07,73.29,0.169,42.24,3.99,4.02,70.36,69.42,70.15,70.5,70.56,35.19,35.29,3.02,3.03,4.66,4.01,4,20.57,19.31,20.57,35.19,4.63,15.78,35.08,4.66,3.02,42.55,34.42,17.03,0.19,3,61,4.7,3.02,60.73,52.9,1.65,64.26,47.1,1.11,0.092,0.164,0.057,11.96,11.61,36,45,0.067,62.28,58.57,0.333
Patrick Rodgers,60.76,51.33,37.98,51.93,58.66,100,52.87,56.58,3.84,2.34,1.47,0.646,0.78,0.056,-0.418,0.242,-0.088,7.11,41.81,34.81,39.8,40.12,0.29,66.67,72.22,31.67,24.16,13.88,14.4,13.33,54.52,-0.129,59.46,20.69,53.2,0.158,79.87,0.056,61.18,4,4.04,69.7,71.43,70.67,69.67,69.56,34.78,34.58,3.05,3.04,4.57,4.02,4.02,21.71,24.2,21.71,35.29,4.57,16.31,35.27,4.57,3.05,50.93,35.07,12.26,0.52,5,67,4.56,3.05,65.13,51.1,0.88,68.97,48.9,0.98,0.063,0.031,0.17,18.99,18.99,124,120,-0.061,55.71,50.85,0.461
Lucas Glover,58.93,66,23.2,67.68,55.33,76.47,48.19,52.63,3.96,2.79,1.26,0.087,-0.165,-0.356,0.214,0.36,0.126,6.65,37.7,38.27,38.53,37.61,0.72,68.32,72.96,31.72,22.6,15.79,13.64,18.75,53.92,-0.065,52.94,20.25,36,0.188,78.12,0.023,67.86,4,4.05,70.73,70.25,69.78,71.23,71.38,34.92,36.29,3.06,3.03,4.71,4.02,4.01,21.96,14.96,21.96,35.74,4.75,17.59,35.56,4.71,3.04,44.38,34.88,15.82,-0.03,4,47,4.66,3.05,63.25,61.6,1.88,67.37,38.4,1.63,0.125,0.058,0.4,14.36,8.84,146,189,0.118,46.3,53.19,0.526
Brandt Snedeker,63.56,60.05,31.3,59.83,62.57,100,54.72,50.91,4.1,2.17,1.77,0.64,0.5,0.706,-0.125,-0.392,0.316,7.17,38.89,39.68,40.5,42.36,0.28,66.13,72.22,31.17,24.62,20.59,19.61,21.57,55.63,-0.128,42.19,13.85,47.4,-0.059,78.37,-0.039,58.14,3.91,3.96,70.37,68.17,70.43,68.5,71.38,35.25,36.11,3.13,2.98,4.65,3.93,3.94,23.75,24.24,23.75,34.97,4.64,21.17,34.71,4.65,3.06,38.46,34.67,16.24,0.88,1,31,4.67,3.06,62.21,51.8,-0.14,66.55,48.2,-0.3,-0.094,-0.017,-0.053,16.62,14.68,50,57,-0.25,61.9,64.86,0.491
