Name,AvgPointsPerGame,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,Birdie Average-AVG,Bogey Average-AVERAGE BOGEYS PER ROUND,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,SG: Total-AVERAGE,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE,1-Putts per Round-AVG,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 3-%,One-Putt Percentage-%,One-Putt Percentage - Round 2-%,3-Putts per Round-AVG,Greens in Regulation Percentage-%,Greens or Fringe in Regulation-%,Birdie or Better Conversion Percentage-%,Birdie or Better Percentage - Fairway-%,Birdie or Better Percentage - Rough-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Left Rough-%,GIR Percentage from Other than Fairway-%,Fairway Approach (RTP Score)-AVG RTP,Going for the Green - Birdie or Better-%,Going for the Green - Hit Green Pct-%,GIR Pct - Fairway Bunker-%,Approaches Left Rough (RTP Score)-AVG RTP,GIR Percentage from Fairway-%,Approaches Right Rough (RTP Score)-AVG RTP,Par 5 Going for the Green-%,Front 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-AVG,Scoring Average Before Cut-AVG,Final Round Scoring Average-AVG,Round 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-AVG,Front 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-AVG,Par 5 Performance-PAR 5 AVG,Par 4 Performance-PAR 4 AVG,Par 4 Scoring Average-AVG,Par Breakers-%,Bounce Back-%,Birdie or Better Percentage-%,Back 9 Scoring Average-AVG,Back 9 Par 5 Scoring Average-AVG,Par 4 Birdie or Better Leaders-%,Back 9 Round 3 Scoring Average-AVG,Par 5 Scoring Average-AVG,Par 3 Scoring Average-AVG,Par 5 Birdie or Better Leaders-%,Front 9 Round 4 Scoring Average-AVG,Par 3 Birdie or Better Leaders-%,Stroke Differential Field Average-STROKE DIFFERENTIAL,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Par 3 Performance-PAR 3 AVG,Percentage of Yardage covered by Tee Shots-AVG (%),Right Tendency-%,Right Tendency-AVG RTP SCORE,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Left Tendency-%,Left Tendency-AVG RTP SCORE,Left Rough Tendency (RTP Score)-RTP SCORE,Right Rough Tendency (RTP Score)-RTP SCORE,Fairway Bunker Tendency-RELATIVE TO PAR,Right Rough Tendency-%,Left Rough Tendency-%,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from the Sand-%,Scrambling Rough (RTP Score)-AVG RTP
James Hahn,56,59.67,26.71,63.36,57.23,94.44,43.75,59.52,3.73,2.5,1.41,0.66,0.219,0.069,0.298,0.072,0.44,6.33,35.8,31.75,35.19,33.33,0.37,69.26,79.1,29.14,25.99,11.43,10,13.33,57.99,-0.116,69.77,44.19,57.9,-0.1,76.8,0.1,48.48,4,4.06,70.4,70.6,70.57,71.44,69,34.33,34.67,3.11,3.08,4.51,4.03,4.03,21.11,27.27,21.11,35.33,4.46,14.95,35.57,4.51,3.1,53.06,34.8,11.57,0.12,2,30,4.57,3.1,62.77,57.8,1.19,66.36,42.2,-0.23,-0.161,0.043,0.211,16.1,10.62,163,153,0,54.29,42.86,0.405
Aaron Baddeley,54.68,61.76,28.44,59.69,63.77,91.67,60,61.04,4,2.21,1.56,0.271,0.02,0.822,-0.123,-0.483,0.201,7.45,41.41,44.44,41.59,39.44,0.39,64.92,69.33,32.52,20.91,19.1,18,20.51,51.12,-0.073,60.42,19.23,46.7,0.026,74.91,0.02,48.75,3.99,4,70.21,71.17,70.43,70.3,69.9,35.3,34.82,3.01,3.02,4.67,4,4,22.39,21.79,22.39,35.33,4.69,17.97,35.86,4.67,3.01,41.8,35.67,17.29,0.37,1,35,4.65,3.02,61.08,64.6,0.98,65.08,35.4,0.22,-0.083,-0.018,0.267,17.19,11.25,38,42,0,60,65.96,0.403
Adam Long,63.15,65.97,26.79,64.22,59.68,96,42.7,59.3,3.79,2.54,1.44,0.517,0.136,-0.031,0.437,0.021,0.526,7.13,43.79,32.05,40.13,40.97,0.52,68.2,73.17,30.99,22.86,13.85,12.31,15.38,50.76,-0.09,56.76,22.37,40,0.046,79.96,0.108,51.67,4.01,3.96,69.81,69.55,72.15,69,70,34.5,35.47,3.03,3.13,4.62,3.99,3.98,21.92,23.08,21.92,35.23,4.64,18.91,35.85,4.62,3.08,42.47,34.64,12.89,0.66,7,58,4.6,3.07,62.58,45.2,1.18,66.45,54.8,1.07,0.027,0.028,0.167,13.03,13.76,96,105,0,63.55,34.04,0.442
Harold Varner III,61.5,61.83,26.52,63.26,60.07,83.33,41.98,64.13,3.87,2.24,1.54,1.015,-0.111,0.216,0.412,0.527,1.194,6.78,37.41,38.43,38.03,40.48,0.48,69.66,74.13,30.21,23.15,16.38,14.29,18.33,54.72,-0.137,60.27,18.99,48.6,-0.1,79.77,0.25,65.31,4.01,4.04,69.53,70.8,70.42,69.93,69,34.29,34.67,2.98,3.04,4.56,4.02,4.02,21.78,25,21.78,35.32,4.57,16.95,35.33,4.56,3.02,47.56,35.2,14.15,0.71,4,52,4.54,3.01,63.88,48.2,3.16,67.12,51.8,-0.47,-0.048,0.233,0.171,13.04,13.48,104,96,0.056,63.86,45.45,0.402
Sungjae Im,77.53,64.11,24.96,64.66,64.53,92.86,61.54,61.46,4.33,2.22,1.88,1.374,0.362,0.01,0.464,0.55,1.049,7.6,42.01,42.06,41.85,38.52,0.41,68.52,74.81,33.88,25.17,17.42,13.24,21.88,54.11,-0.117,64,25.96,57.1,-0.031,79.84,0.059,63.85,3.9,3.99,69.09,69.64,69.14,69.6,68.27,33.6,34.81,3.03,2.98,4.56,3.94,3.95,24.81,23.13,24.81,35,4.6,19.94,34.64,4.56,3.01,50.52,34,17.8,1.64,4,60,4.52,3,63.74,52.2,0.57,67.37,47.8,0.21,-0.014,0.077,0.061,13.07,11.89,40,31,-0.036,61.25,65.52,0.375
Max Homa,66.85,63.49,26.38,63.07,57.62,92.86,56.25,53.52,3.88,2.57,1.37,0.516,0.257,-0.415,0.33,0.377,0.087,7.11,41.45,44.44,39.93,35.65,0.43,66.67,72.7,32.17,22.89,10.91,10.53,11.32,49.78,-0.092,55,27.78,48.5,0.151,77.72,0.123,62.73,4.05,3.99,70.43,72.2,68.6,70.33,71.5,35.17,36.15,3,3.07,4.65,4.02,4.02,21.59,22.12,21.59,35.7,4.77,15.32,34.8,4.65,3.01,48.82,35.4,14.69,0.47,5,48,4.51,3.04,62.97,54.2,1.07,67.19,45.8,2.11,0.148,0.164,0.061,13.99,12.39,151,145,0,60.67,57.5,0.521
Scottie Scheffler,79.39,61.54,29.55,61.26,62.5,86.67,52.17,58.33,4.4,2.33,1.77,0.874,-0.092,-0.023,0.328,0.663,0.967,7.42,44.44,37.96,41.24,44.05,0.65,69.23,75.83,34.93,25.25,22.08,16.18,26.74,56.79,-0.138,56.12,25.51,53.7,-0.023,78.79,0.103,61.29,3.94,3.94,68.48,70.42,69.67,69,68.14,34,34.14,3.12,2.98,4.53,3.94,3.94,25.53,22.4,25.53,34.58,4.54,23.4,35.17,4.53,3.05,49.39,36.08,12.5,1.22,10,52,4.52,3.05,64.88,44.4,0.55,68.98,55.6,0.35,-0.065,0.042,0.195,12.97,16.58,66,58,0.033,68.89,50.7,0.438
Henrik Norlander,52.75,67.81,26.19,65.95,52.61,90,43.37,50,3.67,2.73,1.27,-0.388,-0.224,-0.269,-0.021,0.126,-0.164,6.6,35.76,34.03,36.69,37.15,0.44,68.98,72.78,29.97,19.07,21.78,26,17.65,53.24,-0.017,57.69,21.15,70.8,0.098,80,-0.04,52.17,4.02,4.02,71.03,69.5,69.13,71.75,70.69,35.25,35.44,3.09,3.17,4.57,4.02,4.02,21.3,18.57,21.3,35.44,4.6,17.09,34.88,4.57,3.13,45.51,34.5,12.95,0.06,8,48,4.54,3.13,61.65,48.2,0.59,65.19,51.8,1.37,0.075,0.018,0.042,13.57,12.62,217,214,0.1,51.9,46.03,0.509
Ian Poulter,62.65,59.72,35.15,52.12,64.94,100,64.58,51.52,3.5,2.64,1.2,1.338,0.632,0.307,0.417,-0.134,0.542,7.82,46.83,50,45.09,35.19,0.32,61.54,62.15,32.06,18.71,10.53,11.11,10,50.77,-0.079,60,21.74,55.6,0.233,71.26,0.148,46.88,4.08,3.99,70.36,70.2,68.6,72.33,69.67,35,34.14,3.14,2.89,4.62,4.04,4.01,18.18,21.05,18.18,34.55,4.5,15.68,33.2,4.62,3.04,43.75,35.4,9.78,0.95,4,26,4.75,3.03,61.36,50.6,1.75,64.41,49.4,1.79,0.214,0.2,0.056,18.18,16.97,22,25,0,58.82,75,0.515
Tony Finau,74.88,55.04,32.08,55.97,61.78,100,43.14,64.71,4.2,2.19,1.69,1.435,-0.04,0.505,0.541,0.354,1.521,7.22,33.84,46.53,40.56,39.44,0.47,70,75.51,32.8,25.72,20.62,19.23,22.22,59.73,-0.145,60,17.81,44,-0.022,82.85,-0.115,70.83,3.93,3.98,69.57,70.75,68.13,69.3,70.2,34.7,35.27,2.99,3.06,4.64,3.96,3.94,23.46,24.14,23.46,34.92,4.48,18.85,34,4.64,3.01,44.62,35,17.57,0.84,5,40,4.83,3.02,64.18,50.7,-0.74,68.07,49.3,0.76,0,-0.132,0.12,16.67,15.41,73,67,-0.273,71.43,36,0.353
