Name,Scoring Average-AVG,Score,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE
Beau Hossler,71.2,0.01645,0.646,-0.129,-0.56,-0.218,-0.907
Phil Mickelson,71.387,-0.0109,0.082,0.426,-0.528,-0.054,-0.156
Corey Conners,70.458,0.0116,-0.527,-0.325,0.628,0.601,0.859
Lanto Griffin,70.639,0.26375,0.363,0.09,0.045,0.085,0.258
Sam Ryder,71.063,-0.0144,-0.024,-0.095,0.187,-0.102,-0.026
Jhonattan Vegas,71.001,-0.106,-0.334,-0.166,-0.285,0.727,0.279
Xander Schauffele,69.533,0.5776,0.124,0.154,0.603,0.618,1.636
Keith Mitchell,71.305,-0.02575,0.286,-0.61,-0.3,0.465,-0.404
Robby Shelton,71.518,-0.0293,0.065,-0.343,0.133,0.039,-0.171
Chez Reavie,71.544,-0.0384,-0.412,0.338,0.211,-0.206,0.492
C.T. Pan,71.73,-0.59005,-1.02,0.139,-0.002,-0.255,-0.324
Grayson Murray,71.721,-0.30895,-0.732,0.181,-0.396,0.441,0.226
Cameron Tringale,70.508,0.31515,0.033,0.162,0.669,0.026,0.857
Kyle Stanley,71.27,-0.094,-0.302,-0.026,0.387,-0.187,0.121
Brian Stuard,70.877,0.19685,0.223,0.497,-0.071,-0.195,0.21
Patrick Rodgers,70.702,0.3439,0.78,0.056,-0.418,0.242,-0.088
Lucas Glover,71.206,-0.0472,-0.165,-0.356,0.214,0.36,0.126
Brandt Snedeker,70.659,0.3675,0.5,0.706,-0.125,-0.392,0.316
Zac Blair,71.257,-0.0433,0.334,0.158,-0.47,-0.337,-0.649
Danny Willett,72.188,-0.03595,0.065,-0.026,-0.022,-0.248,-0.205
Tom Hoge,70.386,0.38085,0.306,-0.084,0.637,0.116,0.667
Luke Donald,70.865,0.2847,0.285,0.468,0.351,-0.924,0.426
Brian Gay,71.18,-0.074,0.154,-0.02,-0.054,-0.467,-0.481
Matt Wallace,71.76,-0.10765,0.027,0.307,-0.941,0.325,-0.296
Justin Rose,70.45,0.0912,-0.023,0.253,0.212,0.124,0.2
Louis Oosthuizen,70.917,-0.45475,0.187,-0.73,-0.576,-0.363,-1.598
Denny McCarthy,70.576,0.36645,1.276,-0.125,-0.511,-0.224,-0.787
Ryan Moore,70.953,0.14185,-0.014,0.016,0.131,0.258,0.485
Danny Lee,70.584,-0.08195,-0.38,-0.227,0.185,0.375,0.374
Kyoung-Hoon Lee,71.293,-0.0569,-0.193,0.112,-0.223,0.219,0.159
Richy Werenski,70.75,0.2605,0.743,0.094,-0.286,-0.146,-0.338
Bud Cauley,70.251,0.30355,0.129,0.373,0.486,-0.207,0.654
Jason Day,70.674,0.1013,-0.254,1.032,-0.401,0.054,0.65
Si Woo Kim,72.308,-0.3083,-0.232,0.29,-0.569,-0.273,-0.603
Zach Johnson,70.688,0.0965,0.284,-0.161,0.069,-0.126,-0.12
Kevin Tway,71.597,-0.1839,-0.335,0.294,0.114,-0.514,-0.126
Kevin Kisner,71.104,0.1473,0.16,0.121,-0.09,0.154,0.226
