Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Rory McIlroy (14662969),Rory McIlroy,14662969,G,11200,Travelers Championship,Golf,0.7
G,Bryson DeChambeau (14662970),Bryson DeChambeau,14662970,G,11000,Travelers Championship,Golf,0.7484
G,Justin Thomas (14662971),Justin Thomas,14662971,G,10800,Travelers Championship,Golf,0.742
G,Jon Rahm (14662973),Jon Rahm,14662973,G,10200,Travelers Championship,Golf,0.7226
G,Patrick Cantlay (14662975),Patrick Cantlay,14662975,G,9800,Travelers Championship,Golf,0.6172
G,Xander Schauffele (14662976),Xander Schauffele,14662976,G,9600,Travelers Championship,Golf,0.5776
G,Dustin Johnson (14662977),Dustin Johnson,14662977,G,9400,Travelers Championship,Golf,0.1146
G,Justin Rose (14662978),Justin Rose,14662978,G,9200,Travelers Championship,Golf,0.0912
G,Collin Morikawa (14662979),Collin Morikawa,14662979,G,9100,Travelers Championship,Golf,0.42345
G,Abraham Ancer (14662980),Abraham Ancer,14662980,G,9000,Travelers Championship,Golf,0.40265
G,Paul Casey (14662981),Paul Casey,14662981,G,8900,Travelers Championship,Golf,-0.03645
G,Bubba Watson (14662982),Bubba Watson,14662982,G,8800,Travelers Championship,Golf,0.49605
G,Patrick Reed (14662983),Patrick Reed,14662983,G,8700,Travelers Championship,Golf,0.7982
G,Sungjae Im (14662984),Sungjae Im,14662984,G,8600,Travelers Championship,Golf,0.51815
G,Sergio Garcia (14662985),Sergio Garcia,14662985,G,8500,Travelers Championship,Golf,-0.01815
G,Jordan Spieth (14662986),Jordan Spieth,14662986,G,8400,Travelers Championship,Golf,0.1375
G,Gary Woodland (14662989),Gary Woodland,14662989,G,8300,Travelers Championship,Golf,0.5117
G,Tony Finau (14662991),Tony Finau,14662991,G,8200,Travelers Championship,Golf,0.48255
G,Matthew Fitzpatrick (14662987),Matthew Fitzpatrick,14662987,G,8100,Travelers Championship,Golf,0.39555
G,Marc Leishman (14662988),Marc Leishman,14662988,G,8000,Travelers Championship,Golf,0.4174
G,Joaquin Niemann (14662990),Joaquin Niemann,14662990,G,7900,Travelers Championship,Golf,0.2827
G,J.T. Poston (14662994),J.T. Poston,14662994,G,7900,Travelers Championship,Golf,0.42105
G,Viktor Hovland (14662992),Viktor Hovland,14662992,G,7800,Travelers Championship,Golf,0.15015
G,Ian Poulter (14662993),Ian Poulter,14662993,G,7800,Travelers Championship,Golf,0.5172
G,Joel Dahmen (14662995),Joel Dahmen,14662995,G,7700,Travelers Championship,Golf,0.3387
G,Kevin Kisner (14662996),Kevin Kisner,14662996,G,7700,Travelers Championship,Golf,0.1473
G,Scottie Scheffler (14662997),Scottie Scheffler,14662997,G,7600,Travelers Championship,Golf,0.2594
G,Brian Harman (14662998),Brian Harman,14662998,G,7600,Travelers Championship,Golf,0.3469
G,Corey Conners (14662999),Corey Conners,14662999,G,7500,Travelers Championship,Golf,0.0116
G,Jason Day (14663000),Jason Day,14663000,G,7500,Travelers Championship,Golf,0.1013
G,Keegan Bradley (14663001),Keegan Bradley,14663001,G,7400,Travelers Championship,Golf,-0.0592
G,Jason Kokrak (14663002),Jason Kokrak,14663002,G,7400,Travelers Championship,Golf,0.0491
G,Billy Horschel (14663003),Billy Horschel,14663003,G,7300,Travelers Championship,Golf,0.30815
G,Ryan Palmer (14663004),Ryan Palmer,14663004,G,7300,Travelers Championship,Golf,0.0199
G,Chez Reavie (14663005),Chez Reavie,14663005,G,7300,Travelers Championship,Golf,-0.0384
G,Byeong Hun An (14663006),Byeong Hun An,14663006,G,7200,Travelers Championship,Golf,-0.0922
G,Brandt Snedeker (14663007),Brandt Snedeker,14663007,G,7200,Travelers Championship,Golf,0.3675
G,Branden Grace (14663008),Branden Grace,14663008,G,7200,Travelers Championship,Golf,0.1571
G,Louis Oosthuizen (14663009),Louis Oosthuizen,14663009,G,7200,Travelers Championship,Golf,-0.45475
G,Shane Lowry (14663010),Shane Lowry,14663010,G,7100,Travelers Championship,Golf,0.01485
G,Kevin Na (14663011),Kevin Na,14663011,G,7100,Travelers Championship,Golf,0.45955
G,Kevin Streelman (14663012),Kevin Streelman,14663012,G,7100,Travelers Championship,Golf,0.06275
G,Harold Varner III (14663013),Harold Varner III,14663013,G,7100,Travelers Championship,Golf,0.33215
G,Dylan Frittelli (14663014),Dylan Frittelli,14663014,G,7100,Travelers Championship,Golf,-0.00665
G,Rafa Cabrera Bello (14663015),Rafa Cabrera Bello,14663015,G,7000,Travelers Championship,Golf,0.1376
G,Jim Furyk (14663016),Jim Furyk,14663016,G,7000,Travelers Championship,Golf,0.1572
G,Charley Hoffman (14663017),Charley Hoffman,14663017,G,7000,Travelers Championship,Golf,0.04255
G,Max Homa (14663018),Max Homa,14663018,G,7000,Travelers Championship,Golf,0.1606
G,Lucas Glover (14663019),Lucas Glover,14663019,G,7000,Travelers Championship,Golf,-0.0472
G,Danny Lee (14663020),Danny Lee,14663020,G,6900,Travelers Championship,Golf,-0.08195
G,Luke List (14663021),Luke List,14663021,G,6900,Travelers Championship,Golf,0.0476
G,Phil Mickelson (14663022),Phil Mickelson,14663022,G,6900,Travelers Championship,Golf,-0.0109
G,Ryan Moore (14663023),Ryan Moore,14663023,G,6900,Travelers Championship,Golf,0.14185
G,Patrick Rodgers (14663024),Patrick Rodgers,14663024,G,6900,Travelers Championship,Golf,0.3439
G,Bud Cauley (14663025),Bud Cauley,14663025,G,6900,Travelers Championship,Golf,0.30355
G,Russell Henley (14663026),Russell Henley,14663026,G,6800,Travelers Championship,Golf,0.1633
G,Carlos Ortiz (14663028),Carlos Ortiz,14663028,G,6800,Travelers Championship,Golf,0.3279
G,Matthew Wolff (14663030),Matthew Wolff,14663030,G,6800,Travelers Championship,Golf,-0.07565
