player,Bogey Average-EVENTS,Bogey Average-AVERAGE BOGEYS PER ROUND,Bogey Average-TOTAL BOGEYS,Bogey Average-ROUNDS PLAYED,Final Round Performance-EVENTS,Final Round Performance-%,Front 9 Par 4 Scoring Average-ROUNDS,Front 9 Par 4 Scoring Average-AVG,Front 9 Par 4 Scoring Average-TOTAL STROKES,Front 9 Par 4 Scoring Average-TOTAL HOLES,Back 9 Par 4 Scoring Average-ROUNDS,Back 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-TOTAL STROKES,Back 9 Par 4 Scoring Average-TOTAL HOLES,Birdie Average-ROUNDS,Birdie Average-AVG,Birdie Average-# OF BIRDIES,Birdie Average-TOTAL ROUNDS,Scoring Average-ROUNDS,Scoring Average-AVG,Scoring Average-TOTAL STROKES,Scoring Average-TOTAL ADJUSTMENT,Scoring Average-TOTAL ROUNDS,Front 9 Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-TOTAL STROKES,Front 9 Round 1 Scoring Average-TOTAL ROUNDS,Front 9 Par 3 Scoring Average-ROUNDS,Front 9 Par 3 Scoring Average-AVG,Front 9 Par 3 Scoring Average-TOTAL STROKES,Front 9 Par 3 Scoring Average-TOTAL HOLES,Birdie to Bogey Ratio-ROUNDS,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie to Bogey Ratio-TOTAL BIRDIES AND BETTER,Birdie to Bogey Ratio-TOTAL BOGEYS AND WORSE,Back 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-TOTAL STROKES,Back 9 Round 1 Scoring Average-TOTAL ROUNDS,Bogey Avoidance-ROUNDS,Bogey Avoidance-% MAKES BOGEY,Bogey Avoidance-BOGEYS,Bogey Avoidance-HOLES PLAYED,Back 9 Par 3 Scoring Average-ROUNDS,Back 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-TOTAL STROKES,Back 9 Par 3 Scoring Average-TOTAL HOLES,Par 5 Performance-ROUNDS,Par 5 Performance-STATUS,Par 5 Performance-PAR 5 AVG,Par 5 Performance-TOTAL PAR,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,Total Eagles-ROUNDS,Total Eagles-TOTAL,Round 3 Scoring Average-AVG,Round 3 Scoring Average-TOTAL STROKES,Round 3 Scoring Average-TOTAL ROUNDS,Round 2 Scoring Average-AVG,Round 2 Scoring Average-TOTAL STROKES,Round 2 Scoring Average-TOTAL ROUNDS,Par 4 Performance-ROUNDS,Par 4 Performance-STATUS,Par 4 Performance-PAR 4 AVG,Par 4 Performance-TOTAL PAR,Final Round Scoring Average-AVG,Final Round Scoring Average-TOTAL STROKES,Final Round Scoring Average-TOTAL ROUNDS,Back 9 Round 4 Scoring Average-AVG,Back 9 Round 4 Scoring Average-TOTAL STROKES,Back 9 Round 4 Scoring Average-TOTAL ROUNDS,Round 4 Scoring Average-AVG,Round 4 Scoring Average-TOTAL STROKES,Round 4 Scoring Average-TOTAL ROUNDS,Par 4 Scoring Average-ROUNDS,Par 4 Scoring Average-AVG,Par 4 Scoring Average-TOTAL STROKES,Par 4 Scoring Average-TOTAL HOLES,Par Breakers-ROUNDS,Par Breakers-%,Par Breakers-# BIRDIES/EAGLES,Par Breakers-# HOLES,Back 9 Round 2 Scoring Average-AVG,Back 9 Round 2 Scoring Average-TOTAL STROKES,Back 9 Round 2 Scoring Average-TOTAL ROUNDS,Bounce Back-ROUNDS,Bounce Back-%,Birdie or Better Percentage-ROUNDS,Birdie or Better Percentage-%,Birdie or Better Percentage-TOTAL BIRDIES,Birdie or Better Percentage-TOTAL HOLES,Birdie or Better Percentage-GIR RANK,Front 9 Round 3 Scoring Average-AVG,Front 9 Round 3 Scoring Average-TOTAL STROKES,Front 9 Round 3 Scoring Average-TOTAL ROUNDS,Front 9 Round 2 Scoring Average-AVG,Front 9 Round 2 Scoring Average-TOTAL STROKES,Front 9 Round 2 Scoring Average-TOTAL ROUNDS,Scoring Average Before Cut-AVG,Scoring Average Before Cut-TOTAL STROKES,Scoring Average Before Cut-TOTAL ROUNDS,Back 9 Scoring Average-ROUNDS,Back 9 Scoring Average-AVG,Back 9 Scoring Average-TOTAL STROKES,Back 9 Scoring Average-TOTAL HOLES,Par 5 Eagle Leaders-ROUNDS,Par 5 Eagle Leaders-TOTAL,Par 5 Eagle Leaders-TOTAL PAR 5 HOLES,Par 5 Eagle Leaders-TOTAL HOLE OUTS,Round 1 Scoring Average-AVG,Round 1 Scoring Average-TOTAL STROKES,Round 1 Scoring Average-TOTAL ROUNDS,Back 9 Par 5 Scoring Average-ROUNDS,Back 9 Par 5 Scoring Average-AVG,Back 9 Par 5 Scoring Average-TOTAL STROKES,Back 9 Par 5 Scoring Average-TOTAL HOLES,Par 4 Birdie or Better Leaders-ROUNDS,Par 4 Birdie or Better Leaders-%,Par 4 Birdie or Better Leaders-PAR 4 BIRDIES OR BETTER,Par 4 Birdie or Better Leaders-PAR 4 HOLES,Back 9 Round 3 Scoring Average-AVG,Back 9 Round 3 Scoring Average-TOTAL STROKES,Back 9 Round 3 Scoring Average-TOTAL ROUNDS,Par 5 Scoring Average-ROUNDS,Par 5 Scoring Average-AVG,Par 5 Scoring Average-TOTAL STROKES,Par 5 Scoring Average-TOTAL HOLES,Par 3 Scoring Average-ROUNDS,Par 3 Scoring Average-AVG,Par 3 Scoring Average-TOTAL STROKES,Par 3 Scoring Average-TOTAL HOLES,Total Birdies-ROUNDS,Total Birdies-TOTAL,Par 5 Birdie or Better Leaders-ROUNDS,Par 5 Birdie or Better Leaders-%,Par 5 Birdie or Better Leaders-PAR 5 BIRDIES OR BETTER,Par 5 Birdie or Better Leaders-PAR 5 HOLES,Front 9 Round 4 Scoring Average-AVG,Front 9 Round 4 Scoring Average-TOTAL STROKES,Front 9 Round 4 Scoring Average-TOTAL ROUNDS,Par 3 Birdie or Better Leaders-ROUNDS,Par 3 Birdie or Better Leaders-%,Par 3 Birdie or Better Leaders-PAR 3 BIRDIES OR BETTER,Par 3 Birdie or Better Leaders-PAR 3 HOLES,Stroke Differential Field Average-ROUNDS,Stroke Differential Field Average-STROKE DIFFERENTIAL,Stroke Differential Field Average-PLAYER'S SCORE,Stroke Differential Field Average-FIELD AVERAGE SCORE,Eagles (Holes per)-ROUNDS,Eagles (Holes per)-FREQUENCY,Eagles (Holes per)-# OF HOLES,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Scoring Average (Actual)-AVG,Scoring Average (Actual)-TOTAL STROKES,Scoring Average (Actual)-TOTAL ROUNDS,Front 9 Par 5 Scoring Average-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Front 9 Par 5 Scoring Average-TOTAL STROKES,Front 9 Par 5 Scoring Average-TOTAL HOLES,Par 3 Performance-ROUNDS,Par 3 Performance-STATUS,Par 3 Performance-PAR 3 AVG,Par 3 Performance-TOTAL PAR
Brendan Steele,13,2.35,94,40,13,71.43,40,4.02,905,225,40,3.94,848,215,40,3.88,155,40,40,70.620,"2,802",22.797,40,35.77,465,13,40,2.96,237,80,40,1.46,158,108,35.08,456,13,40,15.00,108,720,40,3.11,249,80,40,-37,4.69,6.00,40,.443,14.163,14.863,-.697,32,40,3,69.14,484,7,70.00,910,13,40,-7,3.98,17.60,69.57,487,7,35.86,251,7,69.57,487,7,40,3.98,"1,753",440,40,21.94,158,720,35.08,456,13,40,21.21,40,21.94,158,720,42,35.29,247,7,34.92,454,13,70.30,"1,898",27,40,35.00,"1,400",40,40,3,120,0,70.85,921,13,40,4.66,303,65,40,19.55,86,440,33.86,237,7,40,4.69,563,120,40,3.04,486,160,40,155,40,39.17,47,120,33.71,236,7,40,15.63,25,160,40,+.38,70.05,70.43,40,240.0,720,3,40,70.05,"2,802",40,40,4.73,260,55,40,+6,3.04,4.80
Patrick Reed,9,2.35,80,34,9,87.50,34,3.98,733,184,34,3.87,697,180,36,4.53,163,36,36,69.515,"2,500",2.546,36,34.56,311,9,36,3.00,228,76,34,1.83,159,87,35.20,352,10,36,14.51,94,648,34,3.09,198,64,34,-45,4.60,5.60,36,1.741,47.005,17.923,29.082,27,34,4,69.88,559,8,69.00,621,9,34,-26,3.93,14.56,68.63,549,8,34.38,275,8,68.63,549,8,36,3.94,"1,521",386,34,25.98,159,612,34.44,310,9,34,17.72,34,25.98,159,612,177,34.63,277,8,35.00,350,10,69.60,"1,392",20,34,34.85,"1,185",34,34,3,112,1,69.89,629,9,34,4.68,290,62,34,24.45,89,364,35.25,282,8,34,4.60,515,112,36,3.03,436,144,34,155,36,44.07,52,118,34.25,274,8,34,14.71,20,136,34,+1.96,69.35,71.31,34,153.0,612,4,36,69.44,"2,500",36,34,4.50,225,50,34,+5,3.04,4.08
Talor Gooch,14,2.35,127,54,14,61.54,54,3.99,"1,202",301,54,4.00,"1,156",289,56,3.73,209,56,56,70.565,"3,928",23.615,56,34.43,482,14,56,3.04,341,112,54,1.46,210,144,34.73,521,15,56,14.68,148,"1,008",54,3.03,327,108,54,-61,4.63,8.30,56,.468,22.484,7.499,14.990,48,54,5,69.85,908,13,70.79,991,14,54,-2,4.00,23.60,70.69,919,13,35.38,460,13,70.69,919,13,56,4.00,"2,448",612,54,21.60,210,972,35.50,497,14,54,22.30,54,21.60,210,972,92,34.62,450,13,35.20,528,15,69.84,"2,165",31,54,35.17,"1,899",54,54,4,166,0,69.00,966,14,54,4.67,416,89,54,17.80,105,590,35.23,458,13,54,4.63,769,166,56,3.04,681,224,54,205,56,44.77,77,172,35.31,459,13,54,13.43,29,216,54,+.62,70.07,70.69,54,194.4,972,5,56,70.14,"3,928",56,54,4.58,353,77,54,+9,3.04,6.48
Pat Perez,11,2.36,92,39,11,37.50,39,3.95,833,211,39,4.11,847,206,41,3.56,146,41,41,70.864,"2,881",24.440,41,34.64,381,11,41,3.03,264,87,39,1.37,144,105,36.08,433,12,41,15.18,112,738,39,3.03,236,78,39,-47,4.62,6.20,41,.053,1.377,-3.468,4.847,26,39,6,68.67,618,9,71.00,781,11,39,+12,4.03,16.68,70.50,564,8,35.00,280,8,70.50,564,8,41,4.03,"1,770",439,39,20.51,144,702,35.91,395,11,39,17.82,39,20.51,144,702,53,33.67,303,9,34.83,418,12,70.92,"1,773",25,39,35.59,"1,388",39,39,4,124,0,70.82,779,11,39,4.55,305,67,39,16.79,70,417,35.00,315,9,39,4.62,573,124,41,3.01,509,169,39,138,41,41.54,54,130,35.50,284,8,39,13.04,21,161,39,+.19,70.31,70.50,39,117.0,702,6,41,70.27,"2,881",41,39,4.70,268,57,39,+6,3.04,4.83
Kevin Kisner,11,2.36,92,39,11,12.50,39,4.02,837,208,39,4.00,845,211,41,3.44,141,41,41,71.104,"2,891",24.266,41,36.18,398,11,41,2.99,260,87,39,1.34,138,103,35.58,427,12,41,14.50,107,738,39,3.11,230,74,39,-37,4.71,6.30,41,.308,7.396,3.566,3.831,24,39,2,67.89,611,9,69.91,769,11,39,+6,4.01,16.76,72.63,581,8,37.50,300,8,72.63,581,8,41,4.01,"1,769",441,39,19.66,138,702,35.36,389,11,39,16.33,39,19.66,138,702,157,33.67,303,9,34.67,416,12,70.69,"1,838",26,39,35.64,"1,390",39,39,1,126,0,71.91,791,11,39,4.77,315,66,39,14.32,60,419,34.22,308,9,39,4.71,593,126,41,3.05,503,165,39,136,41,40.91,54,132,35.13,281,8,39,17.20,27,157,39,+.10,70.56,70.66,39,351.0,702,2,41,70.51,"2,891",41,39,4.63,278,60,39,+6,3.04,4.71
Johnson Wagner,7,2.37,45,19,7,50.00,19,4.09,425,104,19,3.95,383,97,19,3.05,58,19,19,71.689,"1,348",14.092,19,35.29,247,7,19,3.13,122,39,19,1.20,60,50,35.57,249,7,19,14.62,50,342,19,3.08,117,38,19,-19,4.70,3.20,19,-.494,-4.941,-7.822,2.880,10,19,2,70.00,210,3,71.71,502,7,19,+4,4.02,8.04,70.00,140,2,35.00,70,2,70.00,140,2,19,4.02,808,201,19,17.54,60,342,35.29,247,7,19,17.78,19,17.54,60,342,68,35.00,105,3,36.43,255,7,71.27,"1,069",15,19,35.32,671,19,19,2,64,1,70.86,496,7,19,4.75,171,36,19,15.92,32,201,35.00,105,3,19,4.70,301,64,19,3.10,239,77,19,58,19,34.38,22,64,35.00,70,2,19,7.79,6,77,19,-.38,70.95,70.57,19,171.0,342,2,19,70.95,"1,348",19,19,4.64,130,28,19,+8,3.10,2.31
Nick Watney,12,2.37,83,35,12,20.00,35,4.00,768,192,35,4.04,748,185,36,4.00,144,36,36,70.925,"2,535",18.317,36,34.67,416,12,36,3.07,224,73,35,1.44,143,99,35.08,456,13,36,16.20,105,648,35,2.99,209,70,35,-42,4.63,5.60,36,.297,8.321,6.614,1.709,28,35,4,70.67,424,6,70.75,849,12,35,+8,4.02,15.08,70.60,353,5,35.80,179,5,70.60,353,5,36,4.03,"1,564",388,35,22.70,143,630,36.00,432,12,35,19.35,35,22.70,143,630,25,35.17,211,6,34.75,417,12,70.26,"1,897",27,35,35.51,"1,243",35,35,3,112,0,69.58,835,12,35,4.77,286,60,35,17.24,65,377,35.50,213,6,35,4.63,518,112,36,3.03,439,145,35,139,36,47.83,55,115,34.80,174,5,35,17.73,25,141,35,+.36,70.31,70.67,35,157.5,630,4,36,70.42,"2,535",36,35,4.46,232,52,35,+4,3.03,4.23
Lanto Griffin,17,2.37,142,60,17,69.23,60,3.99,"1,313",329,60,4.04,"1,285",318,62,3.89,241,62,62,70.639,"4,349",30.605,62,35.12,597,17,62,3.06,383,125,60,1.52,240,158,35.78,644,18,62,14.87,166,"1,116",60,3.04,353,116,60,-95,4.52,9.80,62,.582,29.097,10.953,18.146,50,60,7,69.77,907,13,69.88,"1,188",17,60,+10,4.02,25.88,69.85,908,13,35.23,458,13,69.85,908,13,62,4.01,"2,686",669,60,22.22,240,"1,080",35.24,599,17,60,21.92,60,22.22,240,"1,080",155,35.15,457,13,34.61,623,18,70.41,"2,605",37,60,35.22,"2,113",60,60,7,196,1,70.76,"1,203",17,60,4.48,475,106,60,16.07,104,647,34.62,450,13,60,4.52,885,196,62,3.07,751,245,60,233,62,53.96,109,202,34.62,450,13,60,12.66,30,237,60,+.76,70.10,70.86,60,154.3,"1,080",7,62,70.15,"4,349",62,60,4.56,410,90,60,+12,3.05,7.11
Charles Howell III,13,2.38,112,47,13,50.00,47,3.95,"1,012",256,47,4.02,997,248,49,3.73,183,49,49,70.725,"3,428",37.540,49,35.62,463,13,49,3.06,312,102,47,1.49,182,122,36.00,504,14,49,14.29,126,882,47,3.04,286,94,47,-55,4.63,7.50,49,.090,2.700,2.137,.565,30,47,4,68.55,754,11,69.38,902,13,47,-7,3.99,20.16,70.30,703,10,35.00,350,10,70.30,703,10,49,3.99,"2,097",526,47,21.51,182,846,35.46,461,13,47,21.74,47,21.51,182,846,28,34.27,377,11,33.79,473,14,70.45,"2,043",29,47,35.21,"1,655",47,47,3,150,1,71.54,930,13,47,4.59,372,81,47,19.25,97,504,34.27,377,11,47,4.63,695,150,49,3.05,610,200,47,178,49,44.87,70,156,35.30,353,10,47,9.38,18,192,47,+.39,69.98,70.37,47,211.5,846,4,49,69.96,"3,428",49,47,4.68,323,69,47,+9,3.05,5.76
D.J. Trahan,11,2.38,88,37,11,28.57,37,3.98,804,202,37,4.00,788,197,37,3.97,147,37,37,70.746,"2,593",24.594,37,35.27,388,11,37,3.01,226,75,37,1.51,149,99,35.64,392,11,37,14.86,99,666,37,3.09,229,74,37,-44,4.63,5.90,37,.203,4.676,13.424,-8.748,23,37,2,69.75,558,8,69.09,760,11,37,-4,3.99,15.96,70.71,495,7,35.57,249,7,70.71,495,7,37,3.99,"1,592",399,37,22.37,149,666,34.73,382,11,37,25.81,37,22.37,149,666,16,34.75,278,8,34.36,378,11,70.21,"1,685",24,37,35.22,"1,303",37,37,2,118,0,70.91,780,11,37,4.61,286,62,37,18.30,73,399,35.00,280,8,37,4.63,546,118,37,3.05,455,149,37,147,37,46.61,55,118,35.14,246,7,37,14.09,21,149,37,+.42,70.08,70.50,37,333.0,666,2,37,70.08,"2,593",37,37,4.64,260,56,37,+8,3.05,4.47
Bubba Watson,10,2.41,82,34,10,57.14,34,3.96,769,194,34,3.98,692,174,38,3.74,142,38,38,70.113,"2,640",24.284,38,34.70,347,10,38,3.09,247,80,34,1.52,134,88,34.64,381,11,38,13.74,94,684,34,3.03,206,68,34,-43,4.59,5.20,38,1.192,34.562,16.110,18.453,29,34,7,69.43,486,7,69.90,699,10,34,-11,3.97,14.72,69.29,485,7,35.14,246,7,69.29,485,7,38,3.96,"1,630",412,34,21.90,134,612,34.80,348,10,34,24.39,34,21.90,134,612,131,34.86,244,7,35.09,386,11,69.59,"1,531",22,34,34.82,"1,184",34,34,6,104,1,69.50,695,10,34,4.47,286,64,34,18.48,68,368,34.57,242,7,34,4.59,477,104,38,3.07,479,156,34,127,38,45.69,53,116,34.14,239,7,34,13.57,19,140,34,+.91,69.56,70.47,34,87.4,612,7,38,69.47,"2,640",38,34,4.78,191,40,34,+7,3.05,4.20
Rafa Cabrera Bello,8,2.41,70,29,8,50.00,29,4.01,630,157,29,4.03,596,148,31,3.55,110,31,31,71.133,"2,193",12.136,31,34.38,275,8,31,3.06,205,67,29,1.28,104,81,36.00,324,9,31,15.95,89,558,29,3.05,177,58,29,-24,4.75,4.80,31,.032,.539,-6.105,6.644,17,29,2,70.00,490,7,71.88,575,8,29,+6,4.02,12.20,70.00,420,6,35.50,213,6,70.00,420,6,31,4.03,"1,317",327,29,19.92,104,522,36.00,288,8,29,18.67,29,19.92,104,522,196,34.71,243,7,36.00,324,9,71.47,"1,358",19,29,35.79,"1,038",29,29,1,96,0,70.63,565,8,29,4.82,265,55,29,16.07,49,305,35.29,247,7,29,4.75,456,96,31,3.05,393,129,29,102,31,37.25,38,102,34.50,207,6,29,16.53,20,121,29,+.13,70.69,70.82,29,261.0,522,2,31,70.74,"2,193",31,29,4.66,191,41,29,+5,3.04,3.63
Chris Baker,13,2.41,89,37,13,40.00,37,4.08,799,196,37,4.08,812,199,37,2.97,110,37,37,71.575,"2,634",14.262,37,35.54,462,13,37,3.07,230,75,37,1.12,115,103,35.00,455,13,37,15.47,103,666,37,3.07,227,74,37,-44,4.64,6.10,37,-.805,-16.904,-1.539,-15.365,21,37,5,72.33,434,6,70.62,918,13,37,+31,4.08,15.80,73.00,365,5,36.20,181,5,73.00,365,5,37,4.08,"1,611",395,37,17.27,115,666,35.62,463,13,37,10.75,37,17.27,115,666,89,35.00,210,6,35.00,455,13,70.71,"1,980",28,37,35.76,"1,323",37,37,5,122,2,70.54,917,13,37,4.73,284,60,37,11.14,44,395,37.33,224,6,37,4.64,566,122,37,3.07,457,149,37,110,37,41.80,51,122,36.80,184,5,37,13.42,20,149,37,-.31,71.19,70.88,37,133.2,666,5,37,71.19,"2,634",37,37,4.55,282,62,37,+10,3.07,4.47
Stewart Cink,8,2.42,75,31,8,28.57,31,4.06,658,162,31,4.01,645,161,35,3.86,135,35,35,70.987,"2,478",6.558,35,36.13,289,8,35,3.03,215,71,31,1.34,119,89,34.67,312,9,35,15.56,98,630,31,3.08,191,62,31,-35,4.68,5.50,35,.367,10.644,5.230,5.414,29,31,1,71.50,572,8,68.88,551,8,31,+11,4.03,12.92,73.00,511,7,36.29,254,7,73.00,511,7,35,4.02,"1,477",367,31,21.33,119,558,34.38,275,8,31,27.50,31,21.33,119,558,82,35.13,281,8,34.56,311,9,69.70,"1,394",20,31,35.39,"1,097",31,31,1,110,0,70.75,566,8,31,4.66,261,56,31,17.96,58,323,36.38,291,8,31,4.68,515,110,35,3.05,430,141,31,118,35,40.16,49,122,36.71,257,7,31,13.60,17,125,31,+.60,70.97,71.57,31,558.0,558,1,35,70.80,"2,478",35,31,4.70,254,54,31,+7,3.06,3.75
David Lingmerth,7,2.42,46,19,7,.00,19,4.14,422,102,19,3.98,394,99,19,3.47,66,19,19,71.757,"1,347",16.392,19,34.71,243,7,19,3.05,119,39,19,1.26,67,53,35.57,249,7,19,15.50,53,342,19,3.03,115,38,19,-23,4.64,3.20,19,-.309,-3.089,-3.018,-.071,10,19,1,69.67,209,3,71.14,498,7,19,+12,4.06,8.04,74.00,148,2,36.50,73,2,74.00,148,2,19,4.06,816,201,19,19.59,67,342,35.29,247,7,19,20.00,19,19.59,67,342,41,35.33,106,3,35.86,251,7,70.87,"1,063",15,19,35.37,672,19,19,1,64,0,70.29,492,7,19,4.79,163,34,19,15.92,32,201,34.33,103,3,19,4.64,297,64,19,3.04,234,77,19,66,19,40.63,26,64,37.50,75,2,19,11.69,9,77,19,-.44,70.89,70.45,19,342.0,342,1,19,70.89,"1,347",19,19,4.47,134,30,19,+3,3.04,2.31
Vaughn Taylor,14,2.43,119,49,14,70.00,49,3.98,"1,051",264,49,4.07,"1,062",261,53,4.13,219,53,53,70.575,"3,719",21.452,53,35.86,502,14,53,2.94,326,111,49,1.44,203,141,34.93,524,15,53,15.62,149,954,49,3.03,297,98,49,-50,4.68,7.80,53,.206,7.425,-7.622,15.049,36,49,3,69.82,768,11,70.21,983,14,49,+13,4.02,21.00,70.20,702,10,35.90,359,10,70.20,702,10,53,4.01,"2,284",569,49,23.02,203,882,35.57,498,14,49,20.61,49,23.02,203,882,183,34.82,383,11,34.53,518,15,70.13,"2,244",32,49,35.33,"1,731",49,49,2,156,0,70.79,991,14,49,4.54,372,82,49,18.48,97,525,35.00,385,11,49,4.68,730,156,53,2.99,648,217,49,200,53,40.48,68,168,34.30,343,10,49,20.90,42,201,49,+.52,70.29,70.81,49,294.0,882,3,53,70.17,"3,719",53,49,4.84,358,74,49,-2,2.99,6.03
Jason Kokrak,11,2.43,90,37,11,71.43,37,3.98,815,205,37,4.04,763,189,39,3.62,141,39,39,70.925,"2,745",21.080,39,34.55,380,11,39,3.06,251,82,37,1.38,137,99,36.17,434,12,39,14.81,104,702,37,3.03,224,74,37,-37,4.69,6.00,39,.254,7.115,12.896,-5.779,28,37,1,69.75,558,8,70.45,775,11,37,+2,4.01,15.76,70.00,490,7,35.00,245,7,70.00,490,7,39,4.01,"1,668",416,37,20.57,137,666,35.73,393,11,37,24.73,37,20.57,137,666,61,35.00,280,8,34.92,419,12,70.68,"1,767",25,37,35.57,"1,316",37,37,1,120,0,70.91,780,11,37,4.70,329,70,37,16.50,65,394,34.75,278,8,37,4.69,563,120,39,3.04,487,160,37,136,39,41.27,52,126,35.00,245,7,37,15.13,23,152,37,+.30,70.35,70.65,37,666.0,666,1,39,70.38,"2,745",39,37,4.68,234,50,37,+6,3.04,4.56
Bo Hoag,14,2.43,114,47,14,33.33,47,4.01,"1,010",252,47,4.04,"1,013",251,47,3.51,165,47,47,71.049,"3,299",40.320,47,35.14,492,14,47,2.97,282,95,47,1.44,169,117,35.50,497,14,47,13.83,117,846,47,2.97,279,94,47,-55,4.64,7.70,47,-.264,-7.646,-8.382,.737,29,47,4,69.70,697,10,69.50,973,14,47,+11,4.02,20.12,71.11,640,9,34.44,310,9,71.11,640,9,47,4.02,"2,023",503,47,19.98,169,846,34.93,489,14,47,26.36,47,19.98,169,846,18,33.90,339,10,34.57,484,14,69.97,"2,029",29,47,35.19,"1,654",47,47,4,154,1,70.64,989,14,47,4.64,362,78,47,14.91,75,503,35.80,358,10,47,4.64,715,154,47,2.97,561,189,47,165,47,40.91,63,154,36.67,330,9,47,16.40,31,189,47,+.21,70.19,70.40,47,211.5,846,4,47,70.19,"3,299",47,47,4.64,353,76,47,-6,2.97,5.67
Joaquin Niemann,13,2.43,102,42,13,75.00,42,3.97,922,232,42,4.03,910,226,46,3.98,183,46,46,70.232,"3,204",26.657,46,35.00,455,13,46,2.97,285,96,42,1.48,166,112,35.00,490,14,46,14.13,117,828,42,3.10,248,80,42,-53,4.59,6.50,46,1.019,35.678,33.864,1.815,35,42,5,70.75,566,8,69.77,907,13,42,E,4.00,18.32,69.38,555,8,35.25,282,8,69.38,555,8,46,3.97,"1,995",502,42,21.96,166,756,35.08,456,13,42,19.63,42,21.96,166,756,34,34.38,275,8,34.64,485,14,69.82,"1,955",28,42,35.36,"1,485",42,42,4,130,0,70.08,911,13,42,4.54,327,72,42,17.47,80,458,36.38,291,8,42,4.59,597,130,46,3.03,558,184,42,161,46,46.48,66,142,34.13,273,8,42,15.48,26,168,42,+.68,69.98,70.66,42,151.2,756,5,46,69.65,"3,204",46,42,4.66,270,58,42,+6,3.04,5.04
Fabián Gómez,13,2.44,105,43,13,25.00,43,4.00,928,232,43,3.99,914,229,43,3.53,152,43,43,71.046,"3,019",35.957,43,34.77,452,13,43,3.00,261,87,43,1.40,161,115,35.85,466,13,43,14.86,115,774,43,3.10,267,86,43,-51,4.64,7.00,43,.008,.224,-.207,.433,27,43,9,70.67,636,9,69.15,899,13,43,-2,4.00,18.44,70.75,566,8,35.38,283,8,70.75,566,8,43,4.00,"1,842",461,43,20.80,161,774,34.92,454,13,43,18.02,43,20.80,161,774,118,35.67,321,9,34.23,445,13,70.04,"1,961",28,43,35.30,"1,518",43,43,9,140,4,70.62,918,13,43,4.68,337,72,43,17.57,81,461,35.00,315,9,43,4.64,649,140,43,3.05,528,173,43,152,43,40.71,57,140,35.38,283,8,43,13.29,23,173,43,+.19,70.21,70.40,43,86.0,774,9,43,70.21,"3,019",43,43,4.59,312,68,43,+9,3.05,5.19
Peter Malnati,14,2.44,95,39,14,40.00,39,4.01,851,212,39,4.04,829,205,43,3.72,160,43,43,71.479,"3,044",29.591,43,35.07,491,14,43,2.94,256,87,39,1.29,148,115,35.93,539,15,43,16.67,129,774,39,3.24,253,78,39,-41,4.68,6.40,43,-.335,-11.046,-33.886,22.842,33,39,4,69.50,417,6,71.07,995,14,39,+12,4.03,16.68,71.60,358,5,36.20,181,5,71.60,358,5,43,4.02,"1,853",461,39,21.08,148,702,35.71,500,14,39,23.15,39,21.08,148,702,222,33.50,201,6,35.33,530,15,70.66,"2,261",32,39,35.87,"1,399",39,39,4,128,1,70.93,993,14,39,4.66,317,68,39,17.03,71,417,36.00,216,6,39,4.68,599,128,43,3.09,534,173,39,144,43,40.71,57,140,35.40,177,5,39,14.65,23,157,39,-.14,70.85,70.71,39,175.5,702,4,43,70.79,"3,044",43,39,4.70,282,60,39,+13,3.08,4.71
Sam Ryder,17,2.44,127,52,17,55.56,52,4.04,"1,167",289,52,4.01,"1,111",277,56,3.82,214,56,56,71.063,"3,939",40.542,56,35.18,598,17,56,3.03,339,112,52,1.37,200,146,35.39,637,18,56,15.08,152,"1,008",52,2.98,310,104,52,-50,4.69,8.10,56,.003,.111,1.107,-.993,42,52,4,70.67,636,9,70.35,"1,196",17,52,+14,4.02,22.64,70.44,634,9,34.67,312,9,70.44,634,9,56,4.02,"2,451",610,52,21.37,200,936,35.59,605,17,52,22.54,52,21.37,200,936,119,36.11,325,9,34.61,623,18,70.22,"2,598",37,52,35.19,"1,830",52,52,4,162,1,70.59,"1,200",17,52,4.70,409,87,52,17.31,98,566,34.56,311,9,52,4.69,760,162,56,3.01,674,224,52,196,56,44.25,77,174,35.78,322,9,52,14.90,31,208,52,-.01,70.50,70.49,52,234.0,936,4,56,70.34,"3,939",56,52,4.68,351,75,52,+4,3.02,6.24
