player,Percentage of Yardage covered by Tee Shots-ROUNDS,Percentage of Yardage covered by Tee Shots-AVG (%),Percentage of Yardage covered by Tee Shots-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots-TOTAL DISTANCE,Right Tendency-EVENTS,Right Tendency-%,Right Tendency-NUMBER OF TIMES,Right Tendency-ATTEMPTS,Right Tendency-AVG RTP SCORE,Missed Fairway Percent - Other-ROUNDS,Missed Fairway Percent - Other-%,Missed Fairway Percent - Other-TOTAL MISSED,Missed Fairway Percent - Other-TOTAL FWYS,Missed Fairway Percent - Other-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 5's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 5's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL DISTANCE,Driving Pct 320+ (Measured)-ROUNDS,Driving Pct 320+ (Measured)-%,Driving Pct 320+ (Measured)-TOTAL DRIVES FOR 320+,Driving Pct 320+ (Measured)-TOTAL DRVS - OVERALL,Driving Pct 320+ (Measured)-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 4's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL DISTANCE,Left Tendency-EVENTS,Left Tendency-%,Left Tendency-NUMBER OF TIMES,Left Tendency-ATTEMPTS,Left Tendency-AVG RTP SCORE,Left Rough Tendency (RTP Score)-ROUNDS,Left Rough Tendency (RTP Score)-RTP SCORE,Fairway Bunker Tendency-ROUNDS,Fairway Bunker Tendency-%,Fairway Bunker Tendency-TOTAL FAIRWAY BUNKERS,Fairway Bunker Tendency-POSSIBLE FWYS,Fairway Bunker Tendency-RELATIVE TO PAR,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,Right Rough Tendency (RTP Score)-ROUNDS,Right Rough Tendency (RTP Score)-RTP SCORE,Right Rough Tendency-ROUNDS,Right Rough Tendency-%,Right Rough Tendency-TOTAL RIGHT ROUGH,Right Rough Tendency-POSSIBLE FWYS,Right Rough Tendency-RELATIVE TO PAR,Left Rough Tendency-ROUNDS,Left Rough Tendency-%,Left Rough Tendency-TOTAL LEFT ROUGH,Left Rough Tendency-POSSIBLE FWYS,Left Rough Tendency-RELATIVE TO PAR,Good Drive Percentage-ROUNDS,Good Drive Percentage-%,Good Drive Percentage-# HIT,Good Drive Percentage-TOTAL ATTEMPTS,Driving Accuracy Percentage-ROUNDS,Driving Accuracy Percentage-%,Driving Accuracy Percentage-FAIRWAYS HIT,Driving Accuracy Percentage-POSSIBLE FAIRWAYS,Rough Tendency-ROUNDS,Rough Tendency-%,Rough Tendency-TOTAL ROUGH,Rough Tendency-POSSIBLE FWYS,Rough Tendency-RELATIVE TO PAR,Hit Fairway Percentage-ROUNDS,Hit Fairway Percentage-%,Hit Fairway Percentage-FAIRWAYS HIT,Hit Fairway Percentage-POSSIBLE FAIRWAYS,Hit Fairway Percentage-RELATIVE TO PAR
Stewart Cink,31,61.94,"994,516","160,556",8,60.5,92,152,+0.54,31,3.79,13,343,+0.54,35,52.13,"286,160","54,891",31,8.06,5,62,-0.40,31,66.21,"742,381","112,132",8,39.5,60,152,+0.50,31,-.098,31,9.3,32,138,+0.031,35,-.088,-2.547,29,31,.094,-.141,.480,-.245,25,31,E,31,19.53,67,343,E,31,11.95,41,343,-0.10,31,80.83,350,433,35,56.03,274,489,31,31.49,108,343,-0.37,31,55.39,190,343,-0.12
Ryan Moore,30,61.94,"794,568","128,277",9,43.8,42,96,+0.95,30,2.14,6,280,E,32,52.31,"209,879","40,122",30,9.09,4,44,-0.25,30,65.80,"601,332","91,383",9,56.3,54,96,+1.48,30,+.045,30,8.6,24,101,+0.083,32,.258,5.675,22,30,.485,.266,.203,.016,20,30,+.172,30,10.36,29,280,+0.17,30,15.71,44,280,+0.05,30,86.06,358,416,32,68.24,303,444,30,26.07,73,280,+0.96,30,63.21,177,280,-0.16
Fabián Gómez,43,61.93,"1,056,490","170,581",13,61.6,77,125,+1.43,43,3.72,14,376,+0.36,43,51.49,"237,281","46,087",43,6.98,6,86,-0.67,43,65.80,"819,209","124,494",13,38.4,48,125,+2.29,43,+.067,43,5.9,22,94,+0.227,43,-.176,-4.750,27,43,-.008,-.176,-.130,.298,27,43,+.125,43,17.02,64,376,+0.13,43,7.98,30,376,+0.07,43,84.53,508,601,43,66.22,398,601,43,25.00,94,376,+1.06,43,65.43,246,376,-0.19
Tom Hoge,44,61.93,"1,428,862","230,712",14,59.5,110,185,+0.82,44,1.99,10,502,+0.50,46,52.05,"349,959","67,229",44,7.95,7,88,E,44,65.71,"1,095,486","166,711",14,40.5,75,185,+1.20,44,+.051,44,6.6,33,137,+0.121,46,.116,4.405,38,44,.667,.135,.616,-.084,36,44,+.059,44,16.93,85,502,+0.06,44,11.75,59,502,+0.05,44,82.28,506,615,46,62.83,404,643,44,28.69,144,502,+0.56,44,62.75,315,502,-0.19
Kramer Hickok,39,61.90,"1,017,323","164,346",14,51.3,59,115,+0.85,39,1.93,7,363,+0.71,39,52.03,"210,724","40,501",39,12.82,10,78,-0.70,39,65.13,"806,599","123,845",14,48.7,56,115,+0.71,39,-.086,39,7.7,28,121,+0.179,39,.084,2.172,26,39,-.074,.084,-.580,.423,26,39,+.044,39,12.40,45,363,+0.04,39,9.64,35,363,-0.09,39,84.77,462,545,39,65.69,358,545,39,22.04,80,363,-0.13,39,68.32,248,363,-0.07
Troy Merritt,38,61.86,"980,407","158,482",12,61.7,82,133,+2.07,38,3.46,12,347,+0.75,42,52.48,"261,235","49,778",38,6.67,4,60,-0.25,38,65.40,"753,212","115,171",12,38.3,51,133,+0.59,38,-.184,38,7.2,25,106,+0.400,42,-.279,-8.090,29,38,-.886,-.157,-.498,-.231,25,38,+.127,38,18.16,63,347,+0.13,38,10.95,38,347,-0.18,38,83.11,438,527,42,62.09,362,583,38,29.11,101,347,+0.10,38,60.23,209,347,-0.12
Dominic Bozzelli,32,61.85,"798,629","129,120",10,55.6,74,133,+1.89,32,5.90,16,271,+1.13,32,52.04,"208,605","40,082",32,25.00,16,64,-0.63,32,66.27,"590,024","89,038",10,44.4,59,133,+2.71,32,+.111,32,7.0,19,82,+0.211,32,-.918,-18.365,20,32,-1.349,-.918,-.176,-.255,20,32,+.073,32,20.30,55,271,+0.07,32,16.61,45,271,+0.11,32,74.50,333,447,32,51.01,228,447,32,36.90,100,271,+0.90,32,50.18,136,271,-0.21
Doug Ghim,32,61.84,"781,236","126,335",12,33.3,34,102,+2.94,32,3.94,11,279,+0.91,32,51.54,"157,998","30,653",32,12.50,8,64,-0.75,32,65.14,"623,238","95,682",12,66.7,68,102,+2.79,32,+.196,32,7.2,20,86,+0.250,32,-.191,-3.810,20,32,-.751,-.191,-.558,-.003,20,32,+.200,32,8.96,25,279,+0.20,32,16.49,46,279,+0.20,32,83.22,372,447,32,62.86,281,447,32,25.45,71,279,+1.97,32,63.44,177,279,-0.15
Richy Werenski,30,61.81,"908,781","147,022",9,43.0,61,142,+1.48,30,1.57,5,319,+0.60,30,51.69,"201,434","38,966",30,11.67,7,60,E,30,65.46,"707,347","108,056",9,57.0,81,142,+1.98,30,+.117,30,8.8,28,120,+0.393,30,-.146,-3.368,23,30,-.338,-.146,-.286,.094,23,30,+.019,30,16.30,52,319,+0.02,30,18.81,60,319,+0.12,30,81.38,341,419,30,57.76,242,419,30,35.11,112,319,+0.71,30,54.55,174,319,-0.14
Rafa Cabrera Bello,29,61.73,"593,599","96,166",8,47.2,34,72,+1.18,29,1.44,3,209,E,31,51.95,"147,551","28,402",29,8.82,3,34,-0.33,29,65.22,"462,980","70,992",8,52.8,38,72,+1.58,29,+.103,29,7.7,16,67,+0.188,31,-.112,-1.912,17,29,-.128,-.126,.045,-.048,15,29,+.097,29,14.83,31,209,+0.10,29,13.88,29,209,+0.10,29,83.54,335,401,31,64.57,277,429,29,28.71,60,209,+1.00,29,62.20,130,209,-0.15
Jason Dufner,38,61.72,"1,257,855","203,802",12,51.6,82,159,+2.20,38,1.35,6,445,+0.17,42,50.76,"302,229","59,545",38,7.89,6,76,-0.33,38,65.55,"987,988","150,724",12,48.4,77,159,+1.95,38,+.129,38,5.2,23,96,+0.261,42,.126,4.538,36,38,.499,.138,.200,.160,32,38,+.243,38,15.73,70,445,+0.24,38,13.93,62,445,+0.13,38,84.56,449,531,42,66.61,391,587,38,29.66,132,445,+1.89,38,63.82,284,445,-0.10
Kevin Kisner,39,61.70,"872,184","141,365",11,37.4,34,91,-0.88,39,1.60,5,312,+0.60,41,50.69,"204,382","40,319",39,8.06,5,62,E,39,65.63,"684,397","104,274",11,62.6,57,91,+1.05,39,-.048,39,6.1,19,82,+0.316,41,.154,3.705,24,39,.226,.161,-.056,.121,22,39,-.179,39,8.97,28,312,-0.18,39,13.46,42,312,-0.05,39,85.69,467,545,41,67.89,389,573,39,22.44,70,312,-1.00,39,69.87,218,312,-0.11
Pat Perez,39,61.68,"947,545","153,627",11,52.4,65,124,+0.62,39,2.71,9,332,+0.89,41,52.09,"226,255","43,437",39,9.68,6,62,-0.50,39,65.07,"738,027","113,418",11,47.6,59,124,+1.53,39,-.020,39,6.6,22,92,+0.318,41,-.242,-6.292,26,39,-.164,-.271,.333,-.227,24,39,-.020,39,15.06,50,332,-0.02,39,14.76,49,332,-0.02,39,84.29,456,541,41,62.39,355,569,39,29.82,99,332,-0.20,39,60.84,202,332,-0.18
Russell Henley,35,61.66,"1,180,033","191,378",11,54.7,82,150,+1.10,35,2.86,12,419,+0.67,37,51.41,"272,035","52,914",35,7.14,5,70,-0.40,35,65.29,"925,110","141,692",11,45.3,68,150,E,35,-.130,35,6.4,27,117,+0.185,37,-.206,-6.597,32,35,.600,-.253,.658,.195,30,35,+.048,35,14.80,62,419,+0.05,35,12.89,54,419,-0.13,35,86.73,425,490,37,64.29,333,518,35,27.68,116,419,-0.34,35,63.01,264,419,-0.17
Zach Johnson,37,61.65,"1,169,348","189,677",11,48.3,73,151,+2.60,37,1.20,5,418,+0.80,39,51.38,"252,363","49,121",37,2.70,2,74,-1.00,37,64.88,"932,832","143,784",11,51.7,78,151,+1.79,37,+.091,37,6.5,27,112,+0.444,39,-.126,-4.033,32,37,-.120,-.086,.127,-.161,30,37,+.164,37,13.16,55,418,+0.16,37,15.79,66,418,+0.09,37,81.85,424,518,39,62.45,341,546,37,28.95,121,418,+1.24,37,63.40,265,418,-0.18
Henrik Norlander,48,61.65,"1,172,011","190,097",16,48.2,68,141,+0.59,48,2.14,9,420,+0.89,48,52.16,"268,906","51,559",48,14.58,14,96,-0.64,48,65.19,"903,105","138,538",16,51.8,73,141,+1.37,48,+.075,48,5.7,24,104,+0.042,48,.126,3.779,30,48,-.164,.126,-.021,-.269,30,48,+.018,48,13.57,57,420,+0.02,48,12.62,53,420,+0.08,48,85.54,574,671,48,67.81,455,671,48,26.19,110,420,+0.45,48,65.95,277,420,-0.10
C.T. Pan,30,61.61,"673,227","109,273",11,34.1,30,88,+3.33,30,2.56,6,234,+0.17,34,51.95,"185,220","35,651",30,6.82,3,44,E,30,65.17,"521,924","80,089",11,65.9,58,88,+2.24,30,+.190,30,7.7,18,75,+0.278,34,-.255,-5.355,21,30,-.324,-.352,-.111,.139,17,30,+.346,30,11.11,26,234,+0.35,30,17.95,42,234,+0.19,30,81.49,339,416,34,60.17,284,472,30,29.06,68,234,+2.50,30,60.68,142,234,-0.07
George McNeill,22,61.52,"513,438","83,464",8,62.7,47,75,+1.49,22,2.81,5,178,+1.00,22,51.39,"140,970","27,432",22,4.55,2,44,-0.50,22,66.47,"372,468","56,032",8,37.3,28,75,+0.71,22,+.095,22,3.9,7,32,+0.286,22,-.159,-2.066,13,22,-.315,-.159,.113,-.269,13,22,E,22,23.60,42,178,E,22,11.80,21,178,+0.10,22,84.69,260,307,22,59.28,182,307,22,35.39,63,178,+0.32,22,57.87,103,178,-0.22
Roberto Castro,23,61.51,"550,716","89,540",7,47.1,33,70,+0.30,23,2.55,5,196,+0.20,23,49.80,"131,504","26,404",23,6.52,3,46,-0.67,23,66.40,"419,212","63,136",7,52.9,37,70,E,23,-.160,23,7.7,15,63,+0.267,23,.164,2.296,14,23,.419,.164,.057,.198,14,23,E,23,12.76,25,196,E,23,12.76,25,196,-0.16,23,88.79,285,321,23,68.54,220,321,23,25.51,50,196,-0.80,23,64.29,126,196,-0.13
Mark Hubbard,53,61.50,"1,558,809","253,452",15,53.6,104,194,+2.02,53,1.61,9,558,+0.22,57,51.68,"376,963","72,946",53,10.38,11,106,-0.55,53,64.97,"1,214,791","186,973",15,46.4,90,194,+0.56,53,+.015,53,7.0,39,164,+0.205,57,.005,.227,44,53,.124,-.005,.089,.040,40,53,+.159,53,14.70,82,558,+0.16,53,12.19,68,558,+0.01,53,82.73,613,741,57,64.12,511,797,53,26.88,150,558,+0.93,53,64.52,360,558,-0.19
Scott Brown,48,61.48,"1,332,657","216,752",16,49.0,72,147,+2.50,48,2.11,10,475,+0.70,50,51.45,"318,094","61,824",48,5.21,5,96,-0.40,48,65.20,"1,031,147","158,156",16,51.0,75,147,+1.73,48,+.179,48,4.8,23,99,+0.174,50,.258,9.272,36,48,-.220,.269,-.530,.042,34,48,+.200,48,12.63,60,475,+0.20,48,11.79,56,475,+0.18,48,83.76,562,671,50,68.10,476,699,48,24.42,116,475,+1.90,48,68.63,326,475,-0.11
Kyle Stanley,37,61.45,"1,060,065","172,511",13,63.4,78,123,+3.85,37,3.17,12,378,+0.75,39,51.19,"258,492","50,494",37,2.70,2,74,E,37,65.29,"817,681","125,245",13,36.6,45,123,+2.22,37,-.103,37,7.1,27,117,+0.481,39,-.187,-5.412,29,37,.121,-.250,.396,-.026,27,37,+.383,37,15.87,60,378,+0.38,37,7.67,29,378,-0.10,37,86.49,448,518,39,69.96,382,546,37,23.54,89,378,+2.25,37,66.14,250,378,-0.21
Jazz Janewattananond,20,61.45,"316,729","51,541",6,22.0,9,41,+6.67,20,2.68,3,112,-0.33,22,52.11,"89,630","17,200",20,31.25,5,16,E,20,64.86,"243,685","37,569",6,78.0,32,41,+2.81,20,+.231,20,5.4,6,26,+0.333,22,-.526,-5.263,10,20,-1.909,-.584,-.879,-.446,8,20,+.667,20,8.04,9,112,+0.67,20,23.21,26,112,+0.23,20,83.33,230,276,22,66.45,202,304,20,31.25,35,112,+3.43,20,60.71,68,112,-0.04
Jim Furyk,23,61.42,"770,703","125,481",7,58.2,32,55,-0.31,23,1.79,5,279,+0.60,25,50.64,"175,918","34,740",23,2.17,1,46,E,23,64.95,"610,346","93,969",7,41.8,23,55,+1.30,23,+.067,23,5.0,14,58,-0.071,25,-.051,-1.121,22,23,.549,-.047,.652,-.057,20,23,-.042,23,8.60,24,279,-0.04,23,5.38,15,279,+0.07,23,93.15,299,321,25,78.80,275,349,23,13.98,39,279,E,23,79.21,221,279,-0.14
Chez Reavie,47,61.38,"1,069,899","174,321",14,38.3,41,107,+1.22,47,1.84,7,381,+0.57,51,50.88,"285,277","56,068",47,5.71,4,70,-0.25,47,65.64,"818,713","124,720",14,61.7,66,107,+1.36,47,-.022,47,6.0,23,98,+0.304,51,-.206,-6.391,31,47,.492,-.172,.326,.338,27,47,+.108,47,9.71,37,381,+0.11,47,11.81,45,381,-0.02,47,87.06,572,657,51,69.85,498,713,47,21.52,82,381,+0.37,47,70.60,269,381,-0.16
Ian Poulter,22,61.36,"465,091","75,796",6,50.6,40,79,+1.75,22,1.82,3,165,+0.33,26,51.46,"125,252","24,339",22,.00,0,24,E,22,64.41,"373,115","57,924",6,49.4,39,79,+1.79,22,+.214,22,10.9,18,78,+0.056,26,-.134,-2.150,16,22,.542,-.161,.395,.307,12,22,+.200,22,18.18,30,165,+0.20,22,16.97,28,165,+0.21,22,78.95,240,304,26,59.72,215,360,22,35.15,58,165,+2.07,22,52.12,86,165,-0.23
