player,Average Distance of Eagle putts made-ROUNDS,Average Distance of Eagle putts made-AVG,Average Distance of Eagle putts made-TOT DIST (FT),Average Distance of Eagle putts made-TOT EAGLES PUTTS MADE,Average Distance of Eagle putts made-LONGEST MADE (FT),Average Distance of Eagle putts made-SHORTEST MADE (FT),1-Putts per Round-ROUNDS,1-Putts per Round-AVG,1-Putts per Round-TOTAL 1 PUTTS,1-Putts per Round-TOTAL ROUNDS,3-Putts per Round-ROUNDS,3-Putts per Round-AVG,3-Putts per Round-TOTAL 3 PUTTS,3-Putts per Round-TOTAL ROUNDS,Birdie or Better Conversion Percentage-ROUNDS,Birdie or Better Conversion Percentage-%,Birdie or Better Conversion Percentage-# BIRDIES,Birdie or Better Conversion Percentage-GREENS HIT,Average Distance of Putts made-ROUNDS,Average Distance of Putts made-AVG,Average Distance of Putts made-TOTAL DIST (INCHES),Average Distance of Putts made-TOTAL ROUNDS,Average Distance of Putts made-AVG DIST,Average Distance of Putts made-BEST ROUND,SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,One-Putt Percentage - Round 1-ROUNDS,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 1-# OF 1 PUTTS,One-Putt Percentage - Round 1-# OF HOLES,One-Putt Percentage - Round 3-%,One-Putt Percentage - Round 3-# OF 1 PUTTS,One-Putt Percentage - Round 3-# OF HOLES,One-Putt Percentage - Round 4-%,One-Putt Percentage - Round 4-# OF 1 PUTTS,One-Putt Percentage - Round 4-# OF HOLES,Approach Putt Performance-ROUNDS,Approach Putt Performance-VALUE,Approach Putt Performance-ATTEMPTS,Approach Putt Performance-TOTAL DISTANCE (FEET),2-Putts per Round-ROUNDS,2-Putts per Round-AVG,2-Putts per Round-TOTAL 2 PUTTS,2-Putts per Round-TOTAL ROUNDS,One-Putt Percentage-ROUNDS,One-Putt Percentage-%,One-Putt Percentage-# OF 1 PUTTS,One-Putt Percentage-# OF HOLES,PUTTING-table_name,One-Putt Percentage - Round 2-%,One-Putt Percentage - Round 2-# OF 1 PUTTS,One-Putt Percentage - Round 2-# OF HOLES
Cameron Percy,37,"31' 7""",63.083,2,50,13,37,6.68,247,37,37,.51,19,37,37,28.33,134,473,37,"74' 3""","22,275",25,417,1102001439,37,.089,2.215,25,37,35.35,70,198,34.03,49,144,38.10,48,126,37,"2' 2""",277,600.250,37,10.59,392,37,37,37.09,247,666,One-Putt Percentage - Round 2,40.40,80,198
Troy Merritt,38,"29' 11""",29.917,1,30,30,38,7.08,269,38,38,.47,18,38,42,30.63,151,493,38,"80' 6""","24,159",25,454,1104001506,42,.432,12.538,29,42,38.03,89,234,42.86,54,126,38.89,49,126,38,"2' 4""",260,609.833,38,10.16,386,38,42,39.15,296,756,One-Putt Percentage - Round 2,39.35,85,216
Nelson Ledesma,34,"29' 3""",58.417,2,44,15,34,7.50,255,34,34,.35,12,34,34,31.75,120,378,34,"75' 3""","16,261",18,422,0201001446,34,.257,4.628,18,34,42.74,100,234,37.78,34,90,51.85,28,54,34,"2' 3""",189,427.917,34,9.88,336,34,34,41.67,255,612,One-Putt Percentage - Round 2,39.74,93,234
Chesson Hadley,42,"28' 10""",57.667,2,44,14,42,6.71,282,42,42,.76,32,42,46,32.99,192,582,42,"75' 11""","27,340",30,427,3953001573,46,-.204,-6.950,34,46,36.90,93,252,40.97,59,144,36.11,52,144,42,"2' 4""",337,789.083,42,10.26,431,42,46,38.77,321,828,One-Putt Percentage - Round 2,37.61,88,234
Rickie Fowler,22,"28' 5""",56.750,2,33,24,22,7.59,167,22,22,.59,13,22,24,32.29,93,288,22,"76' 11""","17,541",19,430,1802001594,24,.260,5.462,21,24,43.75,63,144,38.89,28,72,50.00,36,72,22,"2' 4""",199,470.667,22,9.73,214,22,24,42.36,183,432,One-Putt Percentage - Round 2,38.89,49,126
Mark Hubbard,53,"28' 2""",140.667,5,81,4,53,7.43,394,53,53,.32,17,53,57,32.11,218,679,53,"74' 11""","35,957",40,419,0504001547,57,.477,20.973,44,57,43.06,124,288,40.28,87,216,41.41,82,198,53,"2' 0""",420,856.500,53,10.11,536,53,57,41.91,430,"1,026",One-Putt Percentage - Round 2,42.22,114,270
Tyler McCumber,45,"27' 8""",27.667,1,28,28,45,6.67,300,45,45,.73,33,45,45,30.04,164,546,45,"71' 4""","25,674",30,403,1702001821,45,-.611,-18.321,30,45,34.52,87,252,34.57,56,162,38.27,62,162,45,"2' 5""",348,835.333,45,10.27,462,45,45,37.04,300,810,One-Putt Percentage - Round 2,40.60,95,234
Scott Piercy,48,"27' 5""",82.167,3,57,6,48,6.79,326,48,48,.27,13,48,50,27.77,163,587,48,"65' 6""","25,161",32,368,1902001707,50,-.186,-6.329,34,50,36.11,91,252,34.85,69,198,39.39,78,198,48,"1' 11""",340,664.333,48,10.77,517,48,50,38.00,342,900,One-Putt Percentage - Round 2,41.03,96,234
J.J. Spaun,42,"27' 1""",27.083,1,27,27,42,6.57,276,42,42,.52,22,42,44,30.23,156,516,42,"72' 2""","27,716",32,404,1704001467,44,-.077,-2.616,34,44,37.70,95,252,35.19,57,162,36.51,46,126,42,"2' 2""",352,773.667,42,10.67,448,42,44,37.37,296,792,One-Putt Percentage - Round 2,37.61,88,234
Justin Thomas,32,"26' 10""",53.667,2,35,19,32,7.63,244,32,32,.44,14,32,36,37.42,174,465,32,"70' 5""","20,289",24,394,0302001572,36,.292,8.185,28,36,46.11,83,180,43.65,55,126,37.30,47,126,32,"2' 0""",236,474.583,32,9.81,314,32,36,42.59,276,648,One-Putt Percentage - Round 2,41.36,67,162
Viktor Hovland,34,"26' 4""",26.333,1,26,26,34,7.21,245,34,34,.35,12,34,38,31.90,148,464,34,"78' 0""","16,850",18,436,2302001502,38,.129,2.839,22,38,38.89,77,198,42.86,54,126,36.51,46,126,34,"2' 2""",194,420.917,34,10.24,348,34,38,40.35,276,684,One-Putt Percentage - Round 2,42.78,77,180
Brice Garnett,42,"25' 10""",25.833,1,26,26,42,6.83,287,42,42,.36,15,42,46,28.22,162,574,42,"77' 7""","27,011",29,435,0201001345,46,.334,11.008,33,46,39.68,100,252,37.04,60,162,42.86,54,126,42,"2' 4""",334,771.750,42,10.57,444,42,46,37.92,314,828,One-Putt Percentage - Round 2,35.90,84,234
Cameron Smith,36,"25' 8""",51.250,2,34,18,36,7.50,270,36,36,.44,16,36,38,34.73,158,455,36,"79' 8""","25,800",27,447,0402001710,38,.600,17.399,29,38,36.57,79,216,36.51,46,126,42.86,54,126,36,"2' 2""",272,599.417,36,9.86,355,36,38,41.52,284,684,One-Putt Percentage - Round 2,48.48,96,198
Bryson DeChambeau,30,"25' 7""",102.333,4,44,6,30,7.37,221,30,30,.40,12,30,34,33.72,147,436,30,"82' 5""","29,683",30,464,0404002207,34,.474,16.106,34,34,43.21,70,162,36.51,46,126,46.03,58,126,30,"2' 4""",312,727.667,30,10.00,300,30,34,41.18,252,612,One-Putt Percentage - Round 2,37.50,54,144
Joseph Bramlett,41,"25' 6""",101.833,4,44,6,41,6.46,265,41,41,.73,30,41,41,29.16,149,511,41,"73' 7""","23,831",27,413,0103001685,41,-.189,-5.090,27,41,28.70,62,216,43.83,71,162,36.11,52,144,41,"2' 6""",301,740.000,41,10.66,437,41,41,35.91,265,738,One-Putt Percentage - Round 2,37.04,80,216
Sung Kang,49,"24' 9""",24.750,1,25,25,49,6.71,329,49,49,.76,37,49,51,30.40,190,625,49,"70' 0""","31,923",38,396,2402001588,51,-.456,-18.258,40,51,34.81,94,270,40.91,81,198,30.56,55,180,49,"2' 4""",421,976.083,49,10.18,499,49,51,36.82,338,918,One-Putt Percentage - Round 2,40.48,102,252
Patrick Cantlay,20,"23' 0""",92.000,4,46,6,20,6.90,138,20,20,.55,11,20,20,34.07,92,270,20,"70' 4""","15,199",18,397,0402001480,20,.096,1.729,18,20,44.44,40,90,43.33,39,90,36.67,33,90,20,"2' 1""",196,403.500,20,10.30,206,20,20,38.33,138,360,One-Putt Percentage - Round 2,28.89,26,90
Cameron Davis,40,"23' 0""",45.917,2,43,3,40,6.95,278,40,40,1.03,41,40,40,29.36,143,487,40,"76' 2""","25,588",28,432,2302002089,40,-.412,-11.546,28,40,35.04,82,234,42.06,53,126,37.30,47,126,40,"2' 7""",303,774.917,40,9.68,387,40,40,38.61,278,720,One-Putt Percentage - Round 2,41.03,96,234
Scott Stallings,41,"22' 11""",91.500,4,49,10,41,6.83,280,41,41,.49,20,41,45,29.67,162,546,41,"71' 2""","23,066",27,405,0404001435,45,-.036,-1.103,31,45,37.61,88,234,37.04,60,162,36.11,52,144,41,"2' 4""",305,706.917,41,10.37,425,41,45,38.77,314,810,One-Putt Percentage - Round 2,38.43,83,216
Joel Dahmen,51,"22' 11""",91.667,4,39,3,51,7.41,378,51,51,.39,20,51,55,31.24,199,637,51,"68' 11""","28,932",35,388,1502002036,55,-.198,-7.707,39,55,37.04,100,270,44.44,96,216,41.92,83,198,51,"2' 1""",358,745.833,51,9.90,505,51,55,41.41,410,990,One-Putt Percentage - Round 2,43.25,109,252
Matthew NeSmith,50,"22' 10""",45.583,2,39,7,50,6.90,345,50,50,.46,23,50,54,30.38,209,688,50,"76' 8""","33,131",36,430,0403001419,54,.328,13.116,40,54,39.24,113,288,40.00,72,180,43.89,79,180,50,"2' 2""",392,838.333,50,10.46,523,50,54,38.17,371,972,One-Putt Percentage - Round 2,33.33,90,270
Chris Baker,37,"22' 8""",22.667,1,23,23,37,6.03,223,37,37,.70,26,37,37,23.83,107,449,37,"65' 6""","16,502",21,369,1902001484,37,-.732,-15.365,21,37,32.48,76,234,33.33,36,108,34.44,31,90,37,"2' 4""",252,578.583,37,11.03,408,37,37,33.48,223,666,One-Putt Percentage - Round 2,34.19,80,234
Bronson Burgoon,37,"22' 6""",44.917,2,28,17,37,7.68,284,37,37,.38,14,37,39,34.25,162,473,37,"78' 10""","27,430",29,446,0403001497,39,.398,12.330,31,39,41.03,96,234,46.03,58,126,42.06,53,126,37,"2' 4""",292,680.500,37,9.68,358,37,39,42.59,299,702,One-Putt Percentage - Round 2,41.92,83,198
Marc Leishman,35,"22' 3""",44.417,2,23,21,35,7.09,248,35,35,.49,17,35,35,31.05,127,409,35,"77' 4""","24,124",26,439,1704001816,35,.058,1.521,26,35,39.44,71,180,39.58,57,144,36.11,52,144,35,"2' 4""",272,628.750,35,10.11,354,35,35,39.37,248,630,One-Putt Percentage - Round 2,41.98,68,162
Doc Redman,56,"21' 7""",43.167,2,38,5,56,6.75,378,56,56,.52,29,56,60,30.76,231,751,56,"76' 7""","40,433",44,430,2301001591,60,-.109,-5.213,48,60,41.18,126,306,36.11,78,216,39.35,85,216,56,"2' 3""",493,"1,096.833",56,10.54,590,56,60,38.06,411,"1,080",One-Putt Percentage - Round 2,33.68,97,288
Bubba Watson,34,"21' 6""",64.500,3,36,12,34,6.74,229,34,34,.26,9,34,38,30.60,138,451,34,"72' 3""","21,674",25,411,1802001501,38,.636,18.453,29,38,36.87,73,198,34.13,43,126,38.89,49,126,34,"1' 11""",264,495.083,34,10.65,362,34,38,38.16,261,684,One-Putt Percentage - Round 2,39.44,71,180
Rory McIlroy,28,"20' 11""",125.667,6,36,5,28,7.32,205,28,28,.54,15,28,32,34.83,140,402,28,"72' 3""","16,481",19,406,2001001288,32,-.003,-.076,23,32,42.36,61,144,37.30,47,126,39.68,50,126,28,"2' 5""",202,484.833,28,9.86,276,28,32,42.36,244,576,One-Putt Percentage - Round 2,42.86,54,126
Chase Seiffert,44,"20' 7""",82.250,4,31,9,44,6.95,306,44,44,.43,19,44,44,30.09,161,535,44,"77' 11""","24,307",26,437,1501001688,44,.310,8.067,26,44,36.75,86,234,40.12,65,162,32.72,53,162,44,"2' 5""",285,678.833,44,10.48,461,44,44,38.64,306,792,One-Putt Percentage - Round 2,43.59,102,234
Jimmy Walker,34,"20' 5""",40.750,2,29,12,34,6.97,237,34,34,.65,22,34,36,30.29,126,416,34,"74' 8""","25,987",29,419,1702001366,36,-.314,-9.741,31,36,37.50,81,216,37.30,47,126,37.78,34,90,34,"2' 5""",321,786.083,34,10.21,347,34,36,38.58,250,648,One-Putt Percentage - Round 2,40.40,80,198
Martin Trainer,34,"20' 5""",40.750,2,22,19,34,7.71,262,34,34,.76,26,34,36,30.49,100,328,34,"66' 7""","21,585",27,377,0102001269,36,-.267,-7.748,29,36,44.07,119,270,37.50,27,72,47.22,17,36,34,"2' 7""",270,708.250,34,9.24,314,34,36,43.06,279,648,One-Putt Percentage - Round 2,41.67,105,252
Keegan Bradley,44,"20' 4""",40.583,2,36,4,44,6.64,292,44,44,.57,25,44,44,27.01,141,522,44,"67' 0""","26,544",33,379,3954001476,44,-.523,-17.273,33,44,35.04,82,234,32.72,53,162,46.30,75,162,44,"2' 2""",363,772.500,44,10.48,461,44,44,36.87,292,792,One-Putt Percentage - Round 2,35.04,82,234
Gary Woodland,34,"19' 9""",59.167,3,50,2,34,6.76,230,34,34,.38,13,34,38,32.53,161,495,34,"78' 7""","23,576",25,441,1402001988,38,.315,9.133,29,38,40.00,72,180,38.19,55,144,34.03,49,144,34,"2' 5""",274,653.000,34,10.68,363,34,38,37.57,257,684,One-Putt Percentage - Round 2,37.65,61,162
Jordan Spieth,34,"19' 9""",19.750,1,20,20,34,7.82,266,34,34,.29,10,34,38,34.66,148,427,34,"80' 5""","18,332",19,456,3954001694,38,.392,9.023,23,38,45.56,82,180,37.50,54,144,45.83,66,144,34,"2' 2""",186,400.417,34,9.62,327,34,38,43.42,297,684,One-Putt Percentage - Round 2,45.68,74,162
J.T. Poston,50,"19' 8""",39.250,2,22,17,50,7.62,381,50,50,.34,17,50,54,33.75,218,646,50,"82' 1""","34,486",35,461,1802001969,54,.759,29.582,39,54,47.04,127,270,34.34,68,198,45.45,90,198,50,"2' 3""",364,806.250,50,9.84,492,50,54,43.52,423,972,One-Putt Percentage - Round 2,42.06,106,252
Webb Simpson,22,"19' 1""",19.083,1,19,19,22,7.77,171,22,22,.45,10,22,26,37.72,126,334,22,"80' 5""","20,268",21,452,1502001473,26,.695,17.385,25,26,42.86,54,126,47.78,43,90,36.67,33,90,22,"2' 2""",211,451.000,22,9.55,210,22,26,44.23,207,468,One-Putt Percentage - Round 2,43.52,47,108
Chris Stroud,30,"18' 11""",18.917,1,19,19,30,7.43,223,30,30,.57,17,30,34,31.38,123,392,30,"71' 8""","17,204",20,404,0402001577,34,-.250,-6.004,24,34,43.98,95,216,37.78,34,90,37.04,20,54,30,"2' 4""",215,502.000,30,9.70,291,30,34,42.48,260,612,One-Putt Percentage - Round 2,40.91,81,198
Wyndham Clark,43,"18' 11""",37.750,2,25,13,43,7.44,320,43,43,.49,21,43,47,34.08,182,534,43,"75' 6""","25,372",28,425,2304001567,47,.510,16.316,32,47,47.78,129,270,39.58,57,144,42.06,53,126,43,"2' 4""",285,660.750,43,9.86,424,43,47,42.08,356,846,One-Putt Percentage - Round 2,36.11,91,252
Paul Casey,28,"18' 3""",18.250,1,18,18,28,6.61,185,28,28,.68,19,28,28,33.14,117,353,28,"64' 7""","12,396",16,364,2002001116,28,-.741,-11.853,16,28,34.13,43,126,38.89,49,126,31.75,40,126,28,"2' 3""",179,403.750,28,10.50,294,28,28,36.71,185,504,One-Putt Percentage - Round 2,42.06,53,126
Carlos Ortiz,48,"18' 1""",18.083,1,18,18,48,6.94,333,48,48,.44,21,48,52,31.61,202,639,48,"71' 0""","34,951",41,404,0201002073,52,.148,6.658,45,52,38.89,105,270,40.56,73,180,38.33,69,180,48,"2' 4""",450,"1,049.750",48,10.23,491,48,52,39.42,369,936,One-Putt Percentage - Round 2,37.30,94,252
Maverick McNealy,54,"18' 1""",54.167,3,25,9,54,7.74,418,54,54,.57,31,54,58,33.57,236,703,54,"82' 0""","35,420",36,464,1904001750,58,.559,22.372,40,58,44.44,128,288,42.59,92,216,43.06,93,216,54,"2' 3""",373,851.917,54,9.41,508,54,58,42.91,448,"1,044",One-Putt Percentage - Round 2,41.48,112,270
Vaughn Taylor,49,"18' 0""",18.000,1,18,18,49,7.61,373,49,49,.35,17,49,53,34.15,209,612,49,"74' 9""","28,710",32,423,3951001495,53,.418,15.049,36,53,40.00,108,270,43.43,86,198,45.00,81,180,49,"2' 2""",321,698.500,49,9.73,477,49,53,42.77,408,954,One-Putt Percentage - Round 2,43.65,110,252
Ryan Brehm,42,"17' 11""",17.917,1,18,18,42,6.07,255,42,42,.74,31,42,42,29.29,152,519,42,"65' 7""","18,890",24,370,0201001154,42,-.614,-14.728,24,42,32.05,75,234,33.33,48,144,33.33,48,144,42,"2' 3""",288,646.833,42,10.95,460,42,42,33.73,255,756,One-Putt Percentage - Round 2,35.90,84,234
Alex Noren,32,"17' 10""",71.250,4,40,7,32,7.22,231,32,32,.47,15,32,36,33.17,136,410,32,"63' 1""","15,889",21,358,1902001490,36,.167,4.178,25,36,37.78,68,180,40.48,51,126,40.48,51,126,32,"2' 1""",220,455.667,32,9.91,317,32,36,41.05,266,648,One-Putt Percentage - Round 2,41.36,67,162
Talor Gooch,54,"17' 8""",70.583,4,33,2,54,7.04,380,54,54,.33,18,54,56,30.43,206,677,54,"76' 4""","42,134",46,429,0501001875,56,.312,14.990,48,56,40.74,110,270,39.32,92,234,39.74,93,234,54,"2' 3""",498,"1,121.833",54,10.43,563,54,56,39.58,399,"1,008",One-Putt Percentage - Round 2,37.30,94,252
Luke List,41,"17' 5""",121.917,7,34,7,41,6.68,274,41,41,.66,27,41,43,30.52,159,521,41,"75' 5""","28,048",31,423,0504001362,43,-.321,-10.597,33,43,38.89,98,252,43.75,63,144,34.13,43,126,41,"2' 5""",345,823.750,41,10.44,428,41,43,37.73,292,774,One-Putt Percentage - Round 2,33.76,79,234
Brian Harman,48,"17' 5""",34.750,2,19,16,48,7.75,372,48,48,.40,19,48,52,32.90,203,617,48,"73' 1""","35,974",41,412,3951001511,52,.361,16.253,45,52,45.24,114,252,43.43,86,198,42.93,85,198,48,"2' 2""",412,876.000,48,9.60,461,48,52,43.48,407,936,One-Putt Percentage - Round 2,41.88,98,234
Michael Thompson,32,"17' 2""",34.333,2,18,16,32,7.06,226,32,32,.59,19,32,36,28.67,121,422,32,"71' 8""","22,368",26,402,2301001323,36,.265,7.963,30,36,37.50,81,216,43.52,47,108,43.06,31,72,32,"2' 5""",282,677.250,32,10.13,324,32,36,40.28,261,648,One-Putt Percentage - Round 2,38.89,77,198
Abraham Ancer,44,"17' 2""",34.333,2,25,9,44,7.57,333,44,44,.43,19,44,48,32.05,191,596,44,"69' 1""","21,548",26,387,1603001210,48,.152,4.564,30,48,40.60,95,234,43.89,79,180,43.33,78,180,44,"2' 2""",262,566.750,44,9.86,434,44,48,41.67,360,864,One-Putt Percentage - Round 2,39.81,86,216
Dustin Johnson,18,"17' 0""",84.917,5,42,5,18,7.44,134,18,18,.50,9,18,22,32.82,86,262,18,"73' 2""","14,055",16,411,1401001993,22,-.051,-1.011,20,22,45.37,49,108,41.67,30,72,38.89,28,72,18,"2' 4""",169,392.333,18,9.89,178,18,22,41.92,166,396,One-Putt Percentage - Round 2,40.00,36,90
Jonathan Byrd,19,"16' 11""",16.917,1,17,17,19,6.58,125,19,19,.63,12,19,19,25.00,57,228,19,"70' 6""","10,154",12,395,1101001409,19,-.877,-10.525,12,19,37.30,47,126,31.48,17,54,44.44,16,36,19,"2' 3""",139,311.500,19,10.63,202,19,19,36.55,125,342,One-Putt Percentage - Round 2,35.71,45,126
Byeong Hun An,51,"16' 11""",16.917,1,17,17,51,7.41,378,51,51,.63,32,51,53,30.25,193,638,51,"62' 8""","27,055",36,353,0201001219,53,-.890,-33.832,38,53,41.48,112,270,39.35,85,216,46.97,93,198,51,"2' 4""",383,888.000,51,9.67,493,51,53,40.88,390,954,One-Putt Percentage - Round 2,38.10,96,252
Sebastián Muñoz,52,"16' 8""",83.250,5,27,2,52,7.65,398,52,52,.56,29,52,56,34.43,231,671,52,"77' 10""","42,946",46,440,0302002039,56,.308,15.402,50,56,43.46,133,306,44.44,80,180,40.00,72,180,52,"2' 6""",470,"1,169.917",52,9.44,491,52,56,42.56,429,"1,008",One-Putt Percentage - Round 2,42.36,122,288
Kevin Chappell,31,"16' 7""",33.083,2,21,12,31,7.32,227,31,31,.68,21,31,33,30.71,117,381,31,"71' 10""","18,965",22,409,0102001693,33,-.018,-.433,24,33,40.40,80,198,42.59,46,108,40.00,36,90,31,"2' 6""",231,575.083,31,9.65,299,31,33,40.74,242,594,One-Putt Percentage - Round 2,39.44,71,180
Dylan Frittelli,52,"16' 4""",16.333,1,16,16,52,7.42,386,52,52,.65,34,52,56,31.34,204,651,52,"74' 5""","33,930",38,420,3952001488,56,-.007,-.297,42,56,39.24,113,288,40.40,80,198,41.92,83,198,52,"2' 5""",395,968.500,52,9.65,502,52,56,42.06,424,"1,008",One-Putt Percentage - Round 2,43.33,117,270
Tyler Duncan,49,"15' 11""",15.917,1,16,16,49,6.84,335,49,49,.39,19,49,53,29.76,189,635,49,"67' 9""","29,264",36,381,3951001315,53,-.037,-1.485,40,53,38.56,118,306,38.27,62,162,34.72,50,144,49,"2' 1""",391,812.250,49,10.55,517,49,53,38.68,369,954,One-Putt Percentage - Round 2,38.89,112,288
Scott Harrington,48,"15' 9""",31.417,2,24,8,48,6.85,329,48,48,.65,31,48,48,29.70,169,569,48,"76' 1""","31,034",34,427,2402002080,48,-.012,-.412,34,48,36.30,98,270,36.67,66,180,40.28,58,144,48,"2' 3""",374,853.000,48,10.31,495,48,48,38.08,329,864,One-Putt Percentage - Round 2,39.63,107,270
Cameron Champ,42,"15' 7""",77.833,5,40,5,42,7.00,294,42,42,.64,27,42,42,34.86,183,525,42,"72' 0""","28,509",33,404,1401001260,42,-.020,-.646,33,42,40.28,87,216,40.74,66,162,36.42,59,162,42,"2' 4""",363,841.417,42,10.19,428,42,42,38.89,294,756,One-Putt Percentage - Round 2,37.96,82,216
James Hahn,30,"15' 6""",31.000,2,21,10,30,6.33,190,30,30,.37,11,30,30,29.14,109,374,30,"74' 8""","18,823",21,422,1802001612,30,.219,4.608,21,30,35.80,58,162,31.75,40,126,42.22,38,90,30,"2' 2""",239,520.417,30,11.10,333,30,30,35.19,190,540,One-Putt Percentage - Round 2,33.33,54,162
Michael Gligic,36,"15' 5""",30.833,2,21,10,36,6.97,251,36,36,.56,20,36,38,29.41,130,442,36,"67' 10""","17,915",22,380,0501001481,38,-.018,-.425,24,38,41.67,105,252,36.67,33,90,41.11,37,90,36,"2' 4""",234,538.917,36,10.31,371,36,38,39.18,268,684,One-Putt Percentage - Round 2,35.90,84,234
Aaron Baddeley,33,"15' 1""",15.083,1,15,15,33,7.45,246,33,33,.39,13,33,35,32.52,133,409,33,"67' 4""","18,592",23,378,0401001292,35,.020,.501,25,35,41.41,82,198,44.44,56,126,40.74,44,108,33,"2' 3""",242,548.250,33,9.88,326,33,35,41.59,262,630,One-Putt Percentage - Round 2,39.44,71,180
Fabián Gómez,43,"15' 0""",29.917,2,22,8,43,6.79,292,43,43,.42,18,43,43,28.46,146,513,43,"72' 6""","23,499",27,411,1102001661,43,.016,.433,27,43,38.89,91,234,36.42,59,162,36.11,52,144,43,"2' 1""",288,610.417,43,10.40,447,43,43,37.73,292,774,One-Putt Percentage - Round 2,38.46,90,234
Alex Cejka,23,"14' 11""",14.917,1,15,15,23,6.70,154,23,23,.48,11,23,23,23.27,64,275,23,"62' 5""","8,990",12,353,1901001166,23,-.938,-11.261,12,23,38.10,48,126,38.89,35,90,36.67,33,90,23,"2' 3""",138,307.417,23,10.52,242,23,23,37.20,154,414,One-Putt Percentage - Round 2,35.19,38,108
Harris English,44,"14' 10""",29.667,2,27,3,44,6.95,306,44,44,.32,14,44,48,29.71,186,626,44,"74' 8""","32,266",36,418,0104001652,48,.477,19.095,40,48,42.31,99,234,40.00,72,180,34.44,62,180,44,"2' 2""",401,869.167,44,10.57,465,44,48,39.12,338,864,One-Putt Percentage - Round 2,37.96,82,216
Adam Long,56,"14' 4""",28.667,2,23,6,56,7.13,399,56,56,.52,29,56,58,30.99,220,710,56,"75' 4""","35,274",39,425,2404001732,58,.136,5.567,41,58,43.79,134,306,32.05,75,234,39.39,78,198,56,"2' 6""",430,"1,057.417",56,10.11,566,56,58,40.13,419,"1,044",One-Putt Percentage - Round 2,40.97,118,288
Harold Varner III,50,"14' 4""",57.417,4,28,4,50,6.78,339,50,50,.48,24,50,52,30.21,197,652,50,"65' 7""","25,973",33,369,3951001500,52,-.111,-3.888,35,52,37.41,101,270,38.43,83,216,33.33,60,180,50,"2' 0""",355,724.417,50,10.52,526,50,52,38.03,356,936,One-Putt Percentage - Round 2,40.48,102,252
George McNeill,22,"14' 1""",14.083,1,14,14,22,6.05,133,22,22,.64,14,22,22,24.19,67,277,22,"70' 0""","10,920",13,391,0201001166,22,.046,.596,13,22,34.03,49,144,31.94,23,72,29.63,16,54,22,"2' 5""",153,373.333,22,11.14,245,22,22,33.59,133,396,One-Putt Percentage - Round 2,35.71,45,126
Doug Ghim,32,"14' 0""",27.917,2,23,5,32,6.66,213,32,32,.75,24,32,32,28.01,107,382,32,"73' 10""","17,727",20,414,1501001453,32,-.247,-4.947,20,32,40.74,88,216,37.78,34,90,37.04,20,54,32,"2' 5""",231,553.667,32,10.41,333,32,32,36.98,213,576,One-Putt Percentage - Round 2,32.87,71,216
Adam Hadwin,35,"13' 11""",27.833,2,18,10,35,7.06,247,35,35,.31,11,35,39,31.39,156,497,35,"78' 0""","22,462",24,436,3954001343,39,.516,14.455,28,39,39.44,71,180,42.59,69,162,47.92,69,144,35,"2' 2""",262,563.417,35,10.43,365,35,39,39.46,277,702,One-Putt Percentage - Round 2,27.16,44,162
Charles Howell III,47,"13' 10""",41.417,3,23,9,47,6.77,318,47,47,.55,26,47,49,29.42,183,622,47,"71' 2""","23,907",28,398,0302001701,49,.019,.565,30,49,34.92,88,252,37.37,74,198,41.11,74,180,47,"2' 0""",310,623.167,47,10.53,495,47,49,37.64,332,882,One-Putt Percentage - Round 2,36.75,86,234
Sungjae Im,58,"13' 10""",13.833,1,14,14,58,7.60,441,58,58,.41,24,58,60,33.88,250,738,58,"75' 3""","38,817",43,426,0103001852,60,.362,16.312,45,60,42.01,121,288,42.06,106,252,45.63,115,252,58,"2' 2""",438,952.000,58,9.66,560,58,60,41.85,452,"1,080",One-Putt Percentage - Round 2,38.52,104,270
Nate Lashley,36,"13' 9""",41.333,3,27,6,36,6.94,250,36,36,.44,16,36,38,29.73,132,444,36,"74' 6""","25,940",29,419,1503001852,38,.294,9.119,31,38,39.29,99,252,34.26,37,108,41.67,45,108,36,"2' 4""",308,720.583,36,10.36,373,36,38,39.47,270,684,One-Putt Percentage - Round 2,39.90,79,198
Max Homa,44,"13' 7""",27.083,2,18,9,44,7.11,313,44,44,.43,19,44,48,32.17,185,575,44,"72' 2""","26,833",31,405,2401001254,48,.257,8.999,35,48,41.45,97,234,44.44,80,180,38.33,69,180,44,"2' 3""",333,760.667,44,10.27,452,44,48,39.93,345,864,One-Putt Percentage - Round 2,35.65,77,216
Nick Watney,35,"13' 6""",26.917,2,22,5,35,6.74,236,35,35,.66,23,35,36,31.13,141,453,35,"74' 5""","24,100",27,420,1101001670,36,.061,1.709,28,36,38.89,91,234,29.63,32,108,40.00,36,90,35,"2' 3""",298,669.333,35,10.29,360,35,36,37.96,246,648,One-Putt Percentage - Round 2,40.28,87,216
