player,Average Distance of Eagle putts made-ROUNDS,Average Distance of Eagle putts made-AVG,Average Distance of Eagle putts made-TOT DIST (FT),Average Distance of Eagle putts made-TOT EAGLES PUTTS MADE,Average Distance of Eagle putts made-LONGEST MADE (FT),Average Distance of Eagle putts made-SHORTEST MADE (FT),1-Putts per Round-ROUNDS,1-Putts per Round-AVG,1-Putts per Round-TOTAL 1 PUTTS,1-Putts per Round-TOTAL ROUNDS,3-Putts per Round-ROUNDS,3-Putts per Round-AVG,3-Putts per Round-TOTAL 3 PUTTS,3-Putts per Round-TOTAL ROUNDS,Birdie or Better Conversion Percentage-ROUNDS,Birdie or Better Conversion Percentage-%,Birdie or Better Conversion Percentage-# BIRDIES,Birdie or Better Conversion Percentage-GREENS HIT,Average Distance of Putts made-ROUNDS,Average Distance of Putts made-AVG,Average Distance of Putts made-TOTAL DIST (INCHES),Average Distance of Putts made-TOTAL ROUNDS,Average Distance of Putts made-AVG DIST,Average Distance of Putts made-BEST ROUND,SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,One-Putt Percentage - Round 1-ROUNDS,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 1-# OF 1 PUTTS,One-Putt Percentage - Round 1-# OF HOLES,One-Putt Percentage - Round 3-%,One-Putt Percentage - Round 3-# OF 1 PUTTS,One-Putt Percentage - Round 3-# OF HOLES,One-Putt Percentage - Round 4-%,One-Putt Percentage - Round 4-# OF 1 PUTTS,One-Putt Percentage - Round 4-# OF HOLES,Approach Putt Performance-ROUNDS,Approach Putt Performance-VALUE,Approach Putt Performance-ATTEMPTS,Approach Putt Performance-TOTAL DISTANCE (FEET),2-Putts per Round-ROUNDS,2-Putts per Round-AVG,2-Putts per Round-TOTAL 2 PUTTS,2-Putts per Round-TOTAL ROUNDS,One-Putt Percentage-ROUNDS,One-Putt Percentage-%,One-Putt Percentage-# OF 1 PUTTS,One-Putt Percentage-# OF HOLES,PUTTING-table_name,One-Putt Percentage - Round 2-%,One-Putt Percentage - Round 2-# OF 1 PUTTS,One-Putt Percentage - Round 2-# OF HOLES
Jhonattan Vegas,36,"7' 5""",7.417,1,7,7,36,6.31,227,36,36,.58,21,36,40,30.61,150,490,36,"62' 2""","17,156",23,350,2002001059,40,-.334,-9.028,27,40,31.48,68,216,31.75,40,126,36.51,46,126,36,"2' 1""",263,556.583,36,10.86,391,36,40,36.39,262,720,One-Putt Percentage - Round 2,40.91,81,198
Peter Uihlein,33,"7' 4""",7.333,1,7,7,33,6.79,224,33,33,.45,15,33,33,31.36,127,405,33,"72' 1""","19,884",23,411,0202001781,33,.240,5.519,23,33,39.44,71,180,33.33,42,126,46.30,50,108,33,"2' 1""",256,522.917,33,10.39,343,33,33,37.71,224,594,One-Putt Percentage - Round 2,33.89,61,180
Xander Schauffele,34,"7' 4""",7.333,1,7,7,34,7.35,250,34,34,.65,22,34,38,33.20,166,500,34,"73' 0""","21,894",25,406,2203001632,38,.124,3.589,29,38,43.33,78,180,38.19,55,144,43.06,62,144,34,"2' 5""",274,657.500,34,9.91,337,34,38,41.37,283,684,One-Putt Percentage - Round 2,38.27,62,162
Brandon Hagy,36,"6' 10""",20.417,3,8,5,36,6.72,242,36,36,.75,27,36,36,30.57,133,435,36,"75' 7""","23,585",26,427,1802001532,36,.057,1.484,26,36,33.76,79,234,40.74,44,108,33.33,30,90,36,"2' 6""",291,733.167,36,10.17,366,36,36,37.35,242,648,One-Putt Percentage - Round 2,41.20,89,216
Chris Kirk,19,"6' 9""",6.750,1,7,7,19,6.58,125,19,19,.79,15,19,19,23.71,55,232,19,"65' 5""","9,420",12,363,2302001206,19,-.829,-9.954,12,19,38.89,49,126,35.19,19,54,25.00,9,36,19,"2' 5""",137,334.417,19,10.58,201,19,19,36.55,125,342,One-Putt Percentage - Round 2,38.10,48,126
Keith Mitchell,42,"6' 7""",13.167,2,11,2,42,7.24,304,42,42,.69,29,42,44,31.30,159,508,42,"77' 8""","26,096",28,436,1904001326,44,.286,8.566,30,44,36.11,91,252,46.53,67,144,40.97,59,144,42,"2' 6""",296,746.250,42,9.83,413,42,44,40.53,321,792,One-Putt Percentage - Round 2,39.74,93,234
Vince Covello,21,"6' 6""",6.500,1,7,7,21,6.43,135,21,21,.67,14,21,21,27.60,69,250,21,"72' 10""","13,114",15,412,1702001325,21,-.289,-4.335,15,21,34.57,56,162,47.22,17,36,33.33,6,18,21,"2' 3""",169,386.667,21,10.57,222,21,21,35.71,135,378,One-Putt Percentage - Round 2,34.57,56,162
Robby Shelton,51,"5' 7""",5.583,1,6,6,51,6.71,342,51,51,.53,27,51,51,29.69,182,613,51,"73' 9""","32,752",37,415,1703001634,51,.065,2.419,37,51,35.76,103,288,35.56,64,180,45.06,73,162,51,"2' 3""",404,921.667,51,10.53,537,51,51,37.25,342,918,One-Putt Percentage - Round 2,35.42,102,288
Chez Reavie,47,"5' 4""",5.333,1,5,5,47,6.51,306,47,47,.51,24,47,51,26.50,163,615,47,"62' 1""","20,111",27,353,1403001264,51,-.412,-12.774,31,51,39.63,107,270,43.89,79,180,32.72,53,162,47,"2' 1""",300,625.583,47,10.60,498,47,51,36.71,337,918,One-Putt Percentage - Round 2,30.16,76,252
C.T. Pan,30,"5' 4""",5.333,1,5,5,30,6.23,187,30,30,.80,24,30,34,24.15,99,410,30,"64' 9""","13,209",17,363,1802001670,34,-1.020,-21.429,21,34,39.81,86,216,29.17,21,72,36.11,26,72,30,"2' 3""",199,442.333,30,10.73,322,30,34,35.62,218,612,One-Putt Percentage - Round 2,31.31,62,198
