player,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS
Vincent Whaley,30,"5' 2""",2.551,41,125,30,58.47,107,183,30,79.17,19,24,30,31.11,14,45,+23.00,30,59.15,42,71,30,"7' 3""",964.833,133,135,30,"4' 2""",62.667,15,125,30,+.208,24,+5.00,30,66.07,37,56,30,"10' 5""",311.750,30,125,30,"8' 0""",377.833,47,125,30,29.03,9,31,30,+.408,71,+29.00,30,-.185,-3.700,20
Justin Rose,18,"5' 3""",1.830,29,201,18,54.03,67,124,18,90.00,9,10,18,64.86,24,37,+6.00,18,39.29,11,28,22,"6' 5""",800.333,124,155,18,"3' 3""",38.750,12,201,18,+.100,10,+1.00,18,48.48,16,33,18,"7' 9""",240.333,31,201,18,"9' 3""",221.917,24,201,18,72.41,21,29,18,+.607,28,+17.00,18,.253,3.293,13
Rafael Campos,29,"5' 3""",1.650,26,100,29,59.80,119,199,29,76.19,16,21,29,50.00,27,54,+16.00,29,61.29,57,93,29,"6' 11""",927.667,134,105,29,"3' 9""",78.667,21,100,29,+.190,21,+4.00,29,58.54,24,41,29,"8' 9""",306.000,35,100,29,"7' 10""",405.500,52,100,29,51.16,22,43,29,+.419,93,+39.00,29,.357,6.428,18
Webb Simpson,22,"5' 4""",2.297,36,14,22,66.37,75,113,22,81.82,9,11,22,58.82,20,34,+3.00,22,59.52,25,42,26,"6' 11""",980.583,142,7,22,"8' 0""",87.833,11,14,22,+.091,11,+1.00,22,73.68,28,38,22,"8' 1""",251.167,31,14,22,"7' 11""",340.917,43,14,22,61.90,13,21,22,+.405,42,+17.00,22,.276,5.790,21
Danny Willett,20,"5' 5""",1.486,23,197,20,54.74,75,137,20,100.00,6,6,20,58.54,24,41,+5.00,20,54.55,18,33,22,"6' 5""",663.500,104,165,20,"3' 4""",19.917,6,197,20,-.167,6,-1.00,20,53.57,15,28,20,"7' 3""",152.583,21,197,20,"7' 9""",279.667,36,197,20,57.89,11,19,20,+.515,33,+17.00,20,-.026,-.318,12
Cameron Smith,36,"5' 5""",3.318,51,129,36,58.33,126,216,36,100.00,9,9,36,55.36,31,56,+14.00,36,55.70,44,79,38,"6' 11""","1,263.500",183,141,36,"1' 7""",12.917,8,129,36,-.111,9,-1.00,36,62.26,33,53,36,"7' 7""",281.667,37,129,36,"8' 7""",610.500,71,129,36,54.29,19,35,36,+.430,79,+34.00,36,.081,2.188,27
Tyrrell Hatton,16,"5' 6""",1.321,20,77,16,61.25,49,80,16,100.00,4,4,16,45.00,9,20,+6.00,16,85.71,12,14,20,"6' 5""",513.000,80,14,16,"2' 11""",11.750,4,77,16,-.250,4,-1.00,16,66.67,12,18,16,"11' 10""",224.583,19,77,16,"3' 11""",58.750,15,77,16,38.46,5,13,16,E,14,E,16,.544,4.354,8
Richy Werenski,30,"5' 6""",2.184,33,110,30,59.36,111,187,30,95.83,23,24,30,40.32,25,62,+28.00,30,60.87,42,69,30,"7' 10""","1,170.083",149,114,30,"2' 5""",36.333,15,110,30,-.125,24,-3.00,30,58.70,27,46,30,"10' 5""",446.917,43,110,30,"8' 8""",504.833,58,110,30,39.58,19,48,30,+.391,69,+27.00,30,.094,2.160,23
Adam Hadwin,35,"5' 6""",3.231,49,99,35,59.89,112,187,35,85.71,6,7,35,69.09,38,55,+5.00,35,56.00,28,50,39,"7' 10""","1,180.083",151,105,35,"3' 1""",21.500,7,99,35,+.143,7,+1.00,35,64.44,29,45,35,"7' 6""",263.167,35,99,35,"12' 9""",508.667,40,99,35,60.00,18,30,35,+.460,50,+23.00,35,.097,2.321,24
Stewart Cink,31,"5' 6""",3.102,47,175,31,55.87,100,179,31,88.89,16,18,31,49.28,34,69,+17.00,31,37.50,18,48,35,"7' 6""","1,176.167",156,177,31,"3' 1""",24.917,8,175,31,-.056,18,-1.00,31,63.49,40,63,31,"8' 10""",443.667,50,175,31,"10' 6""",347.667,33,175,31,53.06,26,49,31,+.708,48,+34.00,31,-.245,-6.130,25
Jason Dufner,38,"5' 7""",4.235,63,69,38,61.54,144,234,38,100.00,21,21,38,53.42,39,73,+24.00,38,58.54,48,82,42,"6' 2""","1,391.167",225,55,38,"2' 1""",39.833,19,69,38,-.143,21,-3.00,38,57.33,43,75,38,"8' 6""",486.000,57,69,38,"6' 4""",411.000,65,69,38,57.14,32,56,38,+.476,82,+39.00,38,.160,5.133,32
Mark Anderson,37,"5' 7""",3.334,50,8,37,67.11,151,225,37,91.30,21,23,37,58.33,35,60,+18.00,37,65.82,52,79,37,"7' 5""","1,219.000",165,9,37,"1' 8""",14.833,9,8,37,E,23,E,37,64.29,45,70,37,"10' 3""",450.250,44,8,37,"7' 8""",476.083,62,8,37,63.46,33,52,37,+.380,79,+30.00,37,-.150,-4.046,27
Scott Stallings,41,"5' 7""",3.344,50,89,41,60.85,143,235,41,83.33,15,18,41,49.06,26,53,+25.00,41,62.14,64,103,45,"6' 8""","1,196.750",179,63,41,"2' 11""",37.583,13,89,41,+.111,18,+2.00,41,62.69,42,67,41,"10' 6""",325.000,31,89,41,"7' 4""",452.833,62,89,41,47.83,22,46,41,+.388,103,+40.00,41,.169,4.569,27
Russell Knox,49,"5' 8""",4.675,69,35,49,64.34,166,258,49,100.00,20,20,49,56.76,42,74,+17.00,49,62.50,50,80,51,"6' 11""","1,411.417",205,30,49,"2' 1""",27.083,13,35,49,-.050,20,-1.00,49,60.40,61,101,49,"8' 7""",437.167,51,35,49,"8' 9""",516.500,59,35,49,61.40,35,57,49,+.375,80,+30.00,49,-.027,-.949,35
Justin Thomas,32,"5' 8""",4.023,59,19,32,65.45,108,165,32,94.44,17,18,32,62.79,27,43,+6.00,32,58.97,23,39,36,"6' 1""","1,088.083",180,21,32,"2' 7""",45.833,18,19,32,-.056,18,-1.00,32,64.29,36,56,32,"7' 3""",218.417,30,19,32,"7' 5""",371.667,50,19,32,61.90,13,21,32,+.410,39,+16.00,32,.273,6.556,24
Jim Furyk,23,"5' 8""",1.983,29,211,23,53.06,52,98,23,62.50,5,8,23,47.37,18,38,+19.00,23,51.72,15,29,25,"8' 4""",901.917,108,201,23,"4' 1""",28.583,7,211,23,+.250,8,+2.00,23,59.38,19,32,23,"8' 9""",281.000,32,211,23,"12' 3""",331.167,27,211,23,46.43,13,28,23,+.517,29,+15.00,23,-.057,-1.135,20
Adam Scott,26,"5' 9""",2.826,41,103,26,59.72,86,144,26,91.67,11,12,26,61.11,22,36,+6.00,26,70.59,24,34,26,"6' 9""",880.167,131,108,26,"3' 3""",36.000,11,103,26,-.083,12,-1.00,26,47.83,22,46,26,"7' 9""",210.250,27,103,26,"7' 8""",398.417,52,103,26,64.71,11,17,26,+.294,34,+10.00,26,.566,10.194,18
Ryan Palmer,36,"5' 9""",5.180,75,108,36,59.42,123,207,36,88.89,16,18,36,47.54,29,61,+19.00,36,48.98,24,49,40,"6' 3""","1,308.667",209,79,36,"3' 5""",65.417,19,108,36,+.056,18,+1.00,36,61.43,43,70,36,"8' 8""",337.750,39,108,36,"7' 3""",362.750,50,108,36,51.43,18,35,36,+.551,49,+27.00,36,-.275,-7.430,27
Bo Van Pelt,28,"5' 9""",2.556,37,223,28,49.73,92,185,28,87.50,14,16,28,25.00,10,40,+29.00,28,53.97,34,63,30,"7' 11""",985.500,124,224,28,"5' 2""",46.750,9,223,28,+.125,16,+2.00,28,48.61,35,72,28,"13' 0""",311.750,24,223,28,"8' 4""",358.250,43,223,28,27.27,9,33,28,+.540,63,+34.00,28,-.133,-2.122,16
